start	end	text
0	21760	I've done something, I've done something I shouldn't have done, okay, oh shit, I should
21760	28480	have shot them, sorry, I'm going to be in a game, I'm going to hit the frat one thing
28880	32240	and I've just gone off of it, like a dumb boom
35600	39440	okay, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it
39440	47600	good morning, good evening, good afternoon, my name is Dronecuddles and I'm here to try and
47600	54240	entertain you to the best of my ability, all things considered, um, I may or may not have
54560	61600	only had four hours of sleep because I have issues sleeping at the moment, okay, there's a bit
61600	74560	of a swap today, um, I do not have an intention today of streaming 12 hours, oh what, it's not
74560	80960	sustainable if you can't get sleep, oh well, now that I've learned that, yeah, actually you're kind
80960	89120	of right, reeflings, oh no, uh, you actually need to unironically, apartment a bed, um,
90800	98320	I did not get much sleep, so I have decided instead of doing endurance, kind of, you know, fly
98320	105040	through the DLC, I would very much like to get the coconuts with you, so I've able to source
105040	110560	where the, um, the coconuts, which is, hello, please help, thank you, wonderful, apologies,
110560	116160	you're beautiful, let's go, and my beloved, I cannot source the location of the DLC Pratt,
116160	123200	they're called Prattles, I believe, no, they're called a Prattling Patez, but we all know it's a
123200	131680	coconut, let's be honest, why no sleep, uh, look on what's been uploaded, that's why no sleep,
131680	136560	I started working on another audio, and I've an announcement, Patreon is getting fed the
136560	147840	moment I go offline, uh, my plot is pit, job, my armpit, the plot is my armpit, okay, and then
147840	153840	we're writing the fourth plot live so you guys can literally see how, like, the script, and then
153840	158560	you'll hear the finished edit, like, result type thing, but, uh, yeah, for some reason, I picked
158880	165840	armpit, I can't even remember what you even said in the script, but, um, you got to sleep and drop
165840	173520	the bread for, I'm still a biohazard at the moment as well, um, all I produced was a singular little,
174560	183600	you know, one could argue it was the size of a gold nugget, um, but I would very much like to do
183680	189040	the crack, crack, the prattling coconut, sorry, my brain isn't here, I'm, I do apologize, let's
189040	194160	have four hours, I was like, I'm doing stuff, I'm currently waiting on a fucking contract, um,
195200	202000	from a bloody company, so I've got the girl's good news, and they're just, they're fucking
202000	207120	being at all their sweet time, like, they're in no rush to seal the deal, whereas I'm like, this is
207120	214880	an, wait, what, my mouse and my, oh, okay, my, uh, like, this is a big deal for the girls,
214880	220480	because it's yet another revenue income, so, blah, blah, blah, I know, boring, boring, boring,
220480	224800	business, business, business, that's what it's like behind the scenes, it's all boring, boring,
224800	235520	boring, business, business, business, okay, located in Stormfoot Catacombs, which is in the cliff
235520	244480	side, northwest of the church of Ella, why is my cursor, is the church down here, yeah, okay,
244480	248720	the first coconut is to the left, of course you guys are more than welcome to stream snap, let's
248720	253760	be honest, oh, maybe I should change the name of the stream, people are gonna be like, oh, I'm
253760	261840	leveling up the L3, so I can play with her, okay, hold on, let me get my pizza, but yes, it's gonna
261840	270240	be a two hour stream, I have a collab tomorrow as well with Yumi Plus, and hold on, I'm gonna do a
270240	278320	coconut little, little coconut gathering, and I'm gonna like do it in green, because we are harvesting,
278320	295200	like real farmers, I'm literally just gonna be doing nice and easy today, two hours, I'm redirected
295200	304720	into Shibi, she's doing a drawing stream, because Shibi has some doodling art, I'm pretty sure,
304720	309840	just show me her art, am I going first? No, I don't think she showed me her art in an interview,
309840	315760	but she does, she's able to do stuff, can we have the three reflands on a beach with coconut trees,
321760	329760	okay, the first, hello, prattling, no, we're gonna try and do that, if we've got enough time,
329840	335200	obviously, I think we may or may not blast through these catacombs, but as long as we've all got the
335200	343600	same coconut, that's amazing, I had something to tell you that was exciting, out of the ASMR
343600	349920	collab, and I've already forgotten, hello, yes, that's the one we're going for, okay, we need to
350560	357120	locate it at Stormford Catacombs, which is the closest just north west of the church, we are
357120	363200	going to take that very literally, and just jump over here and look for a cavern this way, I can't
363200	367680	jump, okay, sorry, okay, hold on, I need to go around, sorry, that's embarrassing, I can't make that
367680	378000	jump, I'm too weak, I'm too weak, right, north west, oh, we have our head and we've got a beacon,
378000	384000	the ASMR collab was really good, I loved it, it's not putting much, it's so early, it's too strong,
384000	390000	bro, it's literally my favorite, oh, are these guys that tell you where the Prattland coconut's at?
393440	399520	Can we get down here safely? I'm not sure about, wait, that was a bird, I thought it was a reefland
399520	402640	that just launched themselves, I'm like, ain't not a bit early to be launching ourselves off a
402640	413040	cliff first thing in the morning, and I believe AC had concluded an ASMR stream today, I love how
413040	417360	you guys literally like the beacons that go on door, I'm just following, I'm like okay, I'm here
417360	431200	for war, what's going on? I have good news and bad news, bad news, Emmy's away on holiday, good news
431200	438160	is I can edit Emmy and AC's collab together, because I've got all the pieces of the Puzzlemer,
438800	442960	wow, okay, we're here, we're here, oh no, I'm gonna have to resummon you all,
442960	447440	wait, that doesn't count, wait, okay, maybe I need to be a big girl and travel on my own,
447440	451760	and then summon inside the cavern, literally clapping like yeah, we have to go already,
451760	459440	you literally just got in, Emmy gone for two, now there is content for Emmy, I've got plans
459440	464000	that there's gonna be like something every three days, at least whether that's a short,
464560	470480	look how dark inside it gets when my refunds leave, I hear it here, okay, so there's a
470480	483920	prattling coconut in here, just summon a singular gate, oh is there a hit 5k, that's fantastic,
483920	490480	I think AC's literally about to do it around the corner, oh no, this can't be, wait, can I not hire
490480	502640	you guys, hire, I really hope this next game has seamless co-op, if only, that's asking for too
502640	508480	much, hold on a minute, that's asking for a bit too much, you mean you want help to play your
508480	517680	FromSoft game, hmm, no, unlikely, you're not allowed to, you will be given 20% less damage,
517760	520960	boss gets 20% more, and you're freaking healing flasks to nothing,
524320	531120	when do we expect the collab, so some, if you want to know the behind the scenes,
532080	536240	oh fuck, that's what I need you guys for, holy shit, how could I forget,
537040	543520	reeflings, all we need holders rise up, there's been a bit of an update
543840	551040	that may or may not shape what happens with gen 2, but what happens in here stays in here,
551040	557040	did I make myself clear, you guys have done fantastic, I'm pretty sure no one's done anything major,
560800	572800	I need, I need influence, I need interest and I need descriptions, I need attributes of some
573840	580400	milf body type and a lollipop body type, I need some sort of influence, there's been a bit of
580400	589840	development, and two designs have been rejected in both categories, and I'm needing to start somewhere
589840	600320	fresh, now I did think harpy, harpy with a knee hands and wings instead, which is a bit advanced
600320	604240	for a modler to be honest, she'd probably end up being the most expensive to rejuice,
607360	614560	I snapped her attention at reeflings, dragon, oh that's right, sorry, dragon and then the color scheme
614560	622320	was based after the big dragon and avatar, she's definitely like possessive,
622640	633760	and calls fan base her treasures possibly, that's a good one, I wrote that down, yeah remember
633760	640320	that, okay, we're also consider a harpy, maybe she's egg obsessed, I'm actually kind of down with
640560	651920	an egg obsessed lollipop harpy, maybe she would call her fan base like, oh what would you, egg,
651920	659760	eggie, maybe call them, how about a female knight in armor, see the major thing about armor is the
659760	664400	pride, is can no one, can I not summon in here, sorry, can I not summon in here, hold on a minute,
664400	670000	I ain't laughing no more, no one's summonable, nestlings, hatchlings, yeah that kind of thing,
670560	679760	maybe we can kind of go the eggbound route, hatchling, right so we've got dragon and harpy
679760	685840	for a little bit more body type, so they don't have an interest in a lollipop cheerleader,
686160	695520	number one, bimbo lollipop cheerleader or bimbo milk cheerleader,
703280	708400	so bimbo cheerleader and then I'm going to put candy roll from kung fu keel,
709120	722080	did you activate the summoning, oh did I nullify it, oh I nullified it, sorry,
722080	726640	wait I heard that, oh no no no, okay there we go, right, oh no,
727520	731200	um alamia milk,
734080	741920	rushing under the gate, um alamia milk, come on, let me, we need pointed side ears,
741920	746240	I'm going to put that there and line me up for a mouth, because I like the pointed side ears and
746240	753680	I like the, you know the teeth and you know how it goes, like alamia milk, technical related,
753680	760240	I think the odds are I may or may not be getting some sort of technical alternative of the future,
760240	764080	if you want a bimbo cheerleader, um look at Nike,
