start	end	text
0	12000	so
15440	20000	someone goes about a vice of i'm my reaper with my conflict
20000	34640	Of course I see one she hates comment as I'm in the the click go live section whenever I go live
34640	36640	There's like a
43040	45520	Oh my short went up
48040	50720	Oh, Moe short went up. Oh my god
55800	60940	Hold on a minute hold on a minute. I just approved the release. Let's call me and hold on a minute
64720	66720	I wasn't supposed to have
70200	77600	Good morning. Good evening. Good afternoon. I'm currently in my YouTube comment section. I think I just had approved in a sus comment
78360	80360	That I may need to get rid of
84920	90360	Sometimes I actually approve a comment and I'm don't worry like I'm not insulted about it
90440	94160	But they mentioned another time that I was green and I'm like
95240	98440	I'm strong equals. I'm green. Let's leave it at that
100360	106120	Give one and get even good afternoon. How are you? You will give a rebee debris. We know we be you know
110760	112760	I did it
112760	114760	I
122160	127800	Had a short that came out. Oh my god, congratulations to me
129600	131600	And I
131960	133960	fricking
134560	136560	Finally I
136920	144080	Finally have a short and then I have a short coming out in four days and guess what I've finally edited the most a collab
144640	146640	I did I
146960	151760	Finally edited the most of the collab. I just need some title it and then I get up load it
152560	153760	and
153760	159320	As there is meme ASMR should be up right now if I'm not mistaken if I schedule that properly now
159320	164120	I do have absolutely horrific news and it's bad news for everyone across the board
164400	168320	So for those of you who weren't in the stream yesterday, please don't worry
168320	173760	It's absolutely ridiculous for a streamer to ask for 12 hours of your time. I am not insulted if you do not know this I
175600	177600	purposely took
178600	181960	Medicine to put me to sleep as soon as I went off stream I
183440	187920	Ended up staying awake another like what four hours
188760	193880	Maybe even five so I'm back to being exhausted didn't fix the problem
194120	197560	I woke up ten minutes ago. I'm shattered
198360	200920	But I think I can make it happen
205880	208600	Did you like the meme plot for and
210040	217480	If you haven't seen as there's meme audio is up and she keeps you dry with her boobies in the rain
217800	220200	And
220200	227800	Right today we're doing Elden Ring part two and then next week when next week starts. It's Elden Ring part three
228840	234080	However, I don't know if there's gonna be a pushdown and stuff if so
235560	239400	Baltro will be an Elden Ring stream most likely and
239960	246200	Mecha salt will be wrecked as well to make way for Elden Ring because I don't actually know how much
246280	254280	Contents up ahead so when the game says DLC my brain goes. Oh, it's something. That's 50 percent shorter than the main game
254880	260400	But some people are saying no this thing is who you mongous you mongous what?
264680	268960	So yes, it goes Elden Ring part three and then I do an AS the more stream
277160	280600	That's not my thing yeah, I
282720	285040	Fuck up that's not right
286280	291040	The ASMR stream should be for you. Why does it say 2 p.m?
292240	294240	Unless that's EDT
294680	299040	Sorry, I'm gonna have to change that and my my delirium. That's not right
299760	304960	So it should be 4 a.m. ASMR stream at the usual time then two hours later
304960	309080	We're gonna do two hours of script writing. I'm gonna gauge interest
309080	314440	I'm gonna gauge if people like it if people like it. We'll come back to it another time and then
315160	321240	I've been among us collab with Yumi plus and it's gonna be a zero mercy
322120	326440	She be and me versus in quotation marks Amy Mamosa
327440	331080	Rainy what the fuck that's about her name wrong. I
331840	339040	Have oh my god, this is what I see this is why you can't fucking make anything creative when you're like delirious
340440	342440	and
342480	349400	And then the next day supposed to be mech assault campaign mode mech assault is an old ancient xbox game and
350400	358240	It apparently is eight hours long and then I'm gonna make a membership ASMR after the eight hour stream
358640	362920	The time zones are right. They're in EST like the rest of your schedule
365320	372160	But where does it say that it doesn't say that is an EST that's the problem
372160	374160	I
375640	379240	Shouldn't know have like yes 9 p.m. EST and brackets
380200	381920	anyway, and
381920	390120	So if Elden Ring is complete then we're playing about row if we're not playing about row and mummies gamble in the house
390640	394240	Wait, yeah, if we don't if Elden Ring is finished
394720	399120	Then we're playing but we're gamble in the house. Look at the right side of your schedule
403160	408920	All right, but there's three different time zones mentioned on it
409640	411520	so
411520	413640	So people are to go the first one
416000	421480	Am I missing where it says all times displayed at EST I literally cannot see it
421480	424680	I'm looking everywhere that you can see my freaking pupils
425280	429160	Looking around I see there's three time zones in the right column
429360	432840	But then in the actual schedule is just picked a time
433960	435960	Where?
438120	441360	You know what the fun thing is you guys are never gonna know what the offline
442000	446760	Ed it looks like of my schedule. I was giggling away
447520	450920	Cuz em Emi was being a cutie pie and
451600	457560	Then I was like wait no one's ever actually seen the offline mode of what my schedule looks like
460160	466600	Ed no starting right binding of Isaac for two hours. I doubt it. Well, I
467680	470800	I'm gonna need no because the problem is
471600	476880	Runescape part wait runescape part four doesn't tell everyone to download the movie
478640	484840	Right, so runescape part four and part five. I'm gonna try and finish cooking in those two
484840	486840	I don't know if it's possible
486920	490520	But in runescape part four we're watching the John Wick series
490520	495560	I know I said I didn't want to watch it, but I had to basically I
496120	499120	Couldn't find any other trilogy that I wanted to watch
499560	504080	So then I said no we'll do that and then in runescape part five
504360	506920	We're actually gonna sit and just watch
507520	511440	The girls is live streams because I can't keep up with them
511440	515920	However, I can keep up with them if we can watch them whilst we do runescape wine
516600	522800	So on the last day, I'm literally gonna sit and watch all the streams that I wanted to watch from the girls
522920	527280	Okay, each girl I'm gonna pick a stream where I'm like, I'm I want to watch that. I'm I want to watch that
527280	529280	I'm I want to watch that and
531040	538040	Cuz like I really want to watch as there is monetization stream. I don't have fucking time like when I finish this
538480	539680	Um
539680	542800	What is it called when I finish this um um?
547000	553840	Endurance stream, I'm literally gonna go and put subtitles in the mimosa collab so then it uploads
554760	556760	Before I stream tomorrow
558360	559640	Oh
559640	564840	Yes, John Wick is one two and three wait. No is the fourth movie already
568160	570160	Oh
570440	575920	Right, I'll edit that before I tweet it because I just want to watch John Wick one two three
575920	583080	I unless for I don't know how long they all are sometimes movies are like two and a half hours and I can't do that
584120	591520	He shoots his pufusal. Oh my god. It's already out. I can he keep up the fourth one
591920	594520	You said there's a fifth one in production
594600	601560	Bro, he that man a break let that man retire wasn't that the whole plot line that he's fecking retired?
603920	606880	Oh some of yous have got a cheat honestly
607600	613600	Making same one after same one after same one nothing but a cheat around you. Oh wait. No, I can't go in the middle
613960	615960	I go here
616960	622160	Whoa, yeah, I always forget that I
623400	625400	Always forget that
627280	629280	Force one is
630240	636160	169 minutes long, so it's two and a half hours and they didn't wrap it up in two and a half
636760	638760	I
643640	651780	What's the plan of action I've no got a clue I think we're going back to the DLC I have a tonne of flasks that actually heal me now
654920	659880	The irony that you speak about break for what force is the last one all right
660640	662640	I
662720	664720	Spoilers
665040	668800	Right, okay, we will watch John. Wait, I thought someone said John with fibers in production
668800	675020	I'm like what fucking like hands is gone to like some some kid and be like take take on my legacy
675020	681000	Where I just annihilate everyone and I actually only shoot how many guns are physically possible in the chamber
681760	683760	I
684200	686560	Did you upgrade your weapon not quite?
687240	692400	But I do have to acknowledge that the refunds are carrying me through everything
692640	699200	It's just something like that. There's a bit. No, that's how the fifth minute. There's five offer fucks thing
699200	704360	I'm gonna have to change my movie choice. What is a trilogy or some sort of movie?
705120	707800	scenario that all from the same thing
708720	710720	That'll give us like ten hours
712000	714000	roughly I
714320	719160	Need ten hours so we can just fucking wine out max wine out
719840	726360	No, I can someone said spider-man. I might just do spider-man so we can all laugh at the dancing scene
726880	740520	We should watch one piece. Are you John? I'd never be off stream for how long?
741520	746380	Yeah, Toby McGuire's big Spidey man. I might do that. I
747560	752800	Would say shrek one to three, but I didn't like the third installment. I think it's shite. I hate it
