start	end	text
0	25000	The Fortnite Battle Pass, I just shit on my head
25000	33000	Then I boot it off my PC, cause I need me to get the Fortnite Battle Pass
33000	39000	Good morning, good evening, and good afternoon my little weflins
39000	45000	We are playing this redonkulous game that is known as Fall Guys
45000	50000	Sorry if you had to download the bottom thing cause of me, but thank you for downloading the thing cause of me
50000	57000	This game is called Fall Guys, but we have dubbed it the Jelly Bean Game
57000	63000	Just wanna start off the stream by announcing some terrible fucking news
63000	68000	Oh gee, for any membership stream today, they'll watch longer than 90 the museum
68000	71000	Unfortunately I'm gonna have to reschedule it in a couple of days time
71000	78000	Because I was born with this curse of being a fucking woman
78000	83000	I'm fucking tired and I'm really sick right now, unironically
83000	87000	How did I get you guys in here? Oh fuck it's been so long since I've played this
87000	92000	How did I get you in? Oh no
93000	96000	Is it?
96000	100000	Explore, no I want custom game
100000	105000	I wanna host the custom game, this will create a private lobby, yes
107000	110000	Control, control
110000	115000	Oh right, okay, wait, game selector? Oh no it's been so long
116000	119000	Oh there's too much
119000	123000	Solo, squad, duo, no solo
126000	131000	Oh there's like tons of different freaking game modes
131000	136000	Right how do I get you in? Do I need to do anything?
136000	143000	You guys are connecting? Okay, six, delta, Vigo, five, bravo
143000	147000	Pick solos, okay I have to pick, sorry, sorry
147000	151000	It's been, okay okay it filled up, it filled up right okay
151000	155000	It shows me that we need 40, or it goes as high as 40
155000	160000	Okay, no you're not to let me win, hold on let me go
160000	165000	Of course I've not gone on freaking, see this live chat top chat nonsense
165000	171000	Vigo, yeah, I forgot what V is, vector? I think vector in the alphabet
171000	175000	It's okay, oh it's been a fucking terrible week
175000	180000	I didn't wanna be one of those VTubers that are like I'm a ketchup packet, I'm a fucking ketchup packet
180000	183000	I'm so bloody tired of it, I'm exhausted
183000	189000	Yesterday I was like up ed in the Freya collab, like the subtitles on it
189000	194000	To make the video, and my heart was murmuring away over and over and over
194000	199000	And I'm like you need to calm down, like I'm tired, please
199000	202000	And like I've just woken up and my heart was murmuring again
202000	207000	So I'm currently drinking a fucking fruit smoothie, I've got a cup of tea
207000	211000	I can't play on US servers, no you need to swap to US servers
215000	221000	I mean we can resolve that issue for a while, you'll have to wait until October and then you can do it okay
221000	223000	Pop, pop, pop, pop
225000	227000	Do it for my birthday, how about that
229000	231000	Meow, meow, meow
234000	237000	I'm gonna be learning the controls as you go along
240000	241000	Wait what?
242000	247000	Almost typed the code into the chat because I forgot how controllers were interacted
249000	252000	You're so fucking adorable, oh my god look at my weephins coming in
252000	256000	I can't see you guys yet, I just saw something connecting to the server
257000	262000	I wish, didn't I know I used to like zoom out and show all of us together as you guys were coming in
263000	265000	I'm in, hey yeah
267000	272000	I have hard lag on US servers, I mean it's better than Australian servers
272000	277000	I can tell you that much, if I played Oceanic I would be winning because some of the best
277000	279000	Because of the lag
280000	291000	We all pick the same cosmetics so you can't tell who's you're being, you can see as if you expand the player list
293000	296000	Oh my god it's my free flings
297000	305000	You guys really got Xbox and stuff, oh look I can see if you're on Xbox and who's on game
306000	308000	Like who's on PC
310000	313000	Someone new just came in, oh that's so cool
314000	317000	Oh gee I wonder what my gamer tag is, truly a mystery
319000	321000	It's a jelly beanie
321000	323000	I'm gonna join in a bit, I'm too hungry
323000	329000	We need the glasses assets for reasons, glasses? Oh I don't need my, you want my actual glasses?
333000	336000	You can't see, oh you actually can't see this, what the heck?
336000	341000	Oh they must have changed it, I'm currently in Vtrib Studio opening up the files
341000	343000	So it's not displaying for you
344000	347000	I've got black glasses, heart glasses
349000	353000	I've got green heart glasses, I think I'm green heart glasses
356000	358000	No way I have an old asset, no
359000	364000	I've sun glasses, no wait these aren't glasses
365000	367000	I think I'm just gonna have to go with the green one
367000	369000	Oops my bad
370000	372000	Where the heck is it?
374000	381000	Blue, right G, G-A-V-C-D-E-F-G
382000	384000	H-I
384000	388000	Wait how does it already, how does it already know I'm sideways though?
389000	393000	Wait oh my god sorry this is, how does it know I'm sideways?
394000	396000	No, did I do it right?
398000	400000	How is this the best I can do?
402000	407000	Good morning, are you guys at Stony's bread mode where it sounds like a Stan account now?
408000	414000	I tried, is this what you were wanting kinda, oh no it's like blinking with me
418000	420000	Oh that's awful sorry
420000	425000	I just have no luck, wait do I need to make myself bigger and then do it?
425000	427000	Hold on sorry, a giant woman
428000	433000	Hold on, let me try without attaching it to my freaking eyeballs
434000	436000	And then we'll go for game, right
436000	438000	What if it's like sunglasses on?
440000	442000	How does it know I'm already looking sideways?
442000	444000	This is getting freaky honestly
445000	448000	Right and then if I pin it in between
449000	450000	Fuck
451000	455000	I'm not even pinning it to my eyelashes
455000	457000	Why is this so hard?
457000	460000	Right no, no glicks for me, fuck
460000	462000	I can't either, I'm trash
462000	463000	Neglects
463000	466000	Right okay, I'm gonna sit, we're gonna go
466000	468000	I'm gonna make it easier on myself
468000	471000	If I only happen 26 competitors
471000	474000	Oh shit no someone dropped out I think, oops
478000	482000	I'm currently drinking a fruit juice I'm almost finished and then I'll have a cup of tea
482000	484000	I'm like getting all the war
488000	491000	Thank you for the audio you released after the tier list
491000	492000	Lol
492000	498000	Oh no it's been so, oh look at many of you there are little replays
498000	501000	What are we, oh god it's the Rhino one
501000	503000	Wait why can't I see your names?
504000	506000	Last time, no
