start	end	text
0	2000	I'm live. No one say anything bad because I'm live.
2000	4000	Okay, okay, okay, okay.
4000	6000	Okay, I'm live. I'm live.
6000	8000	Okay, okay, okay.
10000	12000	What?
12000	14000	Is it going?
14000	16000	Is it working?
16000	18000	Oh!
18000	20000	I don't know.
24000	26000	You two have been kind of lagging in terms of like moving alive.
26000	28000	Yeah, it takes like a hot second for me to even
28000	30000	appear.
30000	32000	Like when I hit.
32000	34000	Guys, guys, guys, it killed my broadcast room.
34000	36000	What?
36000	38000	You killed your broadcast room?
38000	40000	Right now?
40000	42000	Like it suddenly like stopped streaming and then
42000	44000	my power wash simulator
44000	46000	replay deleted.
46000	48000	I'm live right now.
48000	50000	I'm live right now.
50000	52000	I'm live.
52000	54000	I'm live.
54000	56000	I'm live.
56000	58000	My chat is laughing at us.
58000	60000	Chat, I'm so sorry.
60000	62000	Hello, everybody.
62000	64000	We're so professional.
64000	66000	It's been awful.
66000	68000	How many VLR members
68000	70000	do you need
70000	72000	to do a collab to properly
72000	74000	do a collab to properly.
74000	76000	Merci. Well, I'll meet you in your room.
78000	80000	Yay, she might need a new room.
80000	82000	Hold on.
82000	84000	I'm just eating arrows called
84000	86000	leche live in life.
86000	88000	Sip in a ahoritos.
88000	90000	Hello, everybody.
90000	92000	I'm gonna go make myself some tea while we're living.
92000	94000	No.
94000	96000	Should I die?
96000	98000	Why?
98000	100000	Why?
100000	102000	No, you're okay. You can go make some tea.
102000	104000	She's like, I'm busy.
104000	106000	No, you can fuck this straight.
106000	108000	I'm gonna go make some tea.
108000	110000	You can go make tea.
110000	112000	That's fine.
112000	114000	Oh, we need to help Merci.
114000	116000	Why did this get first stream on?
116000	118000	Guys, we have been at this
118000	120000	for 26 minutes.
120000	122000	We were on Powerwasher
122000	124000	for one hour.
124000	126000	And every time we went past
126000	128000	four of the girls connecting,
128000	130000	the connection
130000	132000	started timing out for some reason.
132000	134000	But if for some reason
134000	136000	in Powerwasher,
136000	138000	if you haven't played the entire campaign,
138000	140000	it doesn't allow you to have
140000	142000	six persons in your lobby.
142000	144000	And I'm the only one with a finished save file.
144000	146000	And it was too late to
146000	148000	ship all the coding information
148000	150000	to send it on
150000	152000	on your stream.
152000	154000	Yeah.
154000	156000	And so basically,
156000	158000	Shebe rescued.
158000	160000	Shebe was like, right, I'll set this one out.
160000	162000	You guys just do it and we're like, no, we can't do it.
162000	164000	The whole point of this is that we're all together in this.
164000	166000	So then we're like, right, who's got Gmod, right?
166000	168000	I don't have it, right? Who's got RAF, right?
168000	170000	Who's got this game? I don't have it.
170000	172000	I was trying my best.
172000	174000	Shebe was like going through the list.
174000	176000	She was flicking them pages like, next page,
176000	178000	next page, next game, next game.
178000	180000	Jackbox. Okay, that won't work.
180000	182000	Literally.
182000	184000	We went, all right, we'll do Jackbox.
184000	186000	And then wait, that requires us
186000	188000	to screen record the discord.
188000	190000	I'm like, we can't have that. We see outrageous things
190000	192000	in the discord. We don't even have a HR department.
192000	194000	So we can't share.
194000	196000	So then,
196000	198000	we have a static phone,
198000	200000	which I've never played before.
200000	202000	It's coming in clutch right now.
202000	204000	Amy's currently making a cup of tea.
204000	206000	Merci
206000	208000	is just
208000	210000	getting
210000	212000	a room set up for her
212000	214000	because
214000	216000	she accidentally nuked her bot
216000	218000	of her
218000	220000	the collab stream.
220000	222000	It was a disaster.
222000	224000	This could have gone
224000	226000	any worse.
226000	228000	So just
228000	230000	I think that's like, pretty on character.
230000	232000	Yeah, if someone can insert
