start	end	text
0	27280	I forgot my shirt went live, eeps, eepsie
27280	40720	good morning, good evening, good afternoon little reflens, you see me?
40720	45820	okay I know we're on the just chatting screen okay, I know we're not on the game screen
45820	53680	and you're probably shitting your pantelones okay, but we have an absolute fantastic update
53680	66360	which I can't talk about, I'm allowed to talk about it now okay, Viallure officially
66360	73520	have partnered with gamersupps, eepie, all the girls' descriptions will be updated and
73520	78840	they'll be tweets made very shortly, but Viallure are officially partnered with gamersupps
78840	83800	you can use everyone's name as a checkout code for 10% off, I'm not even trolling, yes
83800	91040	they really happened, I don't know how it happened, but it happened, gamersupps thumbs
91040	96600	up, we love gamersupps, as always the girls get to keep 100% of the earnings, Viallure
96600	103680	do not touch it because I don't want to touch it okay, I finally can buy strongy's sweat
103680	110400	well apparently there's a flavour called Isaac Tears which is so awesome, Viallure's
110400	116880	descriptions will get updated soon, there will be tweets made very shortly, what is
116880	117880	that?
117880	123760	it is an energy drinks company, but you can also get non-caffeinated beverages as well,
123760	134840	but yeah it's another income source for the girlies and I'm so happy, but yeah that was
134840	151240	my big news that was kind of like lurking around in the background, I got a new short
151240	156000	that got uploaded as well, I'm just reading some of the comments on it, strongy is neurodivergent
156000	163800	if that's true base, at one point screams I'm freaking normal, now you can get a taste
163800	168600	of mummy, I mean after the last run it was obvious you're the final gamer, that's why
168600	175760	they wanted a piece of me, blame the tism, yep blame the tism, but yes I have a new short
175760	180920	if you haven't seen it yet, it's about how the background musics are all about sonic
180920	185240	heroes which actually came in really good timing because we literally just played sonic
185240	195560	heroes, sonic heroes, I will definitely do an endurance, it's some comment, oh I thought
195560	201240	this is about how the veiler company was being made up of lootubers was the exposing, I didn't
201240	207080	know it was going to be about background music plagiarising, my guys not that serious, it's
207080	212560	not called plagiarism, it's called influence, have you heard of influence before? I've
212560	218160	approved the comment anyway but what the fuck it's not actually really exposing the fucking
218160	228120	company what the fuck, I also had an offline tip so thank you spidey for the offline tip,
228640	237560	they put tess for some reason, I don't know why, Mr Beast collab when? Mr, Mr, Mr Beast,
237560	242440	oh but speaking of things that are coming up soon, now this one's just coming up for
242440	250440	me and it was you coming up for me, hey let's go we got an update, check it out, I'm poignant
250440	255440	with you, look at your little little, I like how you've already somehow got the nicotine
255440	261560	patch on your head, I'm leaving it because it's true to your design, but check us out
261560	268440	together, we're so cute, so we've got this version that's coming along very quickly,
