start	end	text
0	10000	I've no idea what's going on, but I've got the live going by, and I was like, 2.30,
10000	20000	that's not 3 minutes, I don't know what's going on.
20000	32000	10 times 4.
32000	46000	I also, um, okay there we go, I think that's me up.
46000	51000	Good morning, good evening, good afternoon.
51000	59000	I just want to start off the stream and say I'm an absolute agony, there's something wrong with my digestive tract right now.
59000	66000	No, it's not ketchup season before anyone gets excited, I don't know who would get excited about ketchup season.
66000	73000	I basically went to sleep with the store stomach, I've woken up with the store stomach, I still don't feel good,
73000	87000	I'm not really sure what the dealio is, but I'm just going to hame a water, hame, have my water, and then have you tried a jove,
87000	89000	I don't know if it's that.
89000	93000	We are on Xbox, we are officially getting GamerScore.
93000	95000	Right, tutorial first.
96000	102000	Even though the tutorial in this game was so hard for no reason.
110000	121000	I'm right into it, I don't, you know the folks that have a loading screen for ages?
121000	126000	We are literally on an Xbox 360 right now, like streaming to it.
126000	131000	I might be able to open up my GamerScore and it'll be like 120 from Skyrim.
134000	143000	No love, all love, unfortunately I'm just a bit sore, I don't know what the result of the stream is going to be.
144000	155000	Right, so this beautiful game was created by Rare Studios and it was probably one of the first fantasy games I ever played.
155000	161000	And it was, it just completely captured everything I want in a Wii video game.
161000	164000	Yeah, damn it's loading.
164000	169000	But I hope you guys are doing okay.
169000	177000	As for any behind the scenes stuff, my collab with Denpa is out on Patreon only access.
177000	190000	I'm just waiting for her to send a PNG of her and her beautiful tentacles and then I can render out the video.
190000	195000	And, oh my gosh, I have my lovely pommel route.
195000	198000	Look at how many gamys are floating around.
198000	202000	Oh, there's Grows.
202000	204000	I didn't know anyone else that played this game.
204000	207000	I'm an Xbox child, what can I say?
207000	217000	So we have three elemental warriors, we have Chinchilla, we have Pommel wheat and we have our beautiful major ruin.
217000	224000	You have to say it, you can't just say it's major ruin, you have to go major ruin or else it doesn't count, okay?
225000	227000	Demand?
230000	236000	Oh, the water temple used to make me so nervous, like I couldn't handle it.
236000	246000	Now, I will say one thing, before anyone's expecting it, there's a bit of delay between me and the Xbox receiving this.
246000	260000	So the game pass, you also, instead of downloading the game and playing it on your end, the game pass basically streams to an Xbox.
260000	266000	Sorry, I thought you were just going to go three times there, I just wasted a bit of time there, but whoopsie.
266000	268000	I love these older games.
269000	280000	So I recently tweeted out, I was like, thanks for the first month of streaming, and then I looked at it and I'm like, wait a minute, these are all games I've already played.
280000	286000	I like, listed, I was like, well, my favorite game was Boutro, I really liked it and I really enjoyed their buckshot.
286000	290000	For you, this side my child would like to hear, such a fun game.
292000	294000	Galo, why can't I not see that?
294000	297000	What the heck, why can't I hear that but not see that?
298000	300000	Well, that was weird.
300000	304000	I was like, Brian, but I don't see any Brian, hello?
304000	309000	Galoglass, thank you for the tech, for real, it's my childhood game, it's such a fun game.
309000	319000	Literally, it's such a pretty fun to see game as well, sorry, but this game was made for, I don't know, really happy good times, okay, because I deserve it.
320000	326000	Now, I'm pretty sure I can't just ace a Corvus guy.
326000	329000	I see that guy in the distance coming towards me, I don't know what he's doing.
329000	337000	Okay, our objective, oh, well, that was our objective actually was to throw him in the fire.
337000	348000	Right, yes, my behind the scenes update, unfortunately, because I wasn't very well, the only thing I did yesterday was edit my collab with Denpa.
348000	357000	Originally, I was going to do the Freya collab, but sadly, I had trouble opening up the file, so I had to get it converted.
357000	359000	Was that a bad guy or not?
359000	366000	As if a meteor just comes from the sky and wallops me, that's outrageous.
366000	372000	Take it back right now, that's my XP you absolutely can have it gone.
