start	end	text
0	2000	Wow...
2000	6000	Tasting, tasting...
16000	18000	My voice is sharp before any...
18000	20000	Yes, get excited!
22000	24000	Testing...
24000	26000	Microphone test...
26000	29000	Ah ah, microphone, okay.
31000	33000	Audio is a freaking thing.
33000	36000	Oh yeah, it's streaming time.
36000	38000	Are you guys there?
38000	41000	Testing...
41000	44000	Oh, YouTube gave me acknowledgement I'm live.
44000	46000	Hello...
46000	48000	Good morning!
48000	50000	Good evening!
50000	52000	Good afternoon!
52000	54000	How are my little wiflings?
56000	58000	Very very sweet!
58000	61000	No one is going to get that reference.
61000	64000	Good morning!
64000	66000	How are you?
66000	71000	I'm currently glowing because of the events that occurred last night.
71000	76000	After a stream that should not be named.
76000	82000	You guys had some very interesting marshmallows for me when I woke up.
82000	86000	I do have some good tiny VLR news.
86000	93000	AC and Emmys second batch of emotes have been accepted and paid for.
93000	96000	So do hold your breath for them.
96000	99000	The girls picked what emotes they want and they were very charming.
99000	101000	I think they're adorable.
101000	107000	Up next is ordering Sheevee and Mersi's emotes.
107000	110000	I'm having to do it in batches.
110000	112000	The wait time is 30 days.
112000	118000	But as soon as they've been accepted it's just something in the background that I don't have to think about.
118000	120000	Which is fantastic.
120000	129000	I am submitting my emotes last because I know how ever so patient my beautiful wiflings can be.
129000	134000	So I do appreciate your patience until the new emotes do show up.
134000	136000	We are getting there.
136000	139000	We will soon be there.
139000	144000	I will do that later.
144000	152000	My voice is short unfortunately but hopefully the microphone is covering up the majority of how badly short it is.
152000	156000	And I think we're just going for it.
156000	158000	We will wait as long as it takes.
158000	162000	I think ours are going to show up in like 40 days which is quite a lot.
162000	169000	Considering how much mome streams.
169000	177000	I'll be a whole second but I mean I see their emotes have been submitted and I get to see the adorable drafts.
177000	182000	The mot artist has already worked on them before so it might be a faster process.
182000	183000	Question mark.
183000	184000	I don't know.
184000	187000	I submitted to them the ref sheet.
187000	189000	They're all the emotes and what they want here.
189000	191000	Time to diminish.
191000	194000	No we are going to save.
194000	197000	I have a cup of tea.
197000	199000	I've got a hot war ball.
199000	206000	I may or may not have slapped myself a little too hard but I hope.
206000	208000	That phantom we saw earlier.
208000	210000	He said he had an ancient king of Hyrule.
210000	211000	What else do we know?
211000	214000	The element was nowhere to be seen in the wind runes.
214000	217000	I guess we'll just have to go to the place marked on our map.
