start	end	text
0	26840	Good morning, good evening, good afternoon, what what the heck were these bases wait
26840	31720	Minestrone those are clearly the bases that Mercy used on her stream
31720	40520	uh no what are you talking about these are completely clear base models that we
40520	43640	can utilize for African mystic
43640	53000	erodia gothani san erodia gothani san erodia gothani san erodia gothani san
53560	59960	pretty please with sugar on top make her gothani hop employee of the month thank you
60520	67400	oh you're you're welcome thank you for that hold on i'm just looking at stream elements my stream
67400	75240	elements has disappeared i can't forget here thank you raven for the tip you won erud erudere
75880	79480	hold on erudere i might have actually put the request on you know that
79880	91400	erudere erudere are characters who who pretend to be erotic at first but after falling in love
91400	97720	start to be more pure innocent and romantic isn't that the one where she looks like a fiendish thank
97720	104760	you for becoming a mim i am having schizophrenia i said thank you for becoming a member yesterday
104760	107560	to you
107560	115560	oh are you going to again thank you for becoming a member um isn't that the bimbo
115560	120040	application to wife material thing where she like drops the book and picks it up and then
120040	126120	she's like a wife by the end of it is that what you're asking congrats on a living k i got a living
126120	135400	k stop have i not not you're lying i only sell what i only celebrated 10k yesterday
135400	140040	or was it the day before i haven't slept i'm so sorry i don't know what day we're on
141080	148840	what how am i 11 000 that's insane thank you everyone for subscribing and liking and interacting
148840	159400	oh my gosh that clip we were in reverse bimbo application honestly right we will do pure right
159400	167800	let's see what your suggestion was let me reread it okay goth make her goth i hop employee of the
167800	174760	month right okay but you never said body type so we totally don't have a zura here you can pick
174760	183480	between regular a lollipop this is supposed to be milk but look i'll just i'll clean it up a
183480	187960	little bit okay let me just click this totally isn't she be what do you mean this is her hair
187960	194920	drills stop it what are you talking about yeah the the bases are by mersey i give credit to
194920	201320	mersey shawnee's is so much that honestly the desert look what do you mean this is clearly emmy
201320	209960	no it's not you're teasing me andrew scarlett thank you for the extended membership you deserve it
209960	214920	you're the best moment oh thank you everything are we already kissing at the start of stream
216520	221880	we're not supposed to but i couldn't help myself we just have to grab your little face
223080	229960	uh right okay so we've got goth i hop employee of the month and the term you want me to use is
229960	237560	erudere goth oni san uh you're literally just asking for my alternative outfit uh and i do like
237560	247000	to be seen as a big sister so twin race this is our problem what body type though what what do we
247000	254600	want for the body type on the goth big sister is it my body type or is it shebe's body type
255560	259560	are you squiddin me right now are you oh no i'm still doing the suggestion
259560	266760	strongly oh anon thank you i love anon i love refilling i don't know what variation
266760	275400	you're right now only somebody type mersey or shebe ester and ember also top tier
275400	282760	i like the way brian said in shebe question about shebe okay we're gonna wait wait why can i not
282760	287320	like move this over hold on sorry it's really not liking this right now what do you mean ms
287320	292600	paint is getting a bit old no don't say such things okay as long as you can see it on stream okay
292600	300040	we're gonna do goth i hop employee okay but yes i'm open to suggestions now do you want me to do
300040	306920	all five suggestions first and like we'll pick one for the body types and then we'll start drawing
306920	312920	or do you want me to pick draw pick draw pick draw pick draw how do you want it it's all in your
312920	320360	hands baby yeah i was hanging out in ac stream she's trying to she's trying for the life of her to do
321320	329080	um uh like childhood talk stream she she hasn't done one thing she actually only showed a part of
329080	333640	her childhood at the start of streaming that's it make her look like she eats an i-hop six pack
333640	338920	every hour what's an i-hop i assume that just means six pancakes in the stack actually pick draw
338920	345000	pick draw pick all five first oh god you guys are gonna you guys need to azura's neck no what are you
345000	352360	taught that's not azura what what makes you think this is azura that's bizarre like i honestly have
352360	359800	no clue why you think this would be azura at all like it it's actually kind of i don't know i feel
359800	368840	like you're being stereotypical here what are you talking about ruthlyn see it's not azura at all
368840	382040	see is anyone buying this yet or anyone buying what i'm selling pull you want to pull um i have to go
382040	394280	here to do the pull start pull how do we do this pick draw pick draw pick draw draw draw
395240	402760	eh no sorry pick all then draw start pull i'll just clear up the not azura by the way
403720	410120	oh my god clearly i can't color in between the lines of the child
413240	419480	we did it this is no longer azura and we have undeniable proof it's not azura
423320	427480	whoa you guys are getting kind of close to being a split okay pick draw pick draw pick draw i look
427480	434680	like okay i'm gonna sip my tea but good morning hope you guys are having fun i've tried to upload
434680	439960	all of my streams for this week youtube is having a hissy fit so they're all at the wrong time and
439960	448200	stuff but i have picked my um little i have picked what i'm gonna do this week how long does it take
448200	454360	to draw well considering i have absolutely no um hours behind drawing i don't know how long this
454360	458920	is gonna take i have no idea what i'm doing i'm just here for a good time but i've got goth eye hop
458920	468200	right here right what have you decided pick draw pick draw pick draw all right okay you guys have
468200	475560	decided guys have decided right let me slurp my tea okay so the first things first you need to pick
475560	483720	the three colors that go behind the design okay so you guys have said goth eye hop is eye hop's
483720	490760	logo red yeah is eye hop's logo red my brain wants to say it's red yes or no be be honest
494200	499240	good afternoon hope your day's going great my day hasn't even ended yet i have not slept
501640	506520	there's a new development behind the scenes and i can't even leak it i of course the eye hop is
507000	512200	it's like blue and white it's blue and white a blue and white goth so blue
513480	519240	white and black for the goth okay so this is our little color palette that we get to pull from
520040	524760	it's blue with red accents okay and then obviously because it's goth we have to do black
524760	534440	so this is our color scheme developed now for a cheeky goth um okay there's a little red uh
534440	539240	maybe maybe i'll do a red god i'm returning into france over here steady on
542280	550280	okay so for our totally not she be design um for our pupil let's start with the pupil
551160	559480	she is a goth goths are known for how dark they are what's a dark pupil that we could make i have
559560	564440	no idea so first let's do the pupil that's the most important part of a veal or design because
564440	570920	we do not have like a default pupil oh god that's so squiggly let's give her eyelashes oh you're
570920	582040	so kawaii ooh lovely oh my god you're such a beautiful girl uh an american god did you at least
582040	588680	get a good nap no i got like 30 minutes why no slime girls i think we're probably going to be
588680	596840	designing a slime girl i think we're probably going to be designing a slime girl red red white
596840	605240	and blue goths are known for their love of kenny from south park vampire bat shape i think a goth
605240	616840	would be cross an upside down cross maybe now your pupils really cannot be black well actually
616840	623640	no that's exactly what color the pupils are they are normally black but for a vtuber it's not like
623640	630200	how you're supposed to do it oh strani what do you know about development fuck all i don't draw i just
630200	636520	like you just can what looks good so we're just gonna do a darker hue on the outer side of her
636520	644360	eyes like that and then for the cross should we do it black i mean we could get away with it being
644360	650840	black a little upside down cross like this for the oh that's that looks like a plus sign try again
651560	656520	he won't strong it there we go upside down cross for the pupils and then it would have like the
656520	667320	accent of um oh maybe no that looks too silly okay it would just have like a little white
667320	673400	highlight around it i'm covering up the black note you know what i'm trying to do right you guys can
674120	680760	do this right yes for the slime girl you have to pick what body type you can have milk you can
680760	684840	have regular or you can have a lollipop on the slime but you guys can we'll do that after we've
684840	692840	designed our little une san okay so we've got our pupil type already fantastic um if she is her big
692840	702120	sister i don't normally see um how the fuck do i zoom in oh hold on hold on i'll pause this
702120	709160	stuff there we go boom zoom in like this um oh that looks even worse zoomed in who thought of
709160	715720	this stream i mean it was me but it's even worse than i imagined okay so now we need to transplant
715720	722520	her eyes on right so when it comes to anime the eyes are like down here okay so don't be
722520	732360	fooled the eyes need to start like all the way down here it looks weird right okay why did it wiggle
