start	end	text
0	2000	what
2160	4160	wow
4160	6160	wow
6160	8160	uh-uh-uh
8160	10160	my goki
10160	12160	he
12160	14160	he
14160	16160	ah
16160	18160	I need to get comfy
18160	20160	what
20160	22160	Is this Freeman Ray?
22160	24160	Okay electric
24160	26160	that's right
26160	28160	that's right
28160	38880	That's it's good to me. Good morning. Good morning, good evening, good afternoon. I'm a tired baby.
38880	46480	I had a really weird dream that one of you guys offered me weed. I don't know why. It was really
46480	56400	weird. Like we were flirting with each other and then you offered me weed and I was like oh sorry
56400	62560	I've never smoked before uh I said something like I'm a good girl that hasn't partaken in
62560	69680	recreational drugs and my alarm went off and I was like okay that was rather weird so and now
69680	75040	we're here yeah it was a really weird weird confluent way to get here I'm not gonna lie
75760	84080	it's rather I'm still a bit frazzled it was rather um I was rather crazy I have to admit
84320	90560	the goodest girls refuses it well I don't know why my brain thought of it because I'm not
90560	95680	heard of anything in the news about it or anything like that so I don't know why my brain was like
96480	101120	I don't know there's a tiktok song that goes like past the weed past the liquor so I'm like
101120	103360	I'm wondering if that my brain would bloom all right then
106960	118240	I have cola today no tea I have cola I think uh I'm a I'm a wee bit sad okay because I think my
118240	124000	dad's a bit disappointed in uh oh well we all know what skin Icy would pick one of these ones
124000	130000	um I think my dad's a bit disappointed that I don't have a lot of energy after stream and I'm like
130000	136720	oh I'm feeling bad I don't want them to feel like I'm gonna be a shy guy I'm gonna be green
140480	155120	okay but yeah um how'd I get you guys in here again show room ID plus sign okay delta free Romeo
155440	162960	who are you squidding me right now for gore I had some weed last night so it was probably me
162960	167120	it's really good for eating ice cream yeah finally gives you appetite and stuff I never spoke about
167120	175680	that in my educational stream um thank you Joe Bono or shawnee's husband thank you for this super chat
175680	178880	are these wafflings oh my god it's fucking water wait oh you're con
179840	187040	ha I'm water wait first one fucking comment you can take a few days off to hang out with your dad
187760	194560	oh my god it's waterway how'd I talk to you it I'll say good luck as if I'm not gonna get
194560	204080	absolutely smoked I did not play this game they call it the munchie hello I don't know how big
204160	211520	the room can go I think it's eight people per track Jesse we need to race in Mario Kart Jesse please
212800	219200	uh what else can I see oh no that's picking a character sorry wrong one wrong one I'm excited
219200	232400	I'm always excited around the room um no it's not because I stream I think my dad doesn't realize how
232400	242480	like tired I am as a person so we went out and we had a we went to a Mexican place that was really
242480	249760	nice uh I got to pick up some candy for a hand cam stream you know the poppin cooking that Emmy did
249760	260240	with her rats oh the I just realized I remember he went delta three Romeo two mango and I bought
260240	268000	the poppin candy and then like I did I got some dinner food shopping type thing right and then I
268000	274480	came home and I was like I'm so sorry but I need to go to sleep now and like he kind of just looked
274480	281440	at me a bit funny and I'm like well I'm tired I streamed twice yesterday and I get really exhausted
281440	288480	easily and I just felt like a look at disappointment and I'm like oh but I don't have good needs like
288480	294720	that and I felt a bit like oh I didn't expect him to react like that and I'm like well I'm always
