start	end	text
0	2000	Okay.
8000	12000	Focus on your life so you can let your dreams come back to you.
12000	14000	No, I don't want to play any more.
16000	18000	Go back real.
22000	24000	Save your dreams.
24000	29000	It took 1,000 years to perfect the battle machine.
30000	34000	But it's only a second to pull the trigger.
43000	45000	Good morning.
45000	48000	Last morning, you got the Atlantic Sea?
48000	50000	You don't watch the sea?
50000	52000	You don't watch the sea?
52000	54000	Yeah.
66000	68000	Well...
69000	72000	Sorry, game's still out, game's still out.
72000	74000	Return back to the...
74000	76000	To what? To speak?
76000	79000	Oh my god. Make phones in my arms.
82000	84000	Okay. Well good morning.
84000	86000	Good evening. Good afternoon.
86000	88000	Have fantastic news.
88000	90000	I slept.
90000	92000	Oh my god.
92000	94000	I slept.
94000	98000	The fucking Christmas party.
98000	100000	Uh...
100000	102000	I also...
102000	104000	Also give him an animal.
104000	106000	Give him an animal. Oh.
106000	110000	So now I no longer have the belly of someone that has 5 days old.
110000	112000	Uh...
112000	114000	Shit.
114000	116000	Basically...
116000	118000	Can we finish the Yumi camp?
118000	120000	Sorry, this was a disgusting thing I could probably ever see.
120000	122000	And it's first thing in the morning.
122000	124000	Um...
124000	126000	Basically started after the Yumi...
126000	128000	Um...
128000	130000	Oh yeah. Oh no, this can't be.
130000	132000	Put me on easy. Come on.
132000	134000	Current levels. Suffer the silence.
136000	138000	I can't pick anything else.
138000	140000	Oh no.
140000	142000	Oh no, this can't be.
142000	144000	Creatin' you? Oh no.
146000	148000	We can only pick make warrior.
148000	150000	We have to do normal difficulty.
150000	152000	We can't just do camp.
152000	154000	Right, anyway.
154000	156000	Very quickly summarized what happened.
156000	158000	After the fantastic Yumi plus collab,
158000	160000	which was an absolute hoot and holler,
160000	162000	turns out we all love each other.
162000	164000	Um...
164000	166000	I basically passed out
166000	168000	for six hours.
168000	170000	And then I woke up and I was like...
170000	172000	Ugh, my stomach, my stomach.
172000	174000	Ugh, I can't do this anymore.
174000	176000	So I give him an innermot
176000	178000	and I did that.
178000	180000	And I ended up...
180000	182000	I ended up passing out
182000	184000	again after that.
184000	186000	And I woke up with five minutes to go.
186000	188000	So all in all,
188000	190000	I ended up sleeping 12 hours.
190000	192000	I woke up with a massive headache.
192000	194000	That's not gonna stop me. I'm taking painkillers.
194000	196000	Turns out I am...
196000	198000	I freaking...
198000	200000	But I accidentally hydrate
200000	202000	via my fucking ass.
202000	204000	Because it didn't come out at first.
204000	206000	And I was like, excuse me?
206000	208000	Water? Where did you go?
208000	210000	Hmm...
210000	212000	Um, so that was actually taking room.
212000	214000	No.
216000	218000	Uh...
218000	220000	The good news is...
220000	222000	We're playing...
222000	224000	It's technically a childhood game,
224000	226000	but I was actually too weak
226000	228000	to play this at any point.
228000	230000	So I know of,
230000	232000	you know, all the mech
232000	234000	types and all of that.
234000	236000	Because I watched my dad play this game, basically.
236000	238000	So I don't even know if we're gonna successfully
238000	240000	get through it, but it doesn't matter.
240000	242000	Because we're gonna try our best.
242000	244000	I do have a ASMR
244000	246000	membership stream planned.
246000	248000	As well, at the end of this.
248000	250000	Now, if we do get hard stuff,
250000	252000	uh...
252000	254000	My plan is to throw mech
254000	256000	assault out the window, and then
256000	258000	I'll just do my membership.
258000	260000	Eh...
260000	262000	Take time for your health.
262000	264000	Literally,
264000	266000	I kid you not, I should have played this
266000	268000	when my...
268000	270000	When my dad gets here.
270000	272000	Because he could unironically...
272000	274000	He plays...
274000	276000	Uh, you know what?
276000	278000	I'll remember the map when we get on it.
278000	280000	The last map, as Atlas,
280000	282000	he absolutely adores
282000	284000	and the other one, he absolutely adores.
284000	286000	There's one where you can, like, level all the buildings.
286000	288000	And...
288000	290000	So, my dad...
290000	292000	He's a wee bit, like,
292000	294000	mean, he's a wee bit autistic, but he doesn't realize it.
294000	296000	And he used to play the same map
296000	298000	over and over again, and did the exact same thing.
298000	300000	Same thing, over and over again. It's rather adorable.
300000	302000	Can you change the difficulty
302000	304000	if you're creating your profile?
304000	306000	No.
306000	308000	It's just, like...
308000	310000	Oh my god, axes!
310000	312000	Viva la France!
312000	314000	Eh...
314000	316000	Yeah, it doesn't want to do anything.
316000	318000	Just stay back facing them.
318000	320000	I mean, I guess...
320000	322000	Yeah.
322000	324000	Whoa! Okay, I guess I just...
324000	326000	Oh wait, current levels
326000	328000	suffer this silence.
328000	330000	It's not much of a sufferage.
330000	332000	I'm guessing this is, like, corporal
332000	334000	ranks, because in this mecha game
334000	336000	you are...
336000	338000	Um...
338000	340000	You'll never guess what.
340000	342000	You're piloting a mecha!
342000	344000	Ah!
344000	346000	Ah!
346000	348000	What are the odds?
348000	350000	Um...
350000	352000	But yes, sorry, I'm just waking up a wee bit.
352000	354000	Oh, aces!
354000	356000	Snowberries!
356000	358000	No, I'm piloting a mecha!
358000	360000	Mech asshole!
360000	362000	Oh my god!
362000	364000	This is both their fault.
364000	366000	Shut up, Isla.
366000	368000	I'll jump in it right now.
368000	370000	Hi!
370000	372000	Snowberries!
372000	374000	Guten Morgan!
374000	376000	I'm currently slurping on my little teeth.
376000	378000	And then we're going to jump into this game
378000	380000	called Mech Assault.
380000	382000	It is an Xbox original!
382000	384000	Not even Xbox...
384000	386000	Not even Xbox 360!
386000	388000	No, no, no, no, no, no, no.
388000	390000	This was an Xbox
390000	392000	No...
392000	394000	Wait!
400000	402000	Wait a minute!
402000	404000	This is the early...
404000	406000	The first mission!
406000	408000	Ooh!
408000	410000	It has a lady pie!
410000	412000	Hi, AC!
412000	414000	I think she's going to be resting.
414000	416000	And then hi, Snowberries!
416000	418000	We're playing Mech Assault, we're about to go speak to
418000	420000	the lady!
420000	422000	Now, you might notice my title is the most bizarre thing
422000	424000	you've ever fucking read out of context.
424000	426000	We took part from the heavy Mechs
426000	428000	to fix the Cougar Scout Mech!
428000	430000	Um, well, yeah!
430000	432000	Wait, what time?
432000	434000	I'm going to drink my tea.
438000	440000	Hey, sport, you ready?
442000	444000	I've got our orders.
444000	446000	The invasion still steps off as planned.
446000	448000	We're not paying us to be late.
448000	450000	But the best part is that we get to go in first.
450000	452000	Just like old times.
452000	454000	The Intel boys say the enemy is powering up
454000	456000	a set of nasty, ground-to-orbit guns.
456000	458000	If those are online when the rest of the dragoons arrive,
458000	460000	everyone dies.
460000	462000	And we blow our bonus.
462000	464000	So our little team gets to make a covert landing
464000	466000	outside the range of the existing guns,
466000	468000	sneak across half a continent,
468000	470000	and take them out before our dropships show up.
470000	472000	I think it's Loki, we play first.
472000	474000	I think it's Loki, we play first.
474000	476000	Me?
482000	484000	Wait, is that Logan?
484000	486000	That makes me call Logan.
494000	496000	Wait.
496000	498000	Wait, so that's the intro.
500000	502000	So then, eating dirt is the first mission.
504000	506000	All systems normal.
506000	508000	We're in the pipe. Touchdown in two minutes.
508000	510000	Oh my god. It's like a pixel on my screen.
510000	512000	We've been scammed.
512000	514000	Weapon fire inbound.
514000	516000	Lieutenant Foster, how did they detect us?
516000	518000	Alpha, Bravo landers.
518000	520000	Prepare to hot-drop.
520000	522000	I want you out of this grave now.
522000	524000	Brace yourselves, boys. We're going in.
524000	526000	Is this the first mission?
526000	528000	Or am I picked the wrong one?
528000	530000	Wait, these are...
530000	532000	Wait.
532000	534000	Why does it say select mission,
534000	536000	and I keep getting fucking...
536000	538000	The operation is off to a bad start,
538000	540000	but the Icarus is not granted.
540000	542000	Our job will be much harder.
542000	544000	Why do I keep getting cutscene?
552000	554000	Okay, this is the first mission.
558000	560000	Here's a quick status report.
560000	562000	Alright, it's Cougar Scout Mac.
562000	564000	I knew it was Cougar.
566000	568000	I knew it was Cougar Scout Mac,
568000	570000	because of this voiceline coming up.
588000	590000	Oh.
590000	592000	Oh, my God.
592000	594000	Holy...
594000	596000	Holy moly.
596000	598000	Holy moly.
598000	600000	Oh, my God.
600000	602000	Oh, my PC's ready to catch fire
602000	604000	because it's kind of...
604000	606000	weird thing.
606000	608000	Okay.
608000	610000	So, there's a hidden multiplayer...
610000	612000	So, this game used to be multiplayer,
612000	614000	and there's a hidden function in it.
614000	616000	Oh, yeah, be safe.
616000	618000	There's three baddies.
620000	622000	Oh, my God, my PC's ready to catch fire.
622000	624000	If I randomly go offline,
624000	626000	you know exactly what.
626000	628000	Right.
628000	630000	Oh.
630000	632000	Are they so brave?
632000	634000	Why are you coming up against them, then?
634000	636000	Look at the size of me.
636000	638000	Oh, my goodness.
638000	640000	Right.
640000	642000	So, the thing about NCT 2
642000	644000	is you can just walk on it.
644000	646000	Oh.
646000	648000	Oh.
648000	650000	I don't know if you can hear that.
650000	652000	They're going up.
652000	654000	Oh.
658000	660000	Right.
660000	662000	Next.
662000	664000	Why...
664000	666000	Why changes?
666000	668000	Okay.
668000	670000	Okay.
670000	672000	Next.
672000	674000	Is that a ship?
674000	676000	I think he's glitched out.
676000	678000	Oh, right.
678000	680000	It controls the ammo type by X, Y, and Bravo.
688000	690000	A trained mech of work.
692000	694000	Destroy it.
694000	696000	Weapons. Use your left trigger
696000	698000	to cycle through the weapons,
698000	700000	or just...
700000	702000	It's official.
702000	704000	They know we're here and they will be coming for us.
712000	714000	Coming back for more?
716000	718000	Oh, my God.
718000	720000	Be sure to secure any sound that you find.
720000	722000	The game audio is so loud.
722000	724000	Ah.
724000	726000	Right.
726000	728000	So, we want music down
728000	730000	and we want sound down,
730000	732000	so you guys can actually hear the in-game ending.
732000	734000	How's this?
736000	738000	I don't know why my mic is acting
738000	740000	all quiet all of a sudden.
740000	742000	It's normally like, I'm so freaking loud into it.
744000	746000	I'm feeding it through the thing.
746000	748000	How's that?
750000	752000	Kind of.
752000	754000	How's that louder?
754000	756000	Well...
756000	758000	I see a max gain right now.
758000	760000	Filters.
760000	762000	Gains.
762000	764000	Okay, this is up by 14 decibels now.
764000	766000	Testing.
766000	768000	Test tickles.
770000	772000	Testing the tickles.
772000	774000	Repeat, testing the tickles.
774000	776000	Oh, see, these are health pads.
776000	778000	See that green box?
778000	780000	That's for health.
782000	784000	Maybe we were destined
784000	786000	for the longest collab.
786000	788000	Okay, it sounds much better.
788000	790000	Much better.
790000	792000	Test.
792000	794000	I can't remember what blues for my ultimate.
794000	796000	No.
796000	798000	So, if you lose health,
798000	800000	you can pick up one there.
800000	802000	And then, I guess,
802000	804000	that must be for this.
806000	808000	Again.
808000	810000	Oh, the blue must give infinite.
810000	812000	Oh, almost.
812000	814000	A new...
814000	816000	Attackable one.
816000	818000	Yeah, you literally step on them.
818000	820000	God, this game is actually kind of brutal for its time.
820000	822000	When you...
822000	824000	Yep.
824000	826000	Fucking supply convoy.
826000	828000	Oh, my God, my aimbot.
828000	830000	They never told me this game didn't come with aimbot, okay?
830000	832000	I'm trying not to get hit by it
832000	834000	because it's in the necklace.
836000	838000	I'm spraying.
838000	840000	Oh, that's the supply convoy already?
840000	842000	Holy crap.
846000	848000	Oh, my God.
848000	850000	I can't beat him.
850000	852000	I'm getting rules.
852000	854000	I'm getting rules.
854000	856000	Wait.
856000	858000	Why was my dad so much better at this game?
858000	860000	No, this can't be.
860000	862000	Fuck the rules.
862000	864000	Okay, there we go.
864000	866000	There we go.
866000	868000	Like, I was like, way ahead of me.
868000	870000	Hold on.
870000	872000	No, there's more.
872000	874000	Hold on, there's enemies.
874000	876000	Oh, no, I'm like half health already
876000	878000	because I'm getting too ahead of myself.
878000	880000	Wait, there is aimbot on this one.
880000	882000	Okay, I'm staying on this one then.
882000	884000	Like, aimuses.
886000	888000	The AI in this game is brutal.
888000	890000	Let me heal up.
890000	892000	Don't make me a bad mech warrior.
892000	894000	Come on.
894000	896000	Come on, let me heal up.
896000	898000	There was the turret.
898000	900000	Come forward.
900000	902000	Bro, I'm trying evasive maneuvers.
902000	904000	They're actually not working.
904000	906000	I'm not being funny.
906000	908000	I can't evasive maneuver and aim at the same time.
908000	910000	Can you not destroy these?
910000	912000	You must. Okay, I was going to say you must.
924000	926000	Bro, forget.
926000	928000	They're leveling me. This is the tutorial.
928000	930000	My mech is sparking.
930000	932000	It's actually ogre.
932000	934000	It's so ogre when I started.
934000	936000	My mech is sparking.
938000	940000	Yeah.
940000	942000	No.
942000	944000	My audio is on.
944000	946000	I don't know what the fuck the among us collab did.
946000	948000	I don't know why I'm so quiet.
948000	950000	I can't fly.
950000	952000	I'm literally sparking.
952000	954000	Bro, we're already doing the fucking ace of marching
954000	956000	before I knew it.
956000	958000	Whoa.
958000	960000	You?
960000	962000	Okay.
962000	964000	Well, something just shot.
964000	966000	I was going to say something just shot.
966000	968000	Wait, hold on.
968000	970000	I want to use my summer heal.
970000	972000	Thank you, jeez.
972000	974000	I've got more rocket.
974000	976000	Oh, it's just swapped me a rock.
976000	978000	Oh, and you pick up the ammo tape.
978000	980000	It swaps you.
980000	982000	Fuck.
982000	984000	Stop it.
984000	986000	Oh my god, I'm actually going to lose.
986000	988000	I'm actually going to fucking lose.
988000	990000	Um, this is the tutorial.
990000	992000	I'm not even kidding.
992000	994000	Why are freaking video games so brutal?
994000	996000	They did not care about anyone's feelings.
996000	998000	Honestly, they were like,
998000	1000000	no, you either win or you lose.
1000000	1002000	Fuck you. You have to use this thing again.
1002000	1004000	Like, where's most of these fucking things?
1006000	1008000	Sending a scout unit
1008000	1010000	and a frontal attack.
1010000	1012000	Absolutely genius.
1012000	1014000	And Diego.
1014000	1016000	Thank you for coming to member.
1016000	1018000	I'm to level this city.
1018000	1020000	I hear a chopper.
1024000	1026000	Why do I hear a chopper?
1028000	1030000	Oh, it's you.
1030000	1032000	Oh, this is mean.
1032000	1034000	People are just trying to either.
1034000	1036000	Can you aim for that?
1036000	1038000	Whoa.
1038000	1040000	Who do you think you are?
1040000	1042000	Okay, we're going for the health here.
1042000	1044000	Fuck. I knew there was a man.
1044000	1046000	No, these are...
1046000	1048000	I think these are looking.
1048000	1050000	Oh, no.
1050000	1052000	Oh, no.
1052000	1054000	Give me the fucking health right now.
1054000	1056000	Where is it?
1056000	1058000	No, no, no, no, no, no, no.
1058000	1060000	Don't do this to me.
1060000	1062000	I'm actually going to lose this tutorial.
1062000	1064000	Don't do this to me.
1064000	1066000	Hold on.
1066000	1068000	Oh, my God, yes.
1068000	1070000	Oh, my God.
1070000	1072000	There's auto lock on this fucking gun type.
1072000	1074000	Oh, my God, please.
1074000	1076000	Oh, my God, I'm scared.
1076000	1078000	No, fuck it. If you fly, I'm flying.
1078000	1080000	Fuck you.
1080000	1082000	How many rockets? I've got two more rockets.
1082000	1084000	Oh, we got one. We got one.
1084000	1086000	Hold on. You're next.
1086000	1088000	Okay, we're out.
1088000	1090000	Are we? Wait.
1090000	1092000	We have infinite aim bomb.
1092000	1094000	We have infinite things and I wasn't using it
1094000	1096000	the entire time.
1098000	1100000	We have infinite aim bomb.
1100000	1102000	Missiles.
1102000	1104000	And I haven't
1104000	1106000	been using them.
1106000	1108000	Right, I need one.
1108000	1110000	Oh, my God.
1110000	1112000	Sorry, that guy was literally trying to do a
1112000	1114000	freaking development job.
1114000	1116000	What do I need to destroy?
1116000	1118000	Head cores.
1118000	1120000	Man, fuck head cores.
1120000	1122000	I think there's a hidden item
1122000	1124000	in one of these buildings, maybe?
1126000	1128000	I'm starting to be in blame to the UI.
1128000	1130000	Literally, I suck.
1130000	1132000	You have infinite ammo for all weapons.
1132000	1134000	Wait, we're just using this one, then.
1136000	1138000	Fuck up this building.
1138000	1140000	Shut up, fuck it up, fuck it up, fuck it up.
1142000	1144000	Jesus. You've actually got some
1144000	1146000	decent HP. I'll give you that, Mr.
1146000	1148000	Buildings.
1148000	1150000	There's something shooting at me.
1152000	1154000	Bruh.
1154000	1156000	Am I not...
1156000	1158000	Who the fuck is...
1160000	1162000	I love the love of what...
1162000	1164000	Ah!
1164000	1166000	Ah!
1166000	1168000	Oh.
1168000	1170000	Just...
1170000	1172000	Ah!
1178000	1180000	Wait, and just like that.
1180000	1182000	Ah, right.
1182000	1184000	So we did that one.
1184000	1186000	Never doing last transmission.
1208000	1210000	Lieutenant, can you get that back?
1210000	1212000	I can't, Major. There's nothing to get back.
1212000	1214000	I see.
1214000	1216000	Any sign of the rest of Alpha Lance?
1216000	1218000	No, sir. Captain, get back
1218000	1220000	to the Icarus.
1220000	1222000	For now, it's just you and that scout mech,
1222000	1224000	but this operation continues.
1224000	1226000	Like I said, Dragoons
1226000	1228000	improvise.
1230000	1232000	Right, so we're getting our...
1232000	1234000	Oh, sorry, you can see that we missed it.
1234000	1236000	It's okay, suffering silence.
1236000	1238000	Military Defender's ability to
1238000	1240000	repel the impending invasion
1240000	1242000	by raising
1242000	1244000	their...
1244000	1246000	Home Center.
1248000	1250000	Again.
1250000	1252000	And again.
1256000	1258000	The loudness difference in this game
1258000	1260000	is crazy.
1266000	1268000	Uh-huh.
1276000	1278000	Right.
1278000	1280000	Simple.
1280000	1282000	Right, so we've unlocked the Puma,
1284000	1286000	but I don't know if it has
1286000	1288000	rockets like the other one.
1290000	1292000	Right, we'll try with the Puma.
1292000	1294000	And if we...
1294000	1296000	Puma pants,
1296000	1298000	because I do so badly with it.
1298000	1300000	We'll pick another one, thank you.
1300000	1302000	Sorry, I took way too long
1302000	1304000	on to hit the brim there.
1304000	1306000	I took way too long
1306000	1308000	to do that when I came in that joke,
1308000	1310000	so I literally just went shite myself
1310000	1312000	and then that was the joke. Right, okay.
1312000	1314000	They do seem to have some auto-lock type turret.
1314000	1316000	I'm so sorry.
1316000	1318000	I'm so sorry.
1318000	1320000	But I do like this game because you can like walk into stuff
1320000	1322000	and destroy it. Like...
1322000	1324000	Excuse you!
1324000	1326000	I'm just trying to enjoy the spawn area.
1326000	1328000	That's what I'm saying. These older games are brutal.
1328000	1330000	Like, there's no such thing as like
1330000	1332000	spawn area safety or nothing.
1332000	1334000	I really strongly...
1334000	1336000	Oh.
1336000	1338000	That one just killed his own guy there.
1342000	1344000	Oh, there's a brook floor.
1344000	1346000	Oh my god,
1346000	1348000	he like fires fast.
1348000	1350000	Okay, so here's a thing
1350000	1352000	that a lot of people didn't know about.
1352000	1354000	You might notice that
1354000	1356000	I've got a heat bar on the left.
1356000	1358000	If you stand in water, your mech cools down.
1360000	1362000	And a lot of people didn't know this in the multiplayer.
1362000	1364000	So my dad used to wreck
1364000	1366000	and deck in the multiplayer
1366000	1368000	like far beyond anyone's...
1368000	1370000	like, isn't knowing
1370000	1372000	you how he was winning.
