start	end	text
0	20000	I'm so sorry you're so close to my PC can you hear me I'm like really far away from the mic
20000	46000	can you hear me I might have to talk cause I'm so far away from you the mic
46000	56000	guess we got monetized it's your local funny
56000	64000	funny
64000	76000	the whole reason I got pedicure was for a monetization stream for ASMR via fate
76000	84000	thank you everyone who's applied to be a member my voice is a bit scuffed and wait let me see if I can catch up with a list
84000	94000	for some reason stream elements doesn't count in memberships and I don't know why hold on let's see if you're truthful let me read your news
94000	104000	I need a list I need a list but thank you everyone just this morning do it do it two tops oh yeah
104000	134000	this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this is crazy this
134000	164000	is crazy this is crazy this is crazy
164000	165800	I almost hit the maker of that
165800	167160	hold on
167160	169660	my ankle there we go
175560	177080	go to sleep
177080	179240	you've got monkey feet
179960	182520	I just have Krista here
182520	185220	ok
185220	187160	I've got face mark
187160	188980	I'm gonna see if YouTube will
188980	190720	tell me who my members are
190720	192460	so I'd shoot them out
192460	200820	right I can go back to the bottom I think okay this is the list that YouTube is giving
200820	206180	me don't remember me right now because I can't read it all out okay I've got pen
206180	216780	Kai, Theraminator, Zarian, Drop, Festasism, Outplayboy, Firefly, Simonija, Recon, Krustveder,
216780	246060	Harriet, Lolirica, Viral, Zahn, Bajinga, Sassafras, Namer-Law, Namer-Law, I can't do this all at once, I think I'm breaking your eardrums
246660	273500	and Harquins, Sky Noir, Zero, Elelelelelelelelelelelel, Kehre, Kazillionaire, Blackblood, Lundwar for real choke, No Alessandro, Vatma, Nugget, Bridge T-45, Base 64, Iron Reaper 1871,
273500	293900	Du Bois, Inner Witch, Glacono Samus, hold on like I'll actually do ASMR in a minute, hold on I need to read Imperial Monarch, San Brawley, King of Mufasa, hold on let me take some of those on my right leg
294620	319740	So the same words, P.O. Josephine, I.G. Mans, Mr. McSpliff, Destiny 2 Enjoyer, Cays, Seder, Abpron, The Manglecake, Larry, 28, Nova, Ma, Maher, E.O. Mahel
320460	328460	There's too much, there's too much, I can see all the new ones coming in and I'm trying to read the whole book
328460	357180	Simon, Toby 81, Otterbone Biscuit, Thumper Bucket, De Maia, De Maia Fork, Super Grump, Rilke Cadman, Asterix underscore, Pennant 1, Akito Henne no Quitchi, Jacob Otsikos
358700	364620	Yule, P.V. Mendez, stop giving me Mendez ships, I can't keep up
367100	370140	Hold on, I can't read them all, I don't know if this is terrible
371500	376060	Silas Nielilis, Firemaker, P.V. Mendez, Mika's Big Bang
377020	401020	Big is to read, you a nightingale, I turn a tiny spinny, I pour Kisua Raman, Kisua Raman, Sol Tinsert, Bero, I'm too old to read one, what name I'm too old to read one
401100	407980	Oh my god, I can't read, O B Odex, Plastic Ghost, I'm not gonna actually have to do ASMR between them
408780	410860	Oh my god, hold on
412220	417420	There's a few tools I got that are like require real ambidextory, but like
418860	421660	Crackpipes, couple of shit
423580	425260	Hold on, hold on, I can do this
425980	434780	I'm actually having a problem with this tool, by the way, I don't know what the lady did, but I think it's contracted and I might have to go with the doctor about it
435180	439660	Cause something's not right, um, I cleaned the wound today
440780	444620	And something's definitely not right, but I can't even get it to bloop
446380	447180	Oh wait, hold on
449660	452220	It's not blooping, I can't
453180	457340	It's a crazy amount of team effort to get this to bloop, hold on
458300	462940	Oh, come on, I'm just not turning over because of the way my feet are
466460	468460	Oh my god, I figured it out
469900	471980	Oh my, the little tool just cracked
472940	477900	Oh shit, I'm okay, I'm sorry, let me give my design a name
478780	485740	That took me so long, I also brought Pop Rocks to proof how sweaty my feet are, I want to see if my feet sweat can make them pop
485740	487740	Although just the feet sweat, nothing else
488300	492380	I just realized I'm really covering that up, so I'm gonna go over here
493020	495020	I don't know, look, it's my feet
495580	498060	Oh yeah, I also have a PC cleaner
498780	505660	These are used for fan board type things, but you need to like, squeeze them to get the air out
509020	513500	So yeah, I brought a lot of tools to try and get rid of my freaking feet
514620	518060	But I also got the frog thing, and it goes like
518060	520060	Like
530140	532380	Yeah, it's into the frog
533740	535740	Hey, I'm working that one, hold on
536780	543820	Okay, I'll try and say more names. I'm so sorry. I I'm very flustered when it comes to these kinds of streams
544380	546380	I feel a little pressured like
548460	553100	Oh yeah, listen to that frog. How are you so good with your feet? I don't know, how are you not so good with your feet?
557100	559100	I'm trying not to knock over the webcam
563100	565580	We'll do this, we'll try and say some names, okay
566700	568700	Uh, although next
568860	574860	Plastic Ghost, The Ruto, Cookie Fungbler, Kitsun Gamer, reluctantly saying Sakura and
575820	581260	Koku, Dinsu Dan, National Panda
585260	589900	Dragon Karma, Toasty Reef Oracle, The Coors
590940	595260	Um, Voltage Isaiah, Domino Miku
596380	601180	Okay, that was what was done offline. Now what was done right now
601980	605900	It's freaking impossible to keep up with but I'm gonna try my best, doesn't mean I can't try
606780	612700	Okay, I'm gonna try and keep up. Please bear with me. AC's in the room, bear with me. Okay
613900	615900	Could you wet? What?
617260	621820	Could you? Man, I wish I had little feet. Could you wet feet drying my?
623500	628140	Well, I bought pop rocks to see if I can actually get them to pop with my feet sweat alone, which is pretty gross
628220	630220	But I thought it was really funny. Um
631260	633260	Right, let me check where
634140	636460	The new names come in. I think
637820	639820	Uh
640460	648380	Zang, PV Mendes, Gaming Kitsune, Zorian, Outplayboy, Zero Bridge, wait a fire maker
648860	656140	Pio Giusefina, we have seen, I recognize some of these names, I've already said them. Um, Larry 20
657180	658300	Uh
658380	660380	Dejan Parma
660540	663100	Wait, I said these names. Oh, no, I don't know where his thoughts
663900	666540	Viral, San Brulee, I said that too
668940	670940	Draw
673420	679020	Everyone get in the name right twice or like, yeah, that's right. Forget you better forget my name. Yeah, I'm repeating sorry
679020	681180	I'm so hard. Right. I think we're here
681980	685020	Gizillionaire, I said Jacob Otscu
685900	692140	Um, uh, Sleepy Fennec, Eye Plorer, Super Grung
693420	698460	Not Alessandro Tenspenny, I don't know if I recognize them, I've already said these names
699660	701660	Oh my god George, it's so hard for me
703660	705660	Are you getting ASMR at least?
707580	713420	Congrats on monetization. Thank you so much. I'm so sorry. I'm like really out of my element with these kind of streams
713980	715980	I'm not used to like
716140	718140	I don't know. I'm just used to
719100	724780	Hopefully I can at least do some actual ASMR movement. I'm so sorry. I'm trying to catch up for a little
726300	728300	Uh, Takiwo
728380	730140	Karbunae
730140	731900	I had nothing
731900	736780	Scarecrow damn. Okay. I don't recognize saying these black wing 757
737580	740780	Why did that just change? Uh, Brian Yoko
741500	744940	I I'm a heron. I'm run
746300	747580	size
747580	749580	Oh, sorry, maybe your other ear should get something else
755340	757340	Um
757420	762460	Nak nak tuf 17 jack jackie a
763420	767100	Busbun yummy Ellie ball jackies
768140	770140	garaki and
770780	777900	Gentle near and scrumptious nightmare. We did it. We did it. I freaking caught up. I don't know how we did it
777980	779980	Thank you so much for everyone who is
780540	786700	Becoming a member and being so fantastic. I'm completely out of my element. I do apologize, but
787340	789340	Yeah, you like that
789660	791660	Was in your ear
792140	795660	But thank you so much for your support. You did it. Can you please scare him like that?
795740	798300	I was gonna do a fake cam on buckshot really
798860	803420	I don't know if I have to go to a doctor about my toe because something is wrong with it and I'm not
803500	805500	I don't know what on earth is going on
805740	808300	Oh, she did so on this toe
809340	814620	This bit here she cut into like really deep and I was like, oh no, it's fine
815100	819100	Like accidents happen. It was a little bit painful, but I didn't think anything of it
819660	823420	And then it's actually pretty sore today. So I don't know if I have to get it checked out
824300	825900	But yeah
825900	832380	The only good thing with your toe is it's not the only thing wrong with your toes. It's not my max. Oh my goodness. Okay
835980	837420	Oh
837420	841020	Scrumptious nightmare. Thank you for all this dino. Thank you
841500	843020	Grandpa thank you for coming to me
844060	848540	Yes, you're not supposed to cut it at all. A lot of shops do it anyway. Yeah
849740	854700	I think I may have got hurt a little bit, but it's okay. Uh, turi. Thank you
859180	864140	All right, well, let's see if we can open up pop rocks with their feet and get my feet sweat to activate the pop rocks
864700	868780	This might be very loud actually. Hold on. I'm gonna take it a little bit away from you. Okay
869580	872300	I don't know if I can do it with my feet to rip open
873900	877580	Anything is possible if you get your main stairs, right? So we have the
883340	888860	Gripper repair funds for 10. Thank you so much. Oh, wait, wasn't there a red? Why is it not displaying?
888860	890860	I could have sworn I saw a red earlier
891580	893580	I'm uh, it was a red
893820	899740	But jingle 100 in celebration your monetization. I gave you my first ever red so far. Thank you
901740	903740	Thank you so much
903740	907180	Do you guys think you better support the girls more than this? That's all I'm saying
910380	912380	Oh, I don't think I can rip it open
914300	917580	Actually having to use my brain power monkey feet go
917580	922540	I can't see if there's like a pre rip section
924940	930940	I can't see anything at all. That's why I've not turned my glasses. Uh, I'm trying to rip open, but it's gonna work
933580	935580	Support the girls
937820	939820	You've got my new ones
940300	942300	Congrats on the monetization. Thank you
943500	945500	It really wasn't that hard in the nicest
945740	950780	Streams as a screen brotherhood and nerds out about it. Oh, yeah. No, thank you. That was a yeah
950860	955420	I've worked really hard for that. Diddy. Thank you for becoming a member. Oh, I got a good call
955500	960220	Hopefully I didn't mess it up. Congrats, honey. Hi rain. I am so sorry rain. Please don't look
960620	963100	It's not what it looks like rain. It's a mistake. Okay
965020	967020	Hi rain
967100	971580	It reluctantly saying thank you for the 10. Did you want to put down a towel first last?
972460	974460	Nah, it's fine
975340	976860	the
976860	982620	The place I am renting the car kits weren't even cleaned before I moved in so
983500	985740	You get you get what you want back
989500	992380	Thank you, uh, I'll let
993980	997500	999 thank you for becoming a member. Okay, I don't know what I have to choose my hand
998700	1003340	Sorry, let's hold on. Oh wait. I'll do it off camera. Watch this. Oh look at my toes go
1003500	1010060	Oh, oh, sorry. Oh, sorry. My toes weren't in frame. Oh dear. Oh, my toes weren't in frame. Oh, you couldn't see that
1011420	1013420	But I did get them open
1013820	1020780	So the way my feet sweat the most is in this section in between the toes. So this is what I'm basically going to aim for
1021740	1028700	This is disgusting if this actually pops. This is this is awful if this genuinely pops because of my feet sweat
1029020	1031020	This is terrible
1031020	1033580	Um, key if the spadey, thank you
1034620	1036620	If this pops, I'm actually gonna cry
1037500	1039500	Hopefully it doesn't work. I don't think I need
1041020	1042540	this one
1042540	1044540	Hold on. I need to sit on the floor for this
1044940	1047020	Oh, I need to do this with my foot
1048220	1050220	As if this pops
1052940	1054940	I can't hold them in my thorn
1057820	1060380	Did it pop? No, I don't think I did. I think we're safe
1060700	1062700	I think we're safe
1063420	1065420	I can't do it
1065420	1067420	Wait, did it pop? No. Oh
1069180	1071180	I hear it. Shut up
1074220	1077580	Did it pop? It's popping. No, that's so gross
1079420	1082060	I'm gonna step my feet this way. Hold on. Like
1091340	1099340	It popped. So now you're on the line about that. That's disgusting
1099980	1103420	But yeah, I got real sweat feet. I also have sweaty hands. Maybe I would do it in my hand
1107580	1110940	Oh, it's kind of the same thing where it's sweating between my fingers more
1110940	1117820	Salt feet. Well, you want to lick them?
1119340	1124140	Oh, right. Oh, no, it's getting sticky because my feet are over. I never thought this far ahead
1125820	1130060	Why am I so low IQ? It's such a curse sometimes. Hold on
1133980	1139420	Thank you Esteban Lomiel, if you're gonna remember. Thank you
1140300	1142300	Uh, Colin
1142460	1147020	Four, three, one, six, and thank you Shalom Plain
1148940	1152140	She kind of dumb though. Sticky feet mean sticky floors
1153820	1155340	Oof
1155340	1159820	Let me put socks on after this stream. Oh, there's like bits and spots everywhere now
1160300	1166380	You know what? Maybe that reefling was right and I should have put a towel down. Hold on. My sweaty hands are so sticky
1166380	1169180	They're like it's it's sticking to my hands
1170060	1172060	Look, it's actually a benefit
1172300	1175980	It's actually a benefit. Okay. You just have to think of the situation
1177820	1182780	Hold on. Let me just pop them up there. Our experiment has been conducted
1184780	1186780	Grows, I know
1187420	1191180	My ears have a pop rock sometimes. I'm trying to help. Actual squid behaviors
1192940	1194940	Honestly
1196620	1202300	Uh, this is welcome to the reefling membership tier and it says message redacted. I don't know how I was like, here you go
1206460	1209900	Thank you, Breyoko for the
1211260	1214460	Uh, super chat. Oh my god, super chat because I'm monetized
1215900	1219420	Found your credit card. Congrats. Uh, maybe don't
1220300	1224060	You don't have to support by the way. I always have free membership streams all the time
1226700	1231420	Today we learned to always put damage up right and we're going to actually do ASMR at the same time to hold up
1242300	1247420	Bull, I also got my skyrim achievements to work. I have like 12 skyrim achievements
1247580	1251820	I don't know why they weren't displaying but we might be able to actually go back to the skyrim stream at a later time
1252620	1257980	Boy, thank you for becoming the streamers. Totally bonkers. Congrats on the membership. Thank you
1258940	1260940	But thank you, boy, for being a member. Thank you
1261740	1263820	Uh, Sithman's for becoming a member as well
1264700	1265500	Yeah
1265500	1267500	Oh, you're getting tangled at the wazoo right now
1272060	1277500	Next week, yeah, um our endurance stream of the week is reefling
1279020	1281020	Hold on. Let me put these on, yeah
1282140	1284140	Thank you, uh
1284220	1290540	Shiori for becoming a member and thank you Dr. P for becoming a member. Hold on. This is going to take
1291340	1293020	some
1293020	1295020	manipulation because this ear
1295580	1298300	Isn't sitting the way ears actually sit
1302940	1304940	Oh
1312540	1314540	Um
1316060	1323660	You look on skyrim achievement and usually take like three streams unless your stream's super long. Yeah, I'm a bit of an endurance streamer
1323820	1325820	Okay
1326460	1328460	ASMR
1328860	1335340	Thank you, Jay for the membership. Thank you. Oh, woo wee for the membership
1338940	1340940	Oh no, they're coming off
1341980	1343980	Hey, just say
1345420	1352060	Wow those feet grew arms and hands out of nowhere. How a unique skill. Look, I'm a cephalopod. I have eight arms. Okay
1353580	1359180	How do you buy membership? Oh, you don't have to there should be a join button, but it doesn't work everywhere
1359180	1364220	So don't worry if you can't buy. I always have free streams coming out and the membership streams start
1365420	1367100	next week
1367100	1369100	not this week
1369580	1373100	Because by the end of this week, I'll have everything in place
1374140	1377500	Workwise so I only have to do shorts and I'm very glad
1378220	1381260	I am so glad that all the responsibility has taken off me
1381980	1383980	And I'm just a normal stromer
1385500	1387500	We should have changed all our names into
1388060	1390060	Jamal for the stream knowing
1390380	1392380	More hand you would have said every person
1393260	1395260	We should have one reflame
1396220	1399740	It's all arms anyway the logic checks that definitely isn't influenced by the
1403020	1406860	And the join button is sometimes not next to subscription on mobile
1407420	1411180	Yeah, I guess if you're in the phone, but don't worry. You don't have to directly support me
1411260	1417260	I'll always have free streams coming out like all the time. I'm not kidding. You can't
1417900	1419900	Take me off
1421260	1422620	Come on
1422620	1424620	You can't it's not possible
1425340	1427340	So don't try and take me off
1428060	1430700	Bless the shimmy. Thank you. We've got everything there. Remember
1434060	1436060	Are you doing
1436940	1439740	Me with my dogs are you doing hypnosis soon?
1440780	1445740	Not right now. No, no of these. I don't think I I don't think anyone can get hypnotized by freaking toes
1446460	1449900	You can see how opaque my skin is and you can see my blue veins
1450060	1456940	You check them things out. You can literally see them and my little tendons if you look hard enough for them. Yeah. Oh, there they are
1458140	1460140	Look at them tendons
1466140	1469500	Thank you for the tip. Oh, hold on string on the swing
1470380	1473340	Did brian talk right did brian say anything?
1474140	1476140	I hope not
1476380	1479260	Oh, it's kind of working
1480460	1481580	Okay
1481580	1488540	Stream elements is no kind of working mika's mika's big fan. Thank you for the five gifted memberships
1489820	1494060	Um, and then boys that trigger were just purple burglar alarm honestly
1495820	1499180	Brian said it but he was quiet good. I'm glad I didn't say it
1506860	1512780	Uh, bejinga. Oh and celebration. I get my first ever. Yes. I did
1514620	1517180	I'm so sorry. I'm very scared our brain right now
1518220	1526140	Um secret. Thank you for becoming a member. This is a crazy ASMR concept. It's maybe an ASMR. Let's be honest. I'm just home
1526780	1528780	I'm just home. See you and
