start	end	text
0	25000	I haven't really messed up the settings for this, but I'm having a stroke.
25000	54000	I think that's the timestamp for the movie.
54000	67000	Good morning, good evening, and good afternoon to all the Reflings from all across the world.
68000	72000	I can hear myself. Stop talking a moment. Stop it.
72000	75000	Closing all my tabs and...
75000	77000	Oh right, I've closed everything off.
77000	78000	Right.
78000	81000	No.
81000	84000	You may be sent yourself.
84000	85000	Strongly!
85000	91000	Wait, my mic is delayed?
91000	99000	Is my mic delayed?
99000	101000	I think...
101000	106000	I think my microphone is delayed as shit right now.
106000	108000	I just...
108000	109000	No?
109000	110000	It's a...
110000	116000	Hmm.
117000	121000	Could you raise the gain?
121000	122000	Out of sync a bit?
122000	126000	Yeah, I see that too, what the fuck?
126000	131000	Why, Mr. SMB, what's wrong with you today?
131000	133000	You're on the correct sentence.
133000	137000	Of course, like, oh my god, Mercy couldn't have spoke true words when she said,
137000	144000	everything you do, you can change not a single thing from the last thing you did yesterday.
144000	147000	And the ting's having a stroke.
147000	152000	And all the good time.
152000	155000	I don't really want to reset it because it's got filters on it.
155000	157000	I've had fucksack!
157000	159000	Yeah, the model's looking a bit odd.
159000	162000	Leave my out of sync model alone, okay?
162000	164000	The pilot...
164000	168000	The pilot and the mecha aren't cooperating, okay?
168000	171000	I can't believe it.
171000	172000	Testing.
172000	174000	What, what the fuck?
174000	177000	The SMB's delayed by, like, a second.
177000	180000	I don't want to delete it because I don't know what filters are on it.
180000	181000	Wait, I do.
181000	186000	I've got de-noise and gain on it, and I'll need a read.
186000	187000	How much gain?
187000	189000	Oh, for fuck's sake.
198000	200000	Testing.
202000	206000	Why are you delayed?
206000	208000	You're stressing me out.
208000	211000	Why?
211000	217000	I'm literally doing ventriloquism.
217000	220000	I'm watching it be so delayed in 4K.
220000	222000	What the heck?
222000	224000	Can you forgive me?
224000	226000	Can you forgive me if we...
226000	230000	Because to be honest, I'm going to be pretty quiet whilst we're watching the movie anyway.
230000	233000	Hi, good morning. I'm so sorry.
233000	236000	Right, you're just going to have to forgive me.
236000	240000	I think it might be clashing with everything I've got with the movie set up.
240000	242000	That's my only guess.
242000	243000	It's my only guess.
243000	246000	I'm not smart enough for this.
249000	250000	Let's see.
250000	252000	I mean, technically watch the movie.
252000	258000	Yeah, if you guys can forgive me practicing my ventriloquistic sensibilities,
258000	263000	then I'm just going to pretend like I'm not a second out of sync for some reason,
263000	265000	because SMB's delayed for a second.
267000	269000	Today, we are playing Grinscape.
269000	272000	I have a sugar ton of wine to level up.
272000	274000	I don't even know what world I'm in.
274000	277000	Probably not in a free world, so we can all hang out.
277000	280000	380 blaze it, please.
283000	285000	Here you go.
286000	288000	Switch world, please.
289000	291000	So me and the reflins can hang out.
291000	293000	You're so cute as a vent.
293000	294000	Can you raise the gain?
294000	296000	Of end game or me?
297000	298000	End game.
302000	304000	Assume you mean end game forever.
305000	306000	Hi.
306000	308000	Okay, my reflins are here.
308000	310000	Or do you mean the microphone?
310000	312000	Because the microphone was cool, huh?
312000	313000	Oh, wait, hold on.
314000	315000	I'm a fucking idiot.
315000	316000	How's that input?
317000	318000	Oh, that's...
318000	319000	Sorry, I'm bursting your eardrums.
319000	321000	How's that for input?
321000	323000	Oh my god, my gain was set to so low.
326000	327000	Oh, oh no.
327000	330000	My gain on the focus rate was...
330000	331000	I'm so sorry.
331000	332000	I'm so sorry.
332000	333000	I'm so sorry.
333000	334000	Sorry.
334000	335000	That's cut out.
335000	336000	No, sorry.
336000	338000	I just realized all I had to do was turn the knob.
338000	341000	You wouldn't believe how many problems in life
341000	343000	can be fixed by turning the knob.
345000	347000	Oh no, this can't be.
347000	348000	Right.
349000	351000	Right, right, right, right, right, right.
351000	353000	Let's get a cheeky update on everything
353000	355000	that's happened since I last saw you
355000	357000	in Balatro yesterday, okay?
359000	360000	Hear ye, hear ye.
360000	362000	For those of you who are a member
362000	364000	and wrote a membership script with me,
364000	367000	that audio is now live on Patreon.
367000	369000	You can hear...
369000	371000	So you can literally watch the script
371000	373000	being made in an hour,
373000	375000	and then you can listen to how...
375000	377000	It took an hour to write the damn thing,
377000	379000	took an hour to edit the damn thing,
379000	381000	and it came out to less than 15 minutes.
381000	382000	Arrest my case.
382000	385000	It literally is redonkulous
386000	389000	how long it takes to make these kind of things.
