start	end	text
0	9000	What is that noise? It sounds like the fire. Oh, there we go.
9000	14000	Oh, he's like, this world is free.
14000	27000	Whoa, this is too loud.
27000	29000	3 A believes it.
29000	32000	Brave.
32000	37000	Obviously, I've jumped into the game.
37000	39000	Oh, wait a minute.
39000	46000	Oh, wait, can I hear myself?
46000	49000	I can't hear myself.
49000	52000	Get the oof.
52000	53000	What am I?
53000	57000	Mommy's here.
57000	63000	I'm going to open it.
63000	69000	Hi, good morning. Good evening.
69000	72000	Good afternoon.
72000	77000	How is that all fit to scale?
77000	81000	Oh wait, that doesn't fit to scale at all, Roonlight.
81000	84000	Was that like that last stream?
84000	89000	It doesn't. Wait, why is this on top of the freaking thing?
89000	92000	No, don't do that. That's even worse.
92000	95000	Go below.
95000	97000	Why is there two Roonlight?
97000	102000	Is it the game capture's nice and loud?
102000	107000	Okay, no, that looks correct. I just need to do that.
107000	110000	Okay, Rinscape's just a funny-shaped game, okay?
110000	111000	It's going to be scoff.
111000	113000	It's just a funny-shaped game.
113000	117000	I'm too dumb for to figure out.
117000	119000	Is that a reflin?
119000	122000	Reflin, you're already in?
122000	125000	Other player has accepted?
125000	126000	Okay.
126000	128000	I'm like, that's a reflin, you're quick.
128000	130000	We are in World High...
130000	132000	Oh, it's replays.
132000	134000	Hi, Red E. Blink.
134000	136000	That's how I spell it.
136000	138000	Damn, reflins are shown off.
138000	140000	I'm not even freaking set.
140000	143000	Oh, this is my update for today.
143000	145000	No way, they have freaking Gangnam style
145000	148000	and freaking Rinscape 07.
148000	149000	Old school.
149000	152000	I don't know why I said 07 though.
152000	155000	Oh, my Gangnam style.
155000	157000	Sexy reflin.
157000	160000	Oh, oh, oh, oh, oh.
160000	162000	Gangnam style.
162000	164000	Howdy-ow.
164000	168000	Good morning, good evening, and good after noon.
168000	173000	I hope you guys are ready for a cheeky endurance stream.
174000	175000	Hi, reflings.
175000	177000	Hi, Strawny, I guess.
177000	181000	Yeah, I hope you're ready for a cheeky endurance today.
181000	186000	I had a bit of business going on behind the scenes,
186000	188000	business, business, business,
188000	192000	so I hope to have quite a fun update soon.
192000	195000	I've just told the girls what the business was,
195000	198000	and someone's very excited.
198000	200000	I just read their message,
201000	204000	but I can't say or else spoilers.
204000	207000	Let me open up my inventory so you guys can see what's up.
207000	209000	Yes, we are business, business, business.
209000	215000	Honestly, it feels really weird doing straight-up business, business, business.
215000	220000	The only thing I'm used to is sponsorship people reaching out to me
220000	222000	and being like, hey, for a 60-second segment,
222000	224000	I will pay you this much.
224000	227000	This is what is going on.
227000	229000	And then I'm just like...
229000	231000	I can't.
231000	236000	But this time I got...
236000	239000	I will talk about it a bit more.
239000	241000	I'm going to ask permission if I can talk about it
241000	246000	because the person is associated with an agency that helped out to...
246000	247000	And if they're comfortable with it,
247000	248000	I'm happy to talk about it.
248000	249000	Obviously, nothing.
249000	251000	Azur got monetized?
253000	255000	Are you telling me Azur got monetized?
257000	260000	I went to bed and Azur wasn't monetized.
260000	264000	Sheevee was, which made me think within 24 hours Azur is getting reviewed next.
264000	268000	I just hope her massive fucking honkers don't...
273000	276000	I know Denpa isn't in here right now.
276000	278000	Denpa's just messaged me.
278000	279000	She's...
279000	281000	Sean, I know you have a lot on your plate.
281000	282000	Do you think AceMars is?
282000	284000	What do you need Denpa?
284000	286000	I won't charge.
286000	287000	Denpa...
287000	290000	I won't charge, darling.
290000	293000	Oh Denpa, you're so adorable.
293000	295000	Never charge friends.
295000	299000	Always do it for free because when you have friends like these,
299000	301000	life is good.
301000	304000	I have not even known Denpa for more than two weeks
304000	306000	and she's been nothing but a sweetheart to me.
306000	310000	Right, I am going to go to the bank and clear out all my fissies in the background
310000	312000	whilst I ramble to yours.
312000	315000	I have absolutely terrible news.
315000	318000	Just upshotting news.
318000	321000	I tried to take a Jobay,
321000	323000	but the Jobay wouldn't have come.
323000	328000	So I'm probably going to have to take a big steamer in the middle of the stream,
328000	331000	which I'm raging because I hate...
331000	332000	Right, I don't...
332000	336000	I'll always go for a shower after I do a big Jobay
336000	338000	because I can't...
338000	340000	Wait, should I just make a...
340000	342000	I think it would actually be faster.
342000	343000	Hold on, Refluence.
343000	346000	I think it's going to be faster if I take wood out and...
350000	352000	Do I even have wood?
354000	356000	Do I even have an axe?
356000	357000	It must...
357000	359000	I do have an axe.
359000	362000	Okay, then I need a tinderbox.
362000	364000	Okay.
364000	366000	I don't actually have a bit of wood.
366000	367000	Right, that's fine though.
367000	368000	We're going to go get it.
368000	372000	Right, we'll chop here and then I'm going to make a fire outside the bank for now
373000	375000	and eliminate all of my inventory.
378000	381000	Oh, tiny cuttles wants to trade with you.
381000	382000	What's your name?
382000	384000	Little baby cuttles.
387000	388000	Hi.
388000	390000	Oh, you already given me one.
390000	391000	Thank you.
391000	393000	Yes, I will be needing these.
393000	395000	Thank you very much.
395000	398000	The best way to ruin friendship is to get money involved.
399000	403000	I went until you learned about the development team drama.
403000	405000	Oh my God!
405000	407000	I've got a really funny fucking comment.
407000	410000	So, you know how I'm always telling you about like,
410000	414000	all I have on hand for wood right now,
414000	417000	your wood is more than enough.
417000	420000	Little Refling, I assure you.
420000	423000	A winky face, because we all know what we're talking about.
424000	425000	I'm a mod.
425000	426000	Oh, damn, bullshit!
426000	428000	I was talking about you.
432000	433000	I'm so scared.
433000	435000	I never streamed on YouTube.
435000	437000	Oh, you don't actually have to mod anything.
437000	440000	It's like customary to make you a mod
440000	446000	so that you stand out more in chat.
446000	447000	DEMPA, I'm so sorry.
447000	448000	I was just exposing you.
448000	451000	I just said that you wanted an ASMR script
451000	453000	and I'm offering it for free
453000	455000	because I would never charge you for that.
455000	457000	You're freaking sick of just not...
457000	458000	Wait, wait, wait.
458000	459000	Let me pick up...
459000	460000	I'm doing two things.
460000	462000	Right, let me finish up the...
462000	464000	Why did that only take out one?
464000	466000	Oh, it's not looking good.
466000	468000	Now you all know that I'm a RuneScape noob.
470000	472000	Oh yeah, YouTube custom.
472000	473000	Yes, you're learning right.
473000	475000	Use Tinder box on the logs.
475000	478000	Oh my God, you got a little cabbage head going on.
479000	481000	Okay, right.
481000	483000	Oh, I don't want to brag but I'm leveled to a fire making.
483000	485000	Right, we are going to just get rid of...
485000	487000	Not rid of, but...
490000	491000	But yeah, you don't...
491000	494000	Yeah, so as I was saying,
494000	497000	we got a little hate comment today on YouTube
497000	500000	but do you want to know why it's so funny?
500000	503000	It's because most of the comments were like,
503000	506000	vealers aren't going to last a month.
506000	509000	And then it went to two months and it went to six months.
509000	513000	Do you want to know what today's hate comment and quotation marks was
513000	515000	that I had to delete?
515000	518000	Vealers aren't going to last two years.
518000	521000	Motherfucker, if vealers last two years,
521000	524000	all three generations are successfully out.
524000	525000	I don't...
525000	526000	What?
526000	528000	Are you dumb?
528000	530000	I like how it went from not even going to last a week,
530000	532000	not even going to last a month.
532000	533000	Two years?
533000	535000	Two years, all three gents are out.
535000	538000	Vealers and I have succeeded in what I wanted to do.
540000	544000	Literally just multiplied the time dramatically.
544000	546000	And literally, it's a supportive message.
546000	548000	I'm like, nice try, but...
548000	551000	Wait, sorry, I think a reflim was trying to trade me.
551000	553000	Sorry, sorry.
553000	556000	I'm sorry, Brov, yet it didn't mean to not trade you.
556000	557000	What?
559000	561000	10,000 swordfish?
561000	563000	Isn't that not like 99 right there?
563000	564000	Am I going crazy?
564000	566000	Are you sure?
566000	568000	Oh my god!
570000	572000	Oh my god!
572000	574000	Wait, wait, wait, another reflim?
576000	577000	Oh no.
577000	579000	Oh my god, reflim.
579000	581000	Alright, I'm getting drunk.
581000	583000	I'm getting drunk as a skunk.
583000	584000	Actually,
584000	588000	I think we're doing drunk stream near the end.
588000	590000	Helps make the job happen.
591000	592000	I literally got like,
592000	594000	freaking 10 kabillion.
594000	596000	Right, thank you, let's go for a job.
596000	598000	Let me drink that, let me eat.
598000	600000	Oh, love the little bubble sound effect.
600000	602000	If I ever make a song, like an actual song,
602000	604000	like a custom made song,
604000	606000	oh my god, 10,000 swordfish.
610000	612000	Oh my gosh.
612000	614000	Right, in order
616000	618000	to make this super simple,
618000	620000	I'm so sorry for anyone who like,
620000	623000	is really good at organizing their shit.
623000	624000	I'm not.
624000	626000	I'm literally just going to shove
626000	628000	all the fish items to the top.
628000	630000	Please don't judge me.
630000	632000	Please don't judge me.
632000	634000	Right, I'm pretty sure that's all the shit.
634000	636000	Raw trout, you as well.
636000	638000	Raw herring, you as well.
638000	640000	And that's cooked salmon.
640000	642000	Oh god, what a bank.
642000	644000	Gee, gee, willikers, I sure hope no one
644000	646000	cracks into a skullfish.
646000	648000	I think members later, it'll get faster.
648000	650000	One morban, literally.
650000	652000	Right, shrimp, we're going to cook
652000	654000	all the shrimp right now.
654000	656000	Unless the fire is out, I think the fire is out.
656000	658000	Okay, wait, no, someone's lighting the beacon.
658000	660000	Gondor calls for aid.
660000	662000	We're just going to clean up our inventory.
662000	664000	I say that as if we didn't just get 10,000
664000	666000	freaking fish, thank you very much.
666000	668000	Desme, I'm glad I could help, thank you.
668000	670000	Bank tabs and shambles, I'm so sorry.
670000	672000	I know people are really good at like,
672000	674000	organizing their tabs.
674000	676000	I just couldn't, I'm just like, in and out, let's go.
676000	678000	She's a hoarder.
678000	680000	But she's our hoarder.
680000	682000	Vsucky is done for.
682000	684000	They can't compete with Vila,
684000	686000	literally.
686000	688000	I bet you Vila won't last until
688000	690000	Vila's stuff exists then.
690000	692000	Isn't it interesting?
692000	694000	It's cooking me right now.
694000	696000	Well, you might only last two years,
696000	698000	but that's still a year.
698000	700000	22 months, 30 days,
700000	702000	23 hours,
702000	704000	59 minutes and 59
704000	706000	seconds longer than he probably lasts
706000	708000	when he touches a woman.
708000	710000	Bro, literally, oh wait,
710000	712000	whoa, whoa, whoa, wait, did you just,
712000	714000	did you just roast him?
714000	716000	Thank you for the tip, Toria.
716000	718000	I was like, oh yeah, yeah, yeah, until you
718000	720000	I heard the very last sentence.
720000	722000	I was like, Brian?
722000	724000	Brian?
724000	726000	Oh my gosh.
726000	728000	That was,
728000	730000	I didn't expect that at all.
730000	732000	I can put this away because there's a kind
732000	734000	reflin makin' fires, right?
734000	736000	We'll do anchovies, we'll do
736000	738000	the...
738000	740000	No, don't eat.
740000	742000	Oh wait, they're cooked.
742000	744000	My apologies, such a fake
744000	746000	gamer, for I cannot hide.
746000	748000	Oh my god, reflies are like starting a
748000	750000	frickin' fire outside the bank.
750000	752000	Wait a minute, I'm not the rock
752000	754000	well uprising.
754000	756000	I was naughty.
756000	758000	I'm not there all the time.
758000	760000	I'm just, I'll put my hand up
760000	762000	and I'll say I'm not there all the time.
762000	764000	I had a little peek yesterday
764000	766000	about what you've all been
766000	768000	anonymously chatting about
768000	770000	and someone said,
770000	772000	yes, Johnny, I understand
772000	774000	Blackwell
774000	776000	headquarters.
776000	778000	And I was like, ah,
778000	780000	that's so fuckin' funny.
780000	782000	So yeah, your comment got me excited.
782000	784000	I just seen someone,
784000	786000	someone's like ritual posting
786000	788000	about Shoebe and it's like, I am nothing but trash.
788000	790000	Under Shoebe's foot and I'm like, yes, yes, yes.
790000	792000	Then the OG
792000	794000	Sands, I was checking the OG Sands out.
794000	796000	They were spoiling, I see.
796000	798000	Absolutely spoiling it. Hey, Johnny, off topic question.
798000	800000	What's your tip
800000	802000	for Germany, Scotland today?
802000	804000	Is there a football match on?
804000	806000	Use logs on fire to make
806000	808000	bonfire, we'll not go out.
808000	810000	Isn't that all RuneScape 3?
810000	812000	I don't think that's a thing here.
812000	814000	What about having
814000	816000	many fires?
818000	820000	Any thoughts on doing an Iron Man
820000	822000	so chat can't just give you everything?
822000	824000	V-Bop
824000	826000	you have far too much
826000	828000	faith in me. I'm not even going to pretend otherwise.
828000	830000	I know I'm not
830000	832000	supposed to name chatters,
832000	834000	but my guy,
834000	836000	you have far too much faith in me to think that I could do.
836000	838000	The only way I could do this on my own
838000	840000	is by picking up
840000	842000	dropped fish in Barbarian Village.
842000	844000	That is the only way I know how to do it.
844000	846000	Because I don't have the funds.
846000	848000	I don't know how to make money in this game.
848000	850000	And we'd be at this for hours.
850000	852000	Squidding me right now.
852000	854000	Since
854000	856000	strong debut, something about her reminded me
856000	858000	of a Pokémon.
858000	860000	It has been on the tip of my tongue for an entire week.
860000	862000	And I finally figured it looks
862000	864000	like a Cray Dilly if it was an anime girl.
866000	868000	A Cray Dilly? Hold on.
868000	870000	You're actually getting me a look up something.
870000	872000	A Cray Dilly Pokémon.
876000	878000	Oh!
878000	880000	I know them. They're in Groovy.
880000	882000	Kill things to make money.
882000	884000	Kill go-
884000	886000	Bro, goblins don't drop money.
886000	888000	The most expensive item
888000	890000	goblins drop is Goblin Mail,
890000	892000	which is 500 a piece purely because it's a quest item.
892000	894000	Thank you, Thierry, for the other tip as well.
894000	896000	Honestly, I could see that.
896000	898000	Yeah, the fossil type.
898000	900000	Goblins are the best.
900000	902000	You're trolling me.
902000	904000	I'm getting trolled.
904000	906000	There's no way you guys actually think that.
