start	end	text
0	2000	I'll click the word
7440	8940	Huh?
8940	10940	Yeah, that's a lot
12360	14360	Ugh, what an outrage
18360	21360	Who says she hates us? I ain't even booted up yet
21360	22860	Sheeeesh
22860	24860	Sheeeesh
25360	28360	Oh, I fucking got obsidian over there in the corner
29360	31360	Testing
31360	33360	What are we flanking?
34560	36040	Test done
36040	38700	Waiting to see if I get the results I want
42040	48680	Okay, you know how I know I've gone live because every time OBS YouTube prompts
48680	52840	The YouTube prompts me to say now's the perfect time to put an ad in
53320	57480	At the start of stream you think that's the perfect time to keep viewer retention
58320	60320	Greedy greedy greedy
61920	66200	So I have just been delivered the news that my poor
67000	73680	Clapping without my hands ASMR has been taken down, which is such a shame. I'm currently writing the tweet about it
74880	80960	And so we can I'll read out the tweet that I'm currently writing about it. I've done like a little screenshot
81520	85840	And it says I'm shocked in brackets. I'm not
86440	93640	This is an outrage in brackets. The only outrageous thing was the video idea and the fact I even created it
94720	97880	And then I'm gonna put I feel like this is
98560	100560	unjust
101560	103560	And just for
103760	109500	Jumping up and down for 15 minutes making my cheeks clap
110520	115040	Yeah, yeah, I'm just these nuts in my pants
115960	117960	And my trousers
118440	123120	This is funny is this humorous or is this not
125360	128900	It was a good video how long did it stay up for I
129920	134080	Timed it so it came up for hours ago. I have no idea how long it stayed up for
146080	148080	Like an hour, okay
151080	155160	Well, I am now an even more ASMR debt for the
155680	159280	Subscriber count because I've also apparently passed 8,000 subscribers
159800	164040	Which is terrible news because it means I know how oh seven ASMR videos
165240	171480	Yeah, Azura can't eat a cookie. I'm not allowed to jump up and down and whatever happens happens man
172360	174360	And
174680	176360	So
176360	178360	Something that is yeah, truly
179120	182460	Right. I'm gonna quote tweet my little beauty
183400	188760	And then I will pin what world we're in which is seven. No, it's not it's 388
189480	191480	please
192360	194360	I
196160	201600	Just need to make sure the content your content was removed due to a violation the community guidelines
201840	204800	What do you mean jumping up and down and making math?
205240	207560	None hands clap is a violation
208840	213520	Because it's your first time. This is just a warning, but how big is again your channel's gonna get a strike
213520	217440	And you won't be able to do anything for a week. All right. No, we ain't risking a strike
217440	219440	I got I got a stream record to break
220440	223720	Second strike will prevent you from publishing for two weeks three
224360	230280	Strikes in any 90-day period will result in a permanent removal your channel. Well, I will admit
230280	234400	That's a wee bit dramatic for a bit of cheeky calm
234400	238640	I'm wondering if it was the heavy breathing at one point in the video. I
239840	244600	Went up to the mate and did it so I was breathing heavy
244600	246600	I
247760	253200	Wondering if I was a guy would it be different because obviously female breathing bad bad
253840	257480	male breathing possibly fine question mark. I don't know
258360	262400	because guys heavy breathing is like grunting and then that
266160	270360	Yeah, that's what it is because the actual clapping segment
271240	275520	Maybe I am just absolutely just too far gone
275920	281160	But is it outrageous of me to say the clapping segment? Honestly, it wasn't that bad
281160	286820	Like I just sound like I'm doing a workout and it's like what women aren't allowed to work out on YouTube. Wow
287320	288200	YouTube, that's right
288200	291680	We have to we have to play a few cards here so we can get the chit in the video back
292040	296240	Wow YouTube, that's despicable women can't even breathe and
297320	299320	2024 talk about 1984
300360	305760	I got a couple of 40 years ahead, but I guess not all boo you to boo
308400	312000	All boo time to get YouTube slimed, right?
315520	320560	Let me just check the the actual screenshot doesn't have any information that we want you to stay on YouTube
320560	324720	So make sure you understand and strike review your content or policies every view
325320	329760	Right nothing says Johnny cut was legal name so I can post a screenshot
330520	336120	Understand the strike will expire. Yeah bear expire, right? I've posted it. It's cringe and
340640	342640	Holy shit I
342640	348200	Have I was this I I did not get a lot of sleep last night because I was busy doing
349280	352880	Business business business. Um, oh my goodness
353880	358400	Who the fuck says it's hard to like talk to v-tubers are not in I
360440	362440	I didn't believe you
363880	371120	I spoke to two different. Oh wait. I have a timestamp on the video of why I got taken down and before it's the breathing hold on
372840	375640	The video is loading it's gonna show me what part
375640	377640	I
379360	383560	Was the breathing in the air? I knew it was gonna be the breathing in the air
383560	388720	I knew it. You can't you can't breathe on YouTube anymore. What is going on?
389800	396040	Son bizarre says and I've disrupted the buddha tea and factual content policy
396040	400680	It says audio content that's actually be bliss it is not allowed on YouTube
400680	404480	We may make limited exceptions for content that have educational documentary
404480	408720	You know what I should have started that video by saying I knew it was the breathing
408720	410720	I knew it was of course breathing
411280	414120	Oh, and I need to take should I submit appeal?
415480	417480	Submit appeal
417720	424800	Well, it's a bit. No, I can't put a message in the appeal explaining that I'm a man, and I'm just a man breathing
425080	426600	No
426600	431480	YouTube the only downfall you need to let me explain that I'm a man
432080	440120	I'm a man. Let me breathe. Okay. Well, it's not happening, but we are gonna take the YouTube training
441400	443400	We're gonna take it live
443920	449200	I'll read out what I can see right now. SIGI uploads content of people using
451440	455920	That is a violation I can't even read that out. That's how much of a violation that is chase
456440	463400	In an official music video for a record labor a singer walks through the streets of a carnival the singers costume
463400	465400	consists of a bedazzled
465400	468080	And and it cut and it covers everything
468080	472080	No, it's not a violation because music videos can get away with everything
473080	479480	Remember when Belle Delphine uploaded her music video and I got taken down and then everyone was like hold the
479760	481760	phone a minute if
482120	485440	Nicki Minaj can come out here when nothing but
485920	489160	A bit of tooth floss. Why can Belle Delphine not do it?
489160	495280	I don't know if you remember when that the internet was in complete uproar and then Belle Delphine's video actually got restored
495560	500760	Because YouTube had to back off and admit that record labels had the most
501360	504760	Favourable upload terms. Hey, there's nudity in some in
505600	511840	Some music videos as well. There's just straight up because the record labels can get away with it
512440	514440	Yeah, well, we're actually on the subject
515680	523560	YouTube didn't think I forget all these little violations you do against the community. I'm in the know. No, you I'm in the know, right?
524920	529400	Brian manages a museum YouTube channel each episode is a different tech
530160	531640	topic about
531640	537280	Ancient Japan at one point Brian shows a painting from the 18th century in which people commit
538080	541000	She explains wait, I thought said Brian
542800	549440	She explains the name of the artist the title of the painting this video doesn't violate the policy because it's giving
550560	552560	information about stuff
553680	555680	Check
555960	561240	Yeah, I'm not even reading this stuff properly a movie has a bench all seen in it
561240	563240	Which the lead character are in their
563800	570320	Undies the characters get into bed and under the covers they participate in inking a
570680	577040	Fan uploads a reaction clip of the scene the video description has the name the director lead actors the year
577040	578840	It was produced and there's nothing
578840	581920	Bexwell about it. No, this isn't a violation then
584360	585280	Okay
585280	590240	Fat question five of seven. We're almost there. We're almost there five or seven
591080	596320	Tyler uploads a video from his Safari vacation where he saw two lions
597320	604360	Meeting with one another what he films the meeting and from afar titles lines meeting in the world in the video
604360	611640	Description he describes the type of lion. No, it's not violation. It's just a discovery channel question mark. Yeah, that's correct
611640	618240	Okay, I thought that a comedic prank channel uploads a video in which the creators test how far they can throw different
618760	622480	Objects after throwing different types of food. They start throwing
623160	625160	Bexwell boys a
625920	627920	And of all sizes
628320	630800	This video violates because it uses
631280	633560	Bexwell boys isn't allowed
634360	637520	if the video violates policy because
638200	640200	The video doesn't violate policy
642360	646720	It doesn't violate because the toys aren't being used the way they're supposed to
647520	652680	Hello and before I got it right. I got it right. See I knew I say everyone wonder
653320	659240	How do you know YouTube things as well? I don't have one limited ads video nor stream
660840	662840	That is the gospel truth
663920	667680	It turns out my let me hold it didn't violate the
668400	671720	Ads policy and it's not limited ads. Well, I'll get right
674280	680680	Sorry, sorry, I'm trying to get right to say a news organization uploads a segment about
681320	683680	Spanking. Oh wait, I just said the word anyway
684040	691200	They show adults engaging in banking with clothes and different devices from hands to whip the video title and description
691320	696360	Explain the talk and who's engaged topic and who's engaging in the act within the video with the news reports
697120	701720	Prevides in-depth detail about the bettish and the science behind it
702360	704360	it doesn't
704880	709480	It doesn't violate the policy because it's
710240	712240	Educational check
714520	719240	We've got a seven for seven nice work. You've completed the training
719240	724760	We appreciate you taking your time to help us keep YouTube safe. I'm the one that's a menace on YouTube
726040	729240	Oh, I just I just burped and coughed at the same time and
730120	735320	Your warning will expire on the 19th of September. Wow. That's a long punishment
736080	741360	If you violate the policy again, you're just straight up get a strike if you violate a different policy
741360	744760	You'll get a warning for the different categories of policies
745880	747880	well
748600	752240	Well, I tried my baby. I tried my baby
753280	756600	I'm on a warning now. So that's Emmy on a warning
757320	761640	For being outrageous. I will admit Emmy. You were being a wee bit outrageous. Um
762600	765640	Can I pin it what world we're in
767080	774240	Coot Azura got done in for a cookie and I got done in because I had the audacity to breathe whilst doing physical exercise
776240	778240	James
779040	785200	LKC lick lick James lick. Is that your name? Thank you for the gifted membership
785920	789400	James lick. Is that it? I can't read it
790000	796080	But yes, I successfully completed YouTube program at programming, right? We are in
797160	799160	World oh my god all
799640	806840	Viewers are speculating on why YouTube video titled strong a video was removed the video was popular and viewers are upset and I couldn't read it in time
807720	812400	We are in world 380 for free and I think we're doing winds today
812640	814640	Wings
814960	816160	Um
816160	819440	Now this is not an endurance stream
819440	823640	Oh, but Stranny if you stream longer than two hours technically
823640	830280	It's an endurance stream because less than two hours is the average reach of your stream time, right? Okay. Well, I get your point, but
831640	837640	The long and short of it is I've probably only got four hours or we're gonna redirect into another veal or girl
837640	840080	Okay, I have no idea who or what streaming today
840480	843840	So actually well, I'm at it. I'm gonna check who has actually stream it
843840	846280	I don't know if it's gonna be two hours. I don't know if it's gonna be four hours
846920	848920	Because I need to go offline
849560	851680	To go for a nap
851680	857200	This is three eight nine straight. How the fuck do you how did you find me if I'm in the wrong world?
858080	860960	We in a member's world man. We rich up in here
862280	864280	380 believes it I
865160	872760	Saw you loading back in he knows my every move the reeflings. He's so mind-broken and corrupted. He knows
873560	875560	He's waiting for me an edge bill
876560	881360	Eh she bees in two and him he's in four and has a class. I thought okay
882200	886160	Then I don't really want to read into a collab with outside
886920	891600	That sounds to I don't want to read into a collab with an outsider
891800	896200	No, it's not like that. It's because I've been he I don't know I just feel like it's not like it
