start	end	text
0	28600	Bruh.
28600	36800	Everything is breaking right now. Holy crap. Everything has broken.
36800	40440	I can't even hear in-game sound. I'm pretty sure I'm supposed to be here in the music
40440	50120	right now. Hold on. I'm so sorry. Everything broke from yesterday.
50120	59640	My headset isn't registering sound at all. I knew it wasn't. You're lying to me!
59640	68600	Ugh, the scuff isn't- Oh here we go.
68600	76860	I just heard the test of some music. Okay. I can now hear the title of music? Yes, I can.
76860	82660	And you can hear it too. I don't know how loud it's going to be though. Oh my god. Anything
82660	88420	that can break will. I didn't change a single thing from yesterday's drum.
88420	95900	Ugh. I apologize for being late, little refunds. That was horrific. I haven't even been able
95900	99020	to watch yesterday's words. I know the next stream is starting. However, I meant to keep
99020	105660	up with your strawney. That's the fun part. I have endless stamina.
106620	113940	See? Those details come really good later on. Right. I don't- I need to- I made- I'll tell
113940	120740	you what world we're in. Right now I'm entering world 424. But I- I want tutorial island.
120740	125860	So please don't worry. What was that first song? It was called music makes you lose control.
125860	132500	Music makes you lose control. Let's go. Please don't worry if you've not actually got your
132860	138620	character outside. Good ol' Lummi Castle, Lumbridge Castle. I've not even done the tutorial
138620	144380	part. I do- I'm playing with a plugin called Runelight. But we're just going through tutorial
144380	152780	island super quick. I'm not- Oh no, I just liked it a brand new. Oh, we're doing an
152780	166460	in-depth in tutorial island then. Ah. Ah. I've actually been smart and I've prepared
166460	172460	a whole meal. It was absolutely chaos getting- I was trying to get Runelight to work on screen
172460	177460	and I was trying to cook fricking my- well, technically my breakfast, but I call it dinner.
178140	182220	And I actually have like the world's saddest fricking rose- I think it's called like
182220	191540	rosemary sauce when you have it with shrimp. And- ah. So, I do have membership. As isn't
191540	195140	the finalised world, please, I've not even got through the tutorial. Right, let me just
195140	200460	skip through this fricking tutorial. Ah, my phone's in the way. Oh my god, no, I can't
200460	207060	skip this. This is going to take so long. Oh my- yes, we'll talk to the survival specialist.
207060	211460	Look, that's what I'm eating right now. I- I'm ironically eating that right now. I'm
211460	217060	good. Wait a minute, this game's based on real life. How cool is that? We're going fishing.
217060	220660	Would you fish me up? Huh? Huh? But anyway, good morning, good evening, good afternoon.
220660	230340	I apologize, it's been fricking chaos. Thank you. And no way. Thank you for the tip, Virginia.
230340	235420	There's no way. Literally. Oh, ace of cullin' snow bears in as well. Thank you for the tip.
235420	241700	I'm about to munch on- I've got baked pate, aw. Right, and then I've got shrimp, and then
241700	246260	I've got a rose-ass aw, so I've not made it correctly because I didn't fricking squeeze
246260	253980	the water out of the prawns. Hi, ready? Hi, ready? Hi, acey and snowberry readers. But
253980	258340	if you put all those words together, it becomes ready. Are you squidding me right now?
258740	263780	Strony, you're eating marshmallows last night inspired me to try to write something
263780	268780	to make your heart flutter because I think it's adorable. Are you going to read more
268780	273860	tonight? I can definitely read more. Thank you very much, Grimbo, for the tip. Yeah, I
273860	279420	can definitely read more. Oh, I'm sorry to- I'm trying to eat and eat and wait and do
279420	283020	everything all at once. Hi, we're playing RuneScape, an old-school RuneScape. We're going
283020	287980	to play multiplayer and do quests together. I am called Scottlefish because I totally
288020	294260	did not steal that from a roofling. Thank you very much. But yeah, we're going to do
294260	300580	good. I am not- I'm going to move to a free world, but if you want to make a new account,
300580	304740	we are going to do the free quests like Cook's Assistant and that, where the heck am I supposed
304740	308780	to go? I don't know. I'm not paying attention. Now that you have logged, it's time to light
308780	314740	fire. Oh, okay. Pardon me. Pardon me. Excuse me. I'm going to take a bite. Ah. Hi, Stromboni.
314740	321380	I've got a nickname. I'm not sure I know that. See? So, I've got this plug-in called RuneLight
321380	325500	and it's really good. I think it's really good. If the game needs to be louder, please
325500	330380	do tell me. I actually think it does need to be louder. So, I'm like, screaming over
330380	336180	all the things. What next? Moving on. Well done. Moving on. Moving on. Moving on. I've
336180	341700	completely forgotten how the tutorial goes because it's been so long. I'm going to take
341700	347860	another bite of my food. But yeah, if you want to join in, don't worry. You can literally
347860	353020	make a character right now and be faster than me. I will tell you what world we're on. We're
353020	360180	all going to meet outside of Lumbridge Castle. So, whenever what world we'll get, we will
360180	366820	do a Chicky Lumbridge Castle. Yeah. And then we'll take it one by one and we'll quest.
367740	372740	We're going to start with Cook's assistant because obviously this is a bit squished.
372740	379460	And my goal is to get 99 cooking live. Like, not in this one stream, okay? Not in this
379460	384740	one stream. Whoa, whoa, whoa. I don't know how to do that. Although, I think if fletching,
384740	390260	if you have like a ton of GP, you can actually get 99 fletching in one day or something like
390260	395780	that. I can't remember. I think it's fletching. You can kind of smurf it, smurf it with cheese
395780	401300	a bit. All in one stream, crazy. No, no, stop getting hype. It's not happening in one stream.
402100	407540	Okay, quest journal. Yep, we are going to do the free quest first as best as we can.
408420	411700	And then we might move on to membership quest, but I do want to give
411700	417460	Refling the chance to come hang at Lummi Castle, the glum castle. Any, any lumbers? Any hashtag
418420	425060	I'm taking a little bit. It's super expensive for a member. Yeah, it's really expensive actually
425060	432500	to do the thing. But membership in this game is so expensive. I remember I asked my mum
434260	441460	to buy me membership when I was a wane. And it was like cheap as anything. And she never got me
441460	445060	out because she didn't understand what the game was. And she's like, why do you need it? Why do
445620	453460	I need it? I'm like, mum, I want membership. Ryan. Stay awake from last stream. Let's see if I can
453460	463060	make it to the ASMR stream. No way. Are you, you must have been so many iron reaper that I managed
463060	467700	to get an eight hour sleep after that stream. I don't know how long the endurance stream,
468420	473140	it was like three quid the last time I got it. Honestly, I remember like begging my mum. I was like,
473140	478260	mum, I want, I want membership. But she never understood my games. And then that's when I go
478260	486180	to dad. See, dad, dad knew, dad knew what was going on. He knew the games. I'm like, dad, what
486180	493300	we're doing? I'm not talking, I'm right. Hello, my name is Scottlefish. I still live. I usually
493300	498020	only sleep four or five. Are you guys all insomniacs? I got four hours. Good enough for me. Bro, that's
498020	504500	not healthy. Honestly, I felt, I woke up and I felt sick today. And I was like, is that because
506180	511300	you, you will be told to equip items later. You don't have access to the interface for equipment items.
511300	517540	Oh, okay. One more. Thank you. Right, shovel on note. Okay. Are you squidding me right now? Ryan.
518180	524340	Strani is going all weekend for the 99 cooking. She never burns out. She only burns
524980	530180	I actually quite like that. Thank you, Tim. Shuttle. I think Tim shuttles the way I'm supposed
530180	535140	to say it because there's no way it's like any other way. Right, let's go combat interface. Right.
535140	540420	Yes, yes, yes, yes. Oh, beautiful. Let's stab. Give him a little stabby stab. Stab them rats.
541700	545300	All right, hold on. Hold on. Nope. Too far. Too far. Inbought, inbought. I,
546420	550340	whenever I watch RuneScape streamers, they're always like super zoomed in. They're like, oh,
550340	554260	yeah, look at that. And I'm like, bro, I need to be able to see what I'm looking at. Like,
554260	560980	I can see the health bar. I can see everything. I'm not saying anything up before anyone complains.
562660	569540	Chat sleep. Chat needs to rest as much as me. I've got absolutely no sleep at all. Are you
569540	575860	all insomniacs? You're all literally all holding on for the ASMR stream. I'm getting my nails done
576820	582180	after the ASMR stream. So hope you're ready. Wait, what am I supposed to do? Oh, no, wait,
582180	586500	sorry. I'm supposed to do range weaponry. Can I do it from through the gate? Oh, I can.
587540	592420	Didn't realize old school room shape. Oh, didn't realize old school RuneScape membership is 89.
593620	601060	No, bro. The inflation has hands. I'm sorry, but all these things being like, oh, no, cost 11.
601060	604820	Well, you're not employing your pay. You're not paying your employees more. So I don't know why we're
604820	612900	pretending the cost of living is a thing for these companies. I said also. You're doing your nails
612900	620500	for the sweet eating stream. Yeah. How else are you gonna, you know, to my hands? You need to be
620500	625620	able to imagine my hand wrapped around. And that's terrible. We're just started. I would do a lot of
625620	633540	food filming. Oh my God, I'm rich. We're rich. I've got 25 coins. Are you squeezing me right now?
634500	639220	Brian. You guys have been somnia said the Scottish madness streaming assassins creed
639220	645300	for a combined 20 hours within the span of 36 hours. That's because I had problems sleeping.
