start	end	text
0	6320	what's the number of words in my heart?
6320	9320	what's your name?
9320	13320	what's your name?
13320	17320	what's your name?
17320	19320	is that actually my heart rate right now?
19320	21820	hold on a minute
21820	25320	is that actually my heart rate 102?
25320	27820	I'm not even doing anything yet
27820	30820	I'm not even doing it
30820	32820	I'm sure that is 102
32820	34820	I can feel my heart rate is 102
34820	36820	damn I'm dying
36820	38820	very slowly but I will
38820	40820	good morning
40820	42820	good evening
42820	44820	that's how you're going to feel body shot
44820	46820	hey hey hey
46820	48820	hey hey hey
48820	50820	right we're playing
50820	52820	focus focus
52820	54820	there's a pizza on my ring foot adventure
54820	56820	I'm standing up right now
56820	59820	in my brand panty loons
59820	62820	uh
62820	64820	but we've got a bit
64820	66820	oh whisper it cause we've got a soul of war
66820	68820	a bit of a small update
68820	72820	I lost the thing I am supposed to attach to my leg
72820	75820	so I have take like body take
75820	77820	I don't know if you can hear that
77820	79820	so we're going to have to go in game
79820	82820	in order to correctly apply
82820	85820	what I need to do to my leg
85820	88820	it's a bit skull congrats on 14k
88820	90820	me and the girls got twice
90820	93820	cults twice yesterday
93820	96820	um I know
96820	99820	hold on I completely forgot how to use Nintendo
99820	101820	I don't play it
101820	103820	okay I heard that
103820	105820	hopefully that wasn't too loud for you
105820	107820	damn get the fuck out of my head
107820	109820	good morning good evening good afternoon
109820	111820	I'm so sorry I'm a bit scattered today
111820	113820	um I'm
113820	115820	very familiar with the game of Nintendo
115820	117820	um
117820	119820	I'm sure the switches are very serviceable
119820	121820	console and all that jazz
121820	123820	but oh my god
123820	125820	I've been so long
125820	127820	since I've
127820	129820	it's literally been an entire year
129820	131820	and then some change since I've touched this
131820	133820	right okay
133820	135820	that I am missing the orange
135820	137820	band I am using
137820	139820	tape
139820	141820	so this is going to be very interesting
141820	143820	are you squidding me right now
143820	145820	what are you saying
145820	147820	strongly feet my beloved
147820	149820	oh the feet is what you're wanting hold on
149820	151820	I need to like wrap it around my leg
151820	153820	to guesstimate how much thigh
153820	155820	right where is it
155820	157820	wanting me it's actually wanting it above my knee
157820	159820	but you know that hold on right
159820	161820	we've cut the strip
161820	163820	this stuff is good this stuff is good
163820	165820	I promise if I was
165820	167820	a face streamer you'd be absolutely loving
167820	169820	the viewer right now
169820	171820	this is just all my thigh hold on
171820	173820	I'm trying to take the back end off of the
173820	175820	tape
175820	177820	oh no
177820	179820	tape my biggest enemy the back
