start	end	text
0	7140	we'll finally recalibrate the camera for someone please mm-hmm okay I'll
7140	23420	then I'll recalibrate I'm so sorry I'm sorry reflynn don't cry I don't cry my
23420	43740	little reflings I'm here and I'm about to buzz oh my god hello hello I said I'm
43740	50060	disconnected you guys hear that I just got disconnected am I here sorry I was
50060	59500	getting the tea a vtuber blocked me on Twitter I'm so sorry how did you get it
59500	67420	to capture it's really close to the revamped or something hello I sorry I
67420	72220	took so long I was just discovered I was blocked by a vtuber on Twitter because
72220	81580	I posted my income laughing because I just showed mercy at mercies like wait I know her
81580	89820	that's a streamer I'm like oh right anyway so I've just got the tea but it's fine the
89820	98060	tea's fine what the heck can I see it right I'll DM you at Denver but apparently it's a streamer I
98060	104060	didn't recognize them and then mersey's like what the fuck I know her like oh well she hates me
105180	114540	because wait wait I'll quote it well I quote it I mean it's not I just find it funny that
114540	119260	they insulted me and then popped off I have no idea because it blocked me but there you go Denver
119260	126940	there's the tea don't clock it too hard how pet literally it's it oh fuck I'll just read the
126940	133260	comment because it's funny one hour ago that's because you're a part of a lude smaller agency
133260	138780	in quotation marks well yeah I start from the ground up you think this is hollow life
139580	143340	which honestly has to be the easiest job with pay pigs and I'm like
148220	154780	that is so fucking rude to the viewer that is so fucking rude to the viewer I am so sorry
155660	164140	but those attitudes and nastiness is why if you do not show your appreciation
165100	172780	in the basic way in any way you can so last night for example I recorded two collab ASMRs and then
172780	178700	more SFX and all that shit I've had seven hours of sleep because I'm also juggling everything for
178700	185340	my daughters um I'm streaming every day and like I'm trying to show appreciation for the people
185340	191580	that do enjoy me and watch me and someone's analysis was it must be so fun having pay pigs
191580	201980	no motherfucker ew don't be so fucking gross honestly a damn no fandom here rip rip but anyway
202620	207580	I'm a good pay piggy though no don't encourage her don't encourage her she's gonna hate me
207580	210620	well she blocked me so she didn't give a shit about me I can't believe it
211340	218220	streamer doesn't like me what am I gonna do oh well I guess ASMR collab with her is off the cards
220620	225180	hold on let me take my clothes off it's a bit a bit hot in here damn
226700	232780	uh bruh they say that to every feature bro since they all get donations I don't know why
233340	239500	find I'm cringe I'll do it one last thing to edit oh that's another thing oh I also fell into
239500	247980	like three collabs yesterday I like stumbled my way into three collabs uh I I don't know how I do it
249340	255580	so miss ma from being your birthday's coming off and I'm like ah let me in on that eh eh
255580	260380	um she was very keen to invite me into a discord but the discord's full of other streamers I
260460	266300	haven't been able to get my little tentacles into and then I kind of accidentally stumbled into two more
270460	276060	because we were on the topic sorry this is just straight up yapping forget the game okay this is
276060	281020	just how you talk to other vtubers so they were all one of them was like are you all corporate
281020	287740	vtubers so then I like you know threw in my joke I was like I was like oh I'm aid of agency
287740	293180	just so I can have pals like as a little joke type thing and she was like I'm gonna do that and I was
293180	299980	like oh well the the starting fee was 60 000 us dollars and she was like I'm absolutely not gonna
299980	308620	do it I'm just like yeah I don't recommend it it's pretty rough um yeah it takes a year development
308620	317180	all that so you need time okay um and then she's just like oh I wish I could no no don't don't
318300	323660	don't sorry and thank you for the tip his message was oink oink if you heard uh
327420	334300	don't start oinking out in here we we don't do that here okay you make 20 percent of your
334380	341580	starting fee what can I say uh she was hard oh no sorry I don't work hard for the money apparently
341580	350460	I've got pay to do who said you can't buy friends real I only cost 60 no no no don't start and the
350460	358700	I go thank you for the extended membership don't you start don't you no no piggy I'm always don't
358700	365580	you start you goofy givers I'm not a pay pig I'm more like a pay boy what we're getting so specific
366380	374620	Sean is gonna become a vtuber master broly legend no so this is the line for the pity no
375740	378940	you work like way harder than a lot of vtubers you're barely even sleep
379500	384700	literally I've had seven hours I was up recording um recording the pregnancy one tomorrow have some
384700	395660	bacon and on stop it oh shit I just spilled tea down me oh no god what is it with me and spilling
395660	401660	liquids recently and yes yes yes ink refling I know it's a really easy joke yes I want to
401660	406540	say but I'm going to refrain like a good little little strummer what's going on the day it's just
406540	417100	no hot man it's just no hot man okay I'm sorry she's incandescent um a hug for a hag stop stop
417100	427020	that is one that's hilarious out no a sleepy phoenix I'm more of a bark bark kind of guy you
427020	433020	stop that behavior young man stop it refluence you're winding me up right let me finish my tea
433980	442300	hmm are you squiddin me right now exactly we aren't pigs at least let me we can call over the
442300	449260	place not toink need to get it right no let me how often do you shower I stopped now that my dad's
449260	458460	gone no I did have one last night because uh um I got a new lush package oh my god what's that
458460	466060	the streamer actually treating themselves hi thank you kaiton for the um the tip and no I did shower
466060	472140	yesterday but I don't really need to do it daily anymore now that my dad's gone xD so I'm not really
472140	481020	planning on no oink just ink real rott maxon ink not oink no just stop why are we getting asked at
481020	486060	never ask a vtuber stop I want to make that meme hold on let me write that down write that down
487020	492940	sorry I spam everything into this random chat it's the most nonsense I literally have a picture
492940	500780	of fucking misma of june off from idol n and then emmy had together in my notes all together
500780	507100	wait what was the note I've already forgotten never ask a vtuber how often they shower okay
507100	512380	so it's like never ask a man of salary never ask a woman her age and never ask a vtuber how often
512460	516140	um okay
518460	522860	to be honest got a point if you are at home and not getting sweaty and gross I mean
524540	531260	mommy's stinky feet in real life you want to smell my feet cheese sorry that's absolutely disgusting
531260	535980	that's actually minion don't ever say that sentence again do you understand me young lady yes I'm sorry
536540	543420	that is horrific there's a multiplayer mode in this I could never figure it out aren't the servers like
546780	547820	was that in a park
552780	555660	am I being enough oh no I'm not right okay
557580	563420	now athlete just oh I did not play this are you doing what's this what the fuck we got the
563420	566940	pokemon lego here we got the root fucking ruby red pokemon
570540	573580	what wait these are all game mods
578380	582540	rare hello I didn't realize we were doing this
585020	591420	what for deep in the forest built a thriving theme park in a large cleared area to have 250
591420	595580	guests in your park at the end of October year one with a park rating of 600
599500	607740	is this gonna crash my pc at me the first roller coaster with 10 in versions investors
609020	615740	inversions I think that means investors right how do I pause oh my god this is not right you know
616380	622940	so don't show me help okay maybe show me help a little bit oh my god I thought this was going
622940	625820	to come back to me instantly I guess not
629340	638300	hello hello oh my god who said who said pick this game what is this right okay here's a buy
638380	645740	stop oh is this right oh my god this is a mistake this stream I can tell you that much
646300	655500	inversion when you're outside 10 um right hold on okay first people need to eat and drink
656060	659340	we need to charge extortionate prices okay next
660060	668380	uh we're not doing both new thrills that's it everyone get on how to rotate oh
668380	677020	shit are for rotate nope that would be too logical uh w a i've just made the game
677020	684540	absolutely fucking tidy how the fuck do I rotate this like with this one oh no I see
685020	685660	oh god
688540	692700	here's your new park hold the rate most button to drag and view and see the whole part no
695260	698700	well and then I just make a path right make a path right let's make a path
700540	707180	what the fuck is this oh no oh yeah mr crabs what's this
707580	714540	oh no don't they need a little house I'm so sorry the stream's too scoff to continue good
714540	719660	night I'm I'm too embarrassed to continue let's just say it's a musketeer I'm too embarrassed
719660	725740	to continue unironically wait wasn't there do you not have to put a little house outside the rides
728380	736300	do I not I could have sworn you have to put a little hot outside a ride I am oh yeah mr crabs
737660	743020	you have to put a little tiki hut or something you do I knew it I knew it
744460	752940	oh everything's gonna be fucking south fate like oh west facing it won't work without an entrance
752940	760540	and exit oh dear lord who said play this game it was me but who's right stop giving me hints
760540	766380	I know I should be reading that guy but no I'm sorry right this is scenery right so fencing
766380	769820	and shite won't come under that but this
773980	774700	what are you
778940	784540	the ride never ends it'll allow you constantly guests can't get on it making a veiler theme
