start	end	text
0	6000	Dancing if she says there's no audio in-game.
9000	12000	What goes up must come down.
30000	40000	Let me do a live chat.
40000	42000	Hold on, let me do a live chat.
42000	43000	Wait, there we go.
43000	45000	It felt tough, but it wouldn't work.
45000	47000	Good morning!
47000	48000	Good morning.
48000	50000	Good evening, good afternoon.
51000	53000	I'm Strony Cuttles.
53000	55000	I'm supposed to be the hypnotist.
55000	59000	And I've produced nothing hypnotist-wise, except that one live stream.
61000	63000	I've only slept two fucking hours.
70000	71000	What a good song.
71000	73000	That's a good song and that's a good show.
74000	75000	That's not gonna stop me, okay?
75000	77000	That's not gonna stop me.
79000	83000	I'd like to apologise to any bleeding hearts who may be lurking.
85000	87000	Oh my, what's this sayfile?
87000	90000	Hmm, looks oddly familiar.
90000	93000	If I click start, is it gonna remember that I did...
93000	95000	Did I do Sonic?
100000	101000	Does it remember?
101000	103000	Oh wow, it did.
105000	110000	I only slept two hours, cracks the can of cola for the fucking any ounce of the thingy.
112000	113000	I can't believe this, remember?
113000	114000	Holy crap.
114000	117000	So we've actually done Team Rose and Team Sonic.
117000	119000	Never done Team Chaotic.
119000	124000	I've never done Dark, but we may actually have 100% sayfile, which I didn't expect.
124000	126000	So we are playing Team Chaotic.
130000	132000	Now I know it's really weird setup.
132000	136000	There's like a big black gap in between me, but it's fine.
137000	140000	We're just painting, don't you mind, painting.
143000	145000	But we're jumping straight into...
145000	146000	It's here, it's here.
146000	148000	We've got work.
149000	151000	It's here, it's here.
151000	153000	I've heard good things about you.
153000	156000	I would like to order your detective services.
156000	158000	Yeah, detective services.
160000	161000	34 aspect ratio.
161000	164000	I actually have a layout that's 34.
165000	166000	Don't be silly.
167000	170000	We never turned down work that pays.
170000	176000	So I've never actually completed these guys past the power point, power station map.
178000	180000	Could you just show the whole abstract?
180000	181000	You want me to be full body?
182000	184000	I missed the first minute of stront is over.
184000	186000	Oh no, I started early.
187000	188000	See.
191000	193000	So this is Team Chaotic.
193000	196000	I'll talk a little bit in the background.
196000	199000	Hold on, how about I do my yapping?
199000	203000	I actually went back in the binding of Isaacs dream because it was so good.
203000	206000	I team stamped it myself so people can enjoy me.
206000	207000	Freaking playing the loss.
207000	211000	I can't believe I did that and I don't know for any of you who didn't watch the binding of Isaacs.
211000	213000	I don't know why I'm frog blinking.
213000	215800	I promise I'm not frog blinking in real life, okay?
216680	224680	Frickin, I pulled the holy mantle card at the last possible second before delirium got me, okay?
225640	228600	Before delirium zapped my butt cheeks.
229160	235240	Um, you can literally hear me pull the card and then the crack on delirium.
235240	239240	I didn't, I didn't realize I did it because it went so, it went by so quick.
240200	241960	Three whole timestamps there.
243160	248120	Um, but yeah, I, oh my god, fantastic.
248120	251080	I cannot believe that Binding of Isaac Run happened.
251800	257880	I don't know what streamer luck I'm getting and Beltrow and Isaac and all of it.
257880	261400	Such a gamer honestly, an accidental gamer.
261400	263880	Me like, should I break up Brimstone?
263880	266840	Just waiting for you guys to tell me what to do.
266840	269320	I was barely able to sleep after the excitement.
269320	273160	I genuinely couldn't even process, like I looked back on it and I'm like,
273160	278200	Stranny, Stranny for fuck's sake, you just, you just did delirium by accident.
279720	283080	Like when I was lucky enough to even get access to the delirium portal.
