start	end	text
0	2640	lea wearing the bodyguard
24040	27240	hallo
27240	29240	you hear me get him
29240	37840	Good morning. Good evening. Good afternoon. We just trying not to be so loud for once in
37840	45200	a while. Does your dad use those fancy made up scotch words like gobsheet and bampo? A
45200	51920	wee bit. He's much worse lying than me. Good morning. Good evening. Good afternoon. I'm
51920	63880	trying to be a wee bit quieter. But that's because my dad's here. I'm trying to be so
63880	75120	quiet. I think he's still asleep. So, but I had the worst day ever yesterday. I'm so
75120	80800	sorry I couldn't tell you. I didn't want anyone tracking his flight. I didn't want
80800	90280	any weirdness. So my dad's here. I was violently car sick yesterday. So I feel awful. I've
90280	95440	had five hours sleep. I didn't have my nap. I don't even know if I've had five hours straight
95440	100440	to be honest. But we're gonna we're gonna figure out this game one way or another. So this
100440	109400	is Spyro, which may or may not be your childhood game. Because it's not mine. It's still my
109480	119480	game. My master. No, I've not played it before. So Crash Bandicoot got remastered and so did
119480	124720	Spyro. So I don't know if it's the same studio or if it was just rival studios that were
124720	129360	smart enough to re-release classic games. Like if they re-release cameo. So I'm jumping
129360	136360	right back on that. Thank you for streaming despite being a game, but also self care one.
136360	146200	Well, I have, I don't know what we're gonna do about ASMR streams because so my dad passed
146200	154800	out and he's got his own room in over him. And his snoring is so loud. I don't think I
154800	163840	can do ASMR for the next three weeks. I'm really unsure what's gonna happen. I beat the second
164000	170000	Spyro over at my best friend's house. I'm surprised you never played this. I don't know if Spyro
170000	178600	came out after, I mean before Crash Bandicoot. There we go. I have no idea. No dad snoring
178600	184120	ASMR. Oh, he like proper snores the house then. The bloody cats are scared of him. Gimli
184120	193280	and Vigo didn't come out. But yeah, I'm so sorry for the entire, we're gonna give Spyro
193360	203360	a shot. I assume it's Spyro the dragon I'm supposed to do, right? Yeah, seems right. That
203360	210280	was fine. 100% question mark. They need to get used to them. Yeah, they do not. Gimli
210280	212080	and Vigo. Oh my god, they have cutscenes.
212080	222640	Okay, rolling. Oh, it's been peaceful here in the five worlds, or is it six? For a dragon
222640	231280	to eat, you now have 12,000 treasure, or is it 14,000? What about this Ganasty Gannok
231280	238240	character? Now, I'm a Ganasty magic spell to turn gems into warriors for his cause. I'll
239040	252400	gentle confirmed. Wait. So yeah, I'm gonna give your childhood game a shot. See what I think,
252400	256640	because I share my childhood game all the time, so it's time for me to play a new game.
257360	270320	Wait, they have old music. Wait, why didn't... Oh, he talks.
276880	278400	Wait, why didn't he make me green?
278720	286320	Is this a remake of the original Spyro? It is.
294160	300800	So X is charged, B is flamed. Is it unlimited? I don't really see a bar. What's Y?
301040	308320	What's Y? X at look. Hold on, sorry. Wait, right trigger is attack as well.
310800	317280	What's this? Rescued nest. I didn't do anything. I walked forward, sir. Please,
317280	319680	please do not give me more accolades for things I didn't do.
323680	329040	Oh my god. Thank you, hit Vocaloid, Iniku Hatsune, for becoming a member.
331760	337840	What about NastyNork? I'm going after him. I'm going to find dragons first.
337840	340560	That's all I can tell you. Right, we're to find dragons.
342720	348400	I mean, I think it's as simple as that. I'm going to say no. Right, there's a green one over there.
348400	356400	Oh, I can fly with wings. Delvin. That Miku? Oh my god, she literally...
356400	361600	NastyNork out towards you. Keep your horns on, Spyro. You have much to learn.
361600	365440	So I'm a baby dragon. Do you know what the dragon fly following you is doing?
367120	373440	His name is Sparks and he's helping me protect you. Keep an eye on him and see what I mean.
374000	377520	Please... where is this?
379840	380640	Oh, I missed.
387760	392480	Wait, I can't touch water? Is it because I'm a dragon?
393120	406160	Okay, sorry, I'm just getting used to this. I've almost perished because I'm a dumber.
407920	411920	Oh, I'm locked to place. Do I want to go there? Does it matter where you go?
413360	417760	I do see portals going out and Joes don't read your health.
418480	420880	Oh, he looks so messed up.
422400	426000	Old video games and conditions to expect water to always be lethal.
426000	432000	Literally, I didn't realize I was hurting myself. That was a bit of an oversight from me.
434080	439680	Oh, I've got my cup of tea. Treasure found. Oh no, is this like 100% the game to progress?
439680	443120	Or is it just... you can go wherever you want. Oh, okay.
447840	452000	But yeah, how are you guys? Other than... oh my god, what?
454560	457520	Are you squid merit? I've just come for the worst, like one.
457520	460960	Mama dipping into my childhood on my 24th birthday.
460960	461520	Oh, birthday.
461520	464640	Best present ever. I hope you have a fun.
464640	467760	Oh my god, happy 24th birthday.
467760	471680	Snowberry smoothie. That's such a cute name. Thank you for the 20 as well.
471680	476240	Yeah, I'm trying to play your childhood games. Oh no, the controls are embedded.
