start	end	text
0	4380	Hey?
4380	10700	I'm a dreamer even though we're a kitty cat.
10700	12480	Cat, I'm a kitty cat.
12480	17400	Cat, I'm a kitty cat.
17400	18400	And I meow, meow, meow.
18400	19500	And I meow, meow, meow.
19500	22180	Cat, I'm a kitty cat, and I dance, dance, dance.
22180	23580	And I dance, dance, dance.
23580	26320	Cat, I'm a kitty cat.
26320	27620	Cat, I'm a kitty cat.
27620	32620	You guys remember that hit viral YouTube video where the song goes
32620	34620	I'm a cat, me and I'm a kitty cat
34620	37120	And I dance and dance and dance and dance and dance
37120	39120	Yeah, well I remember anyway
40620	44120	I don't know if it might be better for me to play games like in the middle of the screen
44120	48120	I feel like I'll always cover up something important over here
49120	52620	But then I end up getting really tiny, but then if I'm here, it's like well
52620	54620	At least I can show my face
55620	59620	I can't feel my face when I'm open
59620	60620	Heart or heart?
60620	62620	Okay, let me explain the hearts
62620	65620	I did a bit of, did a bit of work, yeah
65620	66620	Did a bit of work
66620	68620	So you may notice
68620	69620	Good morning
69620	72620	Good evening
72620	74620	Or good afternoon
74620	76620	I'm your host
76620	78620	Strony Cuttos
79620	84620	Let's get right into the updates
84620	87620	Which is hardly any, there's not that much interesting stuff
87620	92620	If you are a member of any viewer member, you may notice that there's hearts
92620	93620	What do the hearts mean?
93620	97620	The hearts are placeholders for where emotes are going to go
97620	102620	YouTube is slightly, slightly
102620	105620	A little bit, dare I say, a bit based
105620	111620	You cannot lose an emotes slot if you bagzian, okay
111620	116620	I'm gonna hope that bagzian is a terminology
117620	121620	Used by anyone else outside of Scotland
121620	124620	But bagzian means it is reserved, if you will
124620	126620	My new favourite emotes just dropped, okay
127620	130620	Can we keep one heart or moe?
131620	136620	Although I think me holding the heart and moe is better than just an emote
136620	139620	Bro, I can't even fucking png them
139620	144620	But anyway, if you are a member of any girls channel, you will notice that there's moe slots
144620	148620	And depending on how many hearts you see is how many slots unlocked
148620	152620	AC for example is the first girl to receive her batch
152620	154620	So hers is already up
154620	157620	Emmys is the next to receive her batch
157620	159620	There was a bit of a miscommunication error
159620	164620	And by miscommunication error, they just randomly didn't draw one of the emotes we requested
164620	169620	And drew one of the emotes we already, like redrew one of the emotes we already had
169620	171620	And they were like, here's your delivery
171620	177620	And I was like, no, no, no, no, that's not what my little sister wanted
177620	180620	And that has to be, I'm glad she caught it actually
180620	183620	I sent it to Emmys and I was like, how does it look?
183620	184620	Are you happy with it?
184620	189620	And she's like, strongy, there's an entire emote missing
189620	193620	And one we didn't ask for, and I'm like, you know what Emmys?
193620	199620	Even though you have negative 5 prescription, you've got some bloody good eyes on you sometimes for spotting
199620	202620	Eh, oh did you hear my caller?
202620	207620	Hi, hi, hello, hello
207620	209620	I can't go anywhere
209620	214620	Um, updates
214620	218620	There's a new AC short, there's a new short on my channel
218620	220620	There's a new short on Mercy's channel
220620	225620	Um, Azura's got 4 shorts that have been ordered
225620	229620	One of them is absolutely outrageous and hilarious
229620	235620	Um, I had to get a serial box commissioned for it
235620	237620	It was that funny
237620	240620	Um, so hopefully when that comes out, I'll send Azura's way
240620	245620	Cause Purser and Sheebie haven't had any shorts love
245620	250620	But finally, the shorts are working out and you know, people are ready to work on them
250620	254620	Oh Anonymous tipped me, hold on a minute, we have missed your tipped Anonymous
254620	256620	Give us the tip
256620	260620	Are you squiddin' me right now?
260620	264620	Thank you for giving us so many streams to share with you
264620	268620	Some of us are less active, but no less appreciative of how much you do
268620	274620	Ah, don't you worry, you bumberino, gibberino, schnibberino, woobberino
274620	278620	Anonymous, you don't have to fucking look
278620	282620	I know it's not easy to keep up with me every single day, you know
282620	285620	For mummies got endurance, the way we like it around here, okay?
285620	288620	Thank you very much for the tip, that's very kind of you
288620	290620	And yes, I'm glad you can enjoy the daily content
290620	296620	Speaking of daily content, uh...
296620	301620	We're still on for daily streams, that's the good news
301620	306620	We're having a few health issues, okay?
306620	311620	So currently, oh I just realized I'm linking the ACSR
311620	315620	We're currently having some mild issues with health
315620	321620	That is, I basically, I go for a nap for four hours when I finish a stream
321620	328620	And then four hours before a stream, I'm having a nap, I'm not having a full sleep
328620	334620	And I had a dream about a VTuber that I haven't even met and don't exist before
334620	339620	So the lines are getting crossed, I'm fucking dreaming about VTubers
339620	341620	That aren't even real!
341620	345620	I'm gonna start fighting real sh- I'm doing Shadow Boxing for real
345620	351620	In my head, in my head, in my head
351620	355620	Is it Army? Army, Army
355620	359620	I don't know what that song is
359620	362620	So I'm starting to hallucinate a wee bit
362620	365620	Not quite at the hallucinatory stage, however
365620	369620	I am really struggling to wake up for streams
369620	373620	But my only other alternative option
373620	376620	Oh is it Zombie? No, what did I say? Army
376620	382620	Zombie, in my head, in my head
382620	387620	Zombie, zombie
387620	389620	Anyway, whilst I'm being distracted
389620	390620	We're playing a game called Stray
390620	393620	Apparently it takes five hours to do this game
393620	396620	Everyone went absolutely coconuts when this game dropped
396620	398620	I personally have not played it before
398620	399620	But it's got cats in it
399620	401620	And you know how we do around these parts
401620	404620	If you didn't know, Wham and Love It
404620	408620	When men like creatures or lesser beings
408620	410620	Because it shows that man is safe
410620	413620	If man does not like creature or lesser being
413620	414620	Man is not safe
414620	416620	Hmm, Monca es
416620	420620	But apparently we get to be a yin-yor cat
420620	423620	As well, not just any kind of cat, a yin-yor
423620	426620	Five hours if you're quick
426620	428620	Oh no
428620	430620	Oh my god
430620	432620	Why are we so skinny?
432620	434620	We need to fatten us up
434620	436620	Where's your primordial pouch?
436620	438620	Oh my god
438620	440620	Hello
440620	442620	Oh actually, I'm ginger
442620	444620	Wait, whoa, that camera's a bit...
444620	446620	Oh my god, Mia
446620	447620	Do you jump?
447620	448620	Jump
448620	449620	No
450620	452620	Oh no
452620	453620	Hello
453620	454620	Oh my god
454620	456620	It's Chateau Noir
456620	459620	Bonjour Chateau Noir
459620	460620	Hello
465620	467620	Oh, I'm the submissive cat
467620	468620	Do you know why?
468620	469620	Because I got licked on the face
469620	471620	So I'm the submissive putter
471620	472620	Okay, ginger is the submissive
472620	474620	Hey, but you're a mix
474620	477620	You're a calico-colo-colo-lolo cat
