start	end	text
0	5000	Good morning sleepyhead!
5000	10000	Good morning good evening good afternoon!
10000	15000	Good morning sleepyhead!
15000	20000	Good morning sleepyhead!
20000	25000	Good morning sleepyhead!
25000	30000	Good morning good evening good afternoon!
30000	35000	Are you ready to play puzzle game with me?
35000	39000	You can already see the first one.
39000	45000	Okay, so in order to link to it,
45000	48000	I'm going to have to constantly close the game,
48000	51000	well close it from stream, so actually close.
51000	55000	Okay, but I will link you this website.
55000	60000	It should have a little insert, so you can name yourself if you like.
60000	63000	You can do something humorous.
63000	66000	But we're just doing a test.
66000	71000	This is testing 250 pieces an image.
71000	77000	We'll just take a moment...
77000	79000	Yeah, that's not even names!
79000	83000	You're just spamming!
83000	87000	That was so quick!
87000	95000	So we're just testing if you guys are able to
95000	99000	figure out the 250 pieces.
99000	102000	I've got some cam music on in the background.
102000	104000	It's just a chill day today.
104000	107000	I've got a few funny images, but this is just the start,
107000	111000	so I just wanted to see how you guys do.
111000	113000	I'm going to put Azura together,
113000	115000	because Azura's got teal in her hair.
115000	117000	I can see AC's got blue over here,
117000	121000	so I'm just going to drag her over here.
121000	124000	Hello! Good morning good evening good afternoon!
124000	127000	I'm having to play Super Dipper safe.
127000	131000	My dad has fully come down with a cold.
131000	134000	Not me in the middle with my little scored eyes!
134000	136000	Um...
136000	138000	Mumme!
138000	140000	Um...
140000	142000	My...
142000	144000	Yeah, my dad's unfortunately come down with a flu.
144000	148000	I actually had to go to the pharmacy yesterday for him.
148000	151000	And like I explained what's wrong,
151000	153000	and they were like if he's not...
153000	154000	If he still...
154000	155000	He felt dizzy,
155000	158000	but he took some strong sleeping medication
158000	160000	that he got from the pharmacy,
160000	163000	and they warned him like they don't use too much of it.
163000	167000	But I don't know, he like phoned me after stream,
167000	168000	like I was only in the other room,
168000	171000	but he was too weak to like come out.
171000	173000	Um...
173000	175000	And he was like I feel dizzy,
175000	176000	so like I ran,
176000	179000	I got ready, went to the pharmacy,
179000	181000	and the lady behind the counter was like
181000	183000	unfortunately we can't do anything for that kind of thing,
183000	185000	if it's not better in 24 hours,
185000	187000	like go with the doctor.
187000	190000	So I'm currently quarantining myself from my dad,
190000	192000	but the problem is we're sharing a space
192000	194000	and I really don't want to get sick.
194000	196000	Um...
196000	197000	So I had take away,
197000	199000	and he's had subway.
199000	202000	Just to fill his tongue.
202000	205000	Oh, there's the top of my peril.
205000	207000	My head, please.
207000	210000	I can see that's my shell,
210000	212000	but it's not fitting anywhere.
212000	214000	Wait, that's my shell, is it not?
214000	217000	Oh no, that's my hair piece.
217000	218000	These are my two shells.
218000	219000	Where did I go?
219000	221000	I had my eyes here so I couldn't go.
221000	222000	Oh, there's me.
222000	225000	Okay, my shell goes here somewhere.
225000	229000	And then this is my other shell over here.
229000	231000	I'm gonna move these out of the room.
231000	233000	I'm not sure that they are.
233000	234000	Oh, sorry, sorry.
234000	236000	I'm stealing pieces from people's hands.
236000	237000	I'm sorry.
237000	238000	Right, this is a zero sleep,
238000	241000	because I can see that purple from anywhere.
242000	245000	But it's just a really chill day.
245000	247000	Um, nice and easy.
247000	249000	Um, I am...
249000	251000	Oh, you can't see,
251000	253000	because I'm a big hair, hold on.
253000	256000	Above, because I want to redact it,
256000	258000	you're redacted, redacted.
