start	end	text
0	10000	Oh wait, how do you fit me in life?
10000	19000	I don't know what to pop it, ah good morning, I see it, it says I'm up, I'm sorry I'm up,
19000	29000	good morning, good evening, good afternoon, we've learned, hiya, America, hiya, hiya,
29000	35000	I literally just woke up right, and then I quickly scrolled Twitter whilst I've got like
35000	39000	literally one thirty seconds to my name after like booting up the stream and everything
39000	45000	and Emmys like, wait actually you know what, I can freaking quote it and I can let you listen to
45000	51000	hold on let's find, oh my god I don't have any DMs with Emmys on Twitter, oh my god proof that there's
51000	59000	inciting at me allure, right are you ready for this, her most recent tweet that I just saw,
59000	65000	wow I'm so happy I'm not three hours into a shift at the cash register dealing with old people
65000	71000	complaining that the newspaper got ten cent more expensive, I love my job, also Emmys
71000	75000	get pregnant, get pregnant, get pregnant, get pregnant, get fucking pregnant you precious little slut, get pregnant
75000	85000	yeah, damn straight you love your job either one, we're playing Wata Melan
85000	93000	and I love the Wata Melan meme, no the meme is not overused is I had email notifications on and just got here
93000	97000	I hide them for hours playing Suika or Suika or Suikobliat
97000	107000	so yeah, I have email notifications on I'm still late, why would you have email notifications on, that's so curse
107000	115000	but I feel okay today please don't worry, I looked at Marshmallow, I'm so sorry for worrying anyone
115000	119000	I did not, I've never played this game before, no
119000	125000	I am so sorry for stressing anyone out, I'm gonna quickly read the super chats I missed yesterday
125000	131000	Sada, thank you for the extended membership and their message was face
131000	133000	like the capital D face
133000	137000	Veeler Lover, how the hell can she be a tease when she's still out of breath
137000	141000	because on my dying breath I will be a tease
141000	145000	Nero2276, thank you for the super chat, is this the bite of Vsucky?
145000	148000	is this the bite of 87?
148000	150000	good reference, anonymous
150000	154000	I've once heard that females can have miniature inking from work out, this is true
154000	160000	Stony's panting sounds like she's recording an audio, no no no
160000	168000	it is true, women can experience a floor firework if you will, a floor muscle firework
168000	174000	thank you for that tip anonymous and then anonymous said good job mami
174000	178000	good job Riflin, you did amazing, now give us
178000	184000	now give us you a nice little, oh massage all over your body, I'll take it honestly
184000	188000	I'm ironically a bit small, small, so are
188000	194000	but today we are testing if in fact it's true or not
194000	198000	if this game truly has VTubers in a chokehold
198000	202000	jesus, that's blind and first thing in the morning, can we change?
202000	212000	Aladdin, Prince of the Fabulous, he's drowning in water
212000	214000	I do not know the words
214000	218000	can we stop blinding myself, oh my god can you load faster
218000	221000	I thought this was like a tiny little indie game, honestly
221000	223000	are you squidding me right now?
223000	226000	thank you for the super chat really legend
226000	230000	so what I'm hearing is I have to look for a VOD, if you'd like to
232000	236000	okay first off cute adorable, Kawaii-nee
236000	238000	mm-hmm, mm-hmm, okay
238000	241000	single player plays, well that's the only option I've got
241000	244000	apparently the DLC's behind the paywall
244000	246000	are you squidding me right now?
246000	248000	still didn't even have the fill thing, I'm not kidding
248000	252000	I've got a cup of tea to wake me up
252000	254000	oh my god reeflings
254000	258000	reeflings, I have something that I need to keep for you guys
258000	260000	only you guys are allowed to know this
260000	264000	don't leak it anywhere or I can't keep leaking stuff
264000	268000	I found artwork of someone that like drew
268000	272000	that draws feet, right?
272000	274000	okay
274000	278000	and I commissioned them to draw everyone's feet in the allure
278000	282000	okay and I was so fucking excited to get that
282000	284000	turned down the game I think a bit
284000	286000	anonymous, thank you for the tip
286000	288000	hi story, I can't believe you and Emmy are going back and forth with our no-
288000	290000	no, no, no, no, Emmy's first
290000	292000	I bet it would be fun to see pinpals versus re-
292000	294000	no, no, no, no, no, no, no
294000	296000	that's not how, personally that's not how I do it
296000	300000	I actually want the girls to be ahead of me
300000	302000	I've kind of said this before
302000	306000	I've put advertisement money behind the girls
306000	308000	but I've not done it myself
308000	310000	the only exception was the trailer
310000	314000	because all of us for debut had to generate some kind of hype
314000	318000	and unfortunately Shibi and Azura's big fat yunkers
318000	322000	stopped their ads from running on their trailer
322000	324000	which is quite upsetting
324000	328000	but I personally do not do it like that
328000	330000	I am not here to outdo my genmys
330000	332000	I actually want them all to succeed
332000	334000	and be ahead of me
334000	336000	so when Emmy went ahead
336000	338000	I was absolutely ecstatic
338000	340000	I truly was ecstatic
340000	342000	and she's still ahead
342000	344000	which I'm very happy about Shibi
344000	346000	I've given an ASMR script too
346000	348000	which she will be recording
348000	350000	soon to end
350000	352000	when she's not at her grand-pappy
352000	354000	parents house
354000	356000	I think that's where she is
358000	360000	boobs
360000	362000	I'm trying to draw, I saw you draw Emmy too
362000	364000	I'm okay
364000	366000	is your sweat toggle still on?
366000	368000	it is!
368000	370000	thank you Reefling
370000	372000	I couldn't see that
374000	376000	thank you Reefling
378000	380000	oh my god I'm such a professional streamer
382000	384000	I also managed to get my order changed
384000	386000	before it came through
386000	388000	so the dog bowl and the dog collar
388000	390000	are gonna say the right things
390000	392000	I don't know how you noticed that
392000	394000	from so far away
394000	396000	I would have played the entire game sweating
396000	398000	literally
398000	400000	I hope you liked my silly drawing
400000	402000	are you joking? I'm yonking at making ASMR
402000	404000	right, how to play Suika
404000	406000	use the
406000	408000	yes
408000	410000	or up and down to move
410000	412000	no we're not doing up and down that's terrible
412000	414000	we'll use the less stick
414000	416000	next press the A button to drop the fruit
420000	422000	uhhhh
422000	424000	okay I guess
424000	426000	I didn't read the rest of the thing
426000	428000	right
428000	430000	okay
432000	434000	hold on
434000	436000	I'm just getting used to the mechanics
436000	438000	if you will
438000	440000	okay
442000	444000	hold on let me get up let me get up
444000	446000	let me go up
446000	448000	so this is what had VTubers
448000	450000	in a choke hold for how long
450000	452000	this
452000	454000	am I addicted yet
454000	456000	the answer sadly is no
456000	458000	I'm not I'm not sure if I'm gonna get addicted
458000	460000	I'm unsure
460000	462000	I have yet to form an opinion on such a game
466000	468000	what's going on here it still has a
468000	470000	choke hold on VTubers does it actually
470000	472000	well I see
472000	474000	someone very
474000	476000	I think someone might have
476000	478000	gone on her throne and got her switch
478000	480000	I said to her
480000	482000	oh I'm playing this game
482000	484000	and I'll recommend it to you
484000	486000	ooh we got a lemon
486000	488000	I'll recommend it to you if you're
488000	490000	wanting
490000	492000	recommendations because I'm trying to help her pick a few games
492000	494000	that are more her style
494000	496000	oh fuck that one up
496000	498000	oops
498000	500000	so I need what pray that
500000	502000	they're just gonna randomly touch each other
502000	504000	okay I guess
504000	506000	oh no I can't reach the orange one
506000	508000	over the mandarin
510000	512000	oh god I think I'm like
512000	514000	really I think I'm screwing this up
514000	516000	sorry wait hold on a minute
516000	518000	I'm messing this up so badly
518000	520000	oopsies I still loving
520000	522000	what kind of games do I see
522000	524000	I see needs a casual experience
524000	526000	and no I don't mean that and then
526000	528000	so do you
528000	530000	relax
530000	532000	I just mean that I see likes a game
532000	534000	I don't have to swear on
534000	536000	okay or is a familiar game so I'm putting the list together
536000	538000	I didn't mean competing against
538000	540000	oh sorry anonymous I apologize
540000	542000	I did not mean to paint your
542000	544000	tip in that light my apologies that was my fault
544000	546000	I just think it would be fun
546000	548000	to make a challenge of viewer fans
548000	550000	just like Emmy did were pin pals so everyone can
550000	552000	get ahead of you
552000	554000	did she tell you the challenge she did
554000	556000	yes there's actually
556000	558000	this is inside her knowledge
558000	560000	fucking strongy stop leaking inside
560000	562000	your knowledge challenge impossible
562000	564000	I am going to do a meet and
564000	566000	oh I got you a pink thing
566000	568000	what's a pink fruit
568000	570000	that's that big a melon
570000	572000	maybe there's a pink melon
572000	574000	but it's not the water melon
574000	576000	um
576000	578000	I'm literally impossible
578000	580000	for me not to leak in company secrets
580000	582000	it's just a big peach oh it's a peach
582000	584000	it's my booty
584000	586000	fuck you booty fuck you bitch
586000	588000	um sorry that was
588000	590000	I think that's a meme of some kind
590000	592000	um
592000	594000	I am not strategically playing this game
594000	596000	I actually don't know what I'm doing
596000	598000	I'm just having a good time okay
600000	602000	no touch yay
602000	604000	oh you can touch
604000	606000	touch touch yes yes
606000	608000	oh my god okay hold on a minute
608000	610000	hold on a minute hold on a minute
610000	612000	I think I'm starting to understand
612000	614000	again VTubers I might
614000	616000	have to issue a public apology
616000	618000	I might have to
618000	620000	issue on a public apology hold on
620000	622000	a minute
622000	624000	I might have to do it
624000	626000	um right okay company secrets
626000	628000	getting leaked in 4k
628000	630000	I'm having a meeting with the girls
630000	632000	and I'm telling them like hey this method
632000	634000	seemed to really work for me so if you
634000	636000	want to offer free audios
636000	638000	on Twitter in exchange for like
638000	640000	milestones I'm happy with that
640000	642000	like I have so much ASMR
642000	644000	debt and audio debt
644000	646000	on Twitter coming up but once
646000	648000	it's finished like I might
648000	650000	do something like that and be like
650000	652000	oh for I don't even know how many
652000	654000	for 15k subscribers I'll do this
654000	656000	outrageous thing okay see now I'm
656000	658000	starting to block myself
658000	660000	I'm not really
660000	662000	sure what to do
662000	664000	I mean I'll just go for it I mean
664000	666000	it's alright it's just a fun little
666000	668000	goofy game it's actually
668000	670000	oh no oh no this can't be right
