start	end	text
0	27820	I know you can hear me right now cuz YouTube just prompt me to play an ahhh good morning
27820	39640	good evening, good afternoon, how the heck are you? have I slept? I'm still delirious
39640	44860	cuz it's not enough but I slept a considerable time I'm trying to sleep
44860	50200	at like 6 p.m. and then I can wake up at 4 fully refreshed
50920	56440	we're streamed? and I actually succeeded a little bit yesterday
56440	64600	um so I think I think I think I might be solving my my my problems with sleep
64600	70480	just like really hard I've just came online like 10 minutes ago and I've
70480	74400	just been sent the short of Emmy Farton I don't know if you want to hear the
74400	81600	audio of it she's not right I need to give it to her so she can thingy it but
81600	87240	I can send you I can let you listen to the audio of her Farton in a short if you
87240	93560	want to hear it to share the brap okay this is the Emmy short
104400	116120	I'm literally she's so proud of herself for Farton
118120	124400	I'm gonna send those on I say send them on I look I'll let you know some
124400	129600	behind-the-scenes stuff okay and the girls just wake up to new shit on their
129600	135760	channel okay they just wake up and I'm just like it's unlisted I'll unlist it
135760	139600	for Emmy because I know she likes things a certain way but I'll schedule it for
139600	144080	the others because they're just happy like with whoever not saying that he's not
144080	147880	happy I just understand that me likes things done a certain way so what I do
147880	153160	for Emmy is I name it I title it I tag it I describe it do the description for
153160	156200	her and then if she was changing anything she's more welcome to change
156360	161800	anything I came up with a bit of law for us reeflings yeah yeah our nicotine patch
161800	166640	has an internet connection that plays your VODs when you're offline yeah but
166640	170840	it's programmed to stop at your stream time which is why we get needy when
170840	177960	you're one minute late I mean we do have the perfect amount now for us being
177960	181760	needy so honestly I'm not over it
183360	191240	literally oh my god what I think please let me hold it is trending oh my god
191240	199680	wait what holy shit do you want to see these YouTube stars hold on talk about
199680	203520	not gatekeeping let me just take it that was my PC that made that noise not your
203520	209200	one it's mine talk about fucking both videos jumping in the algorithm hold on
209200	217160	let me pull this up let me pull this up because both my ASMR meme videos have been
217160	225880	caught in the algorithm sorry by date please oh my god they've both been caught
225880	230880	in the algorithm updating in real time so this is the last 48 hours see how God
230880	235200	I don't have a refund to point with right now trap top content real-time
235200	240480	copying has had 40k views in the last 48 hours that already had 10k views on its
240480	248640	own I think that's my is that my first 50k is more is it broke 50k girlfriend
248640	253680	begs you to let her hold it is that 80k I'm about to get 100k views on one ASMR
253680	259800	video holey moley
263800	267160	holy moley
267160	273800	fucking that's all so cozy true and replied to my tweet sorry we're having a
273800	278840	very slow start to the morning I need to wake up easy on me cozy true commented
278840	282640	on my tweets I was like all my videos being picked up in the algorithm and she
282680	286280	was like it's so nice when you get blessed by the algorithm this is an
286280	292120	example of if the algorithm didn't bless me I wouldn't be at the subscriber
292120	296400	thing and like everyone is pleading and begging with this machine to pick them
296400	300920	up this little zero bunch of zeros and ones to pick them up because if you do
300920	306040	get picked up I mean look at the fucking rewards you can reap like I better not go
306040	309440	ahead and me that's all I'm saying you better be subscribing to me visa right
309440	314360	no Emmy's still ahead good that's what I want to fucking see holy shit she was
314360	323080	about to hit 10k no that's fantastic oh my god she was about to hit 10k please
323080	326320	tell me I can redirect her into her after the stream if you aren't subscribed
326320	329360	to keep you she be caught in bum what are you doing with your life she is
329360	332320	literally what I'm supposed to be in another life and you know what to do
332320	335120	with that and you know what I mean by that we all understand what I mean by
335120	339000	that yes yes yes not your head not your head hold on please tell me I can be
339000	343640	direct into you second please please baby girl please tell me your stream and
343640	348480	second redirect into you apparently you're supposed to be doing an ASMR role
348480	356640	play but at what time she says that your usual pain nope nope I don't even see
356640	364680	the thumbnail hmm yeah she's in ASMR tours oh she better be I'm gonna cream all
364680	369120	over that bunny sorry that was really inappropriate I have to admit that one
369120	373120	was a bit of a thingy please don't be shy to subscribe to she be any of my
373120	377560	gen mates for that matter but she be is about to hit 10k which means the
377560	382000	management get to do a little celebratory 10k post and I mean Mercy's 1k
382000	388520	offer as well maybe a few good shorts and you never know and then we can all be
388520	395760	10k and we can all kiss and make out after 10k cream do you mean ink true
