start	end	text
0	29920	I think the test is in twickels.
30920	32920	Are you there? I'm on? I'm alive?
32920	34920	Woman! Reeling!
34920	38920	Good morning! Good evening! Good afternoon!
38920	43920	I know. I'm a whole six minutes early. What's going on? What's happening?
43920	46920	Isaac's a bit loud. I thought that.
46920	50920	You know what? I actually thought Isaac was a bit loud.
50920	55920	Oh my god, my controller isn't on. Of course it's not. How embarrassing.
56920	61920	I'm going to go into a match because I think the actual game volume is lower.
61920	64920	Of course we get burn in basement. Relax.
64920	70920	Oh my god, wait. I haven't done hardcore angels?
70920	74920	Wow. Terrible.
74920	79920	Who are you and what have you done with mommy? She's never early. I know. She's always fucking late.
79920	86920	Right. Updates. I've got good updates. You're going to like this.
86920	91920	Is Isaac still too loud?
91920	95920	You know what? I'll put it down again. I'll put it down a wee bit more.
96920	102920	So I did a community post where you can submit.
102920	109920	If you didn't know, I did a community post and you can literally tell me what words you want me to say or phrases.
109920	113920	A lot of people have given me phrases which I'm surprised about.
113920	121920	But I'm basically taking screenshots of what you guys are saying
121920	126920	and then I'm going to do like a 60, like a one hour.
131920	139920	The caught fish is never early nor is it too late. It will arrive safely on stream when it meets you.
139920	145920	God, there's how many chicks like unironically watch me. I'm getting asked.
145920	150920	So good girl.
150920	159920	I succeed. Oh, if you want to play along with it. And before I lose this and you guys are like, I'm still doing the run. Smile.
159920	166920	But yeah. If you want that, there's a community post.
166920	172920	I have officially written or sent away all the content
172920	176920	for the ASMR collabs I have with other creators.
176920	183920	Okay. It took me so long to do. I have 11 confirmed ASMR 101 collabs.
183920	194920	And it took me so long to get there. But I've done 11, which means when I've wrapped up, that's 11% of my freaking goals, my objectives.
194920	201920	So if I keep on track, I should be able to do finish my goals within a year because I wanted to do that.
201920	205920	I don't know if I can do the Xbox goal. That seems like a second year goal.
205920	214920	I'm going to be so happy because she woke up. I am God's EPS soldier right now.
214920	223920	But yes, I did that. I took a look into doing the clipping program.
223920	234920	So if you're an established clipping channel, it looks like we can basically match Idol End's offer, which is a dollar a pair of 1000 views.
234920	241920	A pair accepted clip channel. So that will be something that comes out in August.
241920	250920	The video game for a viewer is definitely looking like August, sadly.
250920	259920	I fucked up my artwork. I'm really upset, but I've kind of... I've done it now. I've made a mistake. I've learned from my mistakes.
259920	265920	So if Gen 2 and 3, if and when, do come out with a video game, they're going to be correct.
265920	272920	I'm very lucky that I fucked up on my specific artwork and not someone else's specific artwork.
272920	279920	Aces is fine, Emmys is fine, Azuras is fine, Merces is fine, Shibys is fine. It's mine I fucked up on.
279920	286920	So I'm really glad it was mine because mistakes were made, things were learned along the way.
286920	294920	But next time when it comes to animated alternative art, it's much wiser to just go to the person
294920	301920	that draws and animates it, not get it drawn elsewhere and then animated by someone else
301920	310920	because that's how things get messed up and my section is supposed to be banal,
310920	317920	but instead it's turned into hot dogging, but the audio I recorded is for banal and I don't know what to do.
318920	328920	I think I'm going to leave my original audio type in, but unfortunately the artwork doesn't match the section correctly.
328920	335920	So yeah, that's my update about my section in the video game.
335920	344920	But look, mistakes happen and I will say, I have learned so much and I'm so happy that I could even learn...
344920	349920	I can even learn to commission a video game, I know it sounds silly but...
358920	361920	But yeah, is there a scene where it works properly?
