start	end	text
0	2800	Good morning, good evening, and good afternoon.
2800	7800	I am Strony Cuttles, and before you say a thing, yes, I'm f***ing Scottish.
7800	12400	Then, before you say the second thing, yes, I'm a cuttlefish, that's why I'm called Cuttles.
12400	16500	Then, for the third thing, because I'm Scottish, I don't say the double T's in the middle of Cuttles,
16500	19100	and thus I can never say my name correctly.
19100	20300	Phew.
20300	23800	Now that we've got that out of the way, do you like ASMR?
23800	25800	Do you like shameless people?
25800	30500	Do you like filthy degenerates that don't know how to go offline and will ruin your sleep pattern?
30500	33000	Good, because that might be the answer to your prayers.
33000	35800	Well, June 1st, I'll be waiting on you.
35800	38000	So stop squiddin' around and be there.
