start	end	text
0	22000	Oh, so if I push for me, you read it, you read it, you read it, are you waiting until
22000	29000	it registers? For some reason it doesn't register, really.
29000	42000	I'll wait for YouTube to prompt me to put ads on, that's when I know I can start talking
42000	47000	as soon as YouTube's like, do you want to put ads on? I'm like, no. No, I'm running
47000	55000	started with a stream, why would I want to put ads on? Good morning, good evening, good afternoon.
55000	70000	Is my fucking model crashed? Whoa! Excuse me, I saw that. OBS is currently eating 40%
71000	79000	OBS, hello? Whoa, whoa, whoa. Who or what? Nothing is open.
82000	92000	OBS, relax! 40%? The Binding of Sheevee, honestly. I do not know why I'm lagging.
93000	99000	Is there memory leak on the fucking main menu? Goddamn. Don't laugh that I'm not on a
99000	106000	win streak. Me, thank you for becoming a member. Dear Asical, thank you for redirecting into
106000	112000	my high snowberries, I don't know why OBS is melting. Whoa, you're breaking my model,
112000	119000	OBS, what the fuck? Holy shit, I think it's not an Isaac Data leak, it literally says
120000	132000	OBS bro, you need to calm down, who or what? I got the movie, I got the movie open for later,
132000	146000	I might have to delete the answer. I'm sure maybe that much of a video. Right, looks good bro,
146000	151000	I enter the news, I'll pretend that my model isn't lagging. So this game is called the
151000	158000	Binding of Isaac, is that a biblical reference? Yes it is, this game is about a 5 year old
158000	168000	boy called Isaac. Just close and reopen OBS, I don't know how to inform you, OBS is what
168000	175000	I'm streaming to you on, you're asking me to reset the stream, no chance. You should
175000	181000	reinstall it. So this is the Binding of Isaac and it is about a poor 5 year old boy who
181000	193000	experienced severe religious trauma and this poor boy has to go, I don't know the quickest,
193000	199000	basically long story short, he sees himself as a bad child, he sees himself as a part
199000	211000	of the devil and he chooses to lock himself in a chest in his room, all while his poor mother
211000	219000	and father are trying to find them, unfortunately his mother and father split, but these characters
219000	230000	you see on this main menu, Isaac, Magdalene, Cain, Judas, Eve, Samson, sorry Blue Baby,
230000	240000	Samson, Azazel, Lazarus, Eden, The Lost, Lilith, Keeper, Apollyon, The Forgotten, Bethany,
240000	248000	Jacob and Isu, these are all Isaac, my poor little boy Isaac is currently inside a chest
248000	256000	hallucinating due to the fact he is losing oxygen inside the chest. We are going to do
256000	265000	what's called an Eden run, Eden tokens you might notice, what did I purposefully plan
265000	272000	such an escapade on Eden tokens, no that's just how perfect the world is for us reeflings
272000	282000	and snow bears are hanging out too, thanks snow bears, I do appreciate you, so poor little
282000	289000	Isaac, we are going to do what's called an Eden run, Eden starts with two, statistically
289000	295000	two items, although you can start with an active item, a passive item and a trinket,
295000	301000	if you're really lucky, but it's completely random what you get, so we look at Lazarus
301000	308000	in comparison, we see Lazarus has three hearts, two speed and two damage, Eden is randomized
308000	314000	and it can produce quite a unique run, so we're going to try an Eden run, just normal,
314000	321000	I've not played, the last time I played actually was when the girls had just been picked, okay
321000	329000	so we have the pickaxe, our passive is the wafer, do you see that little tiny red circle
329000	334000	under the minimap, look I'm kissing it, see this little circle, thank you June for becoming
334000	342000	a member, I appreciate it, the wafer means that I take half health damage now, so this
342000	349000	is an incredibly lucky run, and my active item is the pickaxe, which can actually let
349000	358000	me get into secret rooms in this game, that circle will literally be, okay, so now I want
358000	362000	you to notice this detail, I'm going to write a review on this game, this is a 10 out of
362000	368000	10 game experience for me, so if we look at our stats on the left side, Isaac's base stats
368000	375000	are 1.0 for speed, that's a little boot with speak marks coming behind it, I always get
375000	385000	fire rate and tier size mixed up, but it's below average, our range isn't awful, but everything
385000	394000	is really not the best stat wise, we have a pretty decent tier rate honestly, not bad,
394000	404000	not bad at all, unfortunately, unfortunately, it could be better, what have we got, so this
404000	412000	is a passive unfortunately which will not give us anything other than money, now there
412000	419000	are shops in this game, oh see this is a perfect example of why our starting item is such a
419000	426000	good lucky pull, we normally would need a bomb in order to access this, so because we
426000	431000	already have a soul heart on our persons, we are going to pick it up because we will take
431000	435000	soul heart damage over red heart damage, I already missed the rock because our tinted
435000	441000	rocks also wasn't paying attention, oh wait, am I going to, no, sorry, sorry, wait what
441000	446000	do you mean I missed our rock, motherfucker, right, there's also a thing called tinted
446000	453000	rocks in this game as well, whoa, right, we've got BFF, that's pretty decent, and the item
453000	457000	room, oh for fuck's sake, right, hold on, hold on, embarrassing, embarrassing, here's
457000	460000	me trying to be like, oh this is how this game works, and of course I missed something
460000	464000	really obvious, oh for dear eye, I was like eh, there's no rock back here, oh that's so
464000	469000	obvious, okay so there's also a thing called tinted rocks, when you destroy them you have
470000	480000	the odds of getting one soul heart are pretty high, now you also can spawn trap doors, and
480000	486000	depending on if they have a ladder or not, it would actually be kind of nice to get BFF
486000	491000	in case we pick up a familiar, the odds of receiving a familiar in the game are pretty
491000	496000	high, so these stone guys aren't real enemies, but I would like you to take a note, look at
496000	501000	our body, and then look at the body of the enemies, okay, okay he may have just walked
501000	508000	into the fire, all the enemies are poor little Isaac, and all the rooms are Isaac in the
508000	512000	chest, look at the shape of this room, now I know you might be saying absolute schizophrenic
512000	517000	gameplay, what do you mean the room, the room's rectangular, it's one of the most common
517000	522000	shapes, and that doesn't make sense because look at the room you're going up ahead, look,
522000	527000	they had to do some stuff, okay just relax, we're getting the pickaxe out, it's very safe
