start	end	text
0	4200	to pick your stream but when you hit go live you have to wait okay we're gonna
4200	15920	let it break first hi everyone welcome to the stream it's me and there are many
15920	20320	Scottish people in the world I'm her favorite thank you very much good
20320	23960	morning good evening good afternoon you know how the drill you know the drill
23960	27340	boys you know the drill I wrote refling's behave refling's and snippet
28020	34260	we exchange little hands today a tentacle and a hand has been exchanged for
34260	41300	mercy and strong are together so hello snippets and hello refling's behave
41300	47940	today we're gonna play untitled goose game yeah and we are obviously expo we're
47940	51780	MLG Xbox players so we're playing on controller have no idea if that makes a
51780	59100	difference to this game but that's not gonna stop us at all like at all so we
59100	67500	can jump right into it I believe thank you barrel for the fire I'm a barrel
67500	72540	thank you for the fight for mayor say that's going in a moving out fund thank
72540	78220	you for funding we were trolling I was like you do not have to meet whenever
78220	81140	you want to say like thank you to someone who like tips you on stream or
81140	84260	anything like that you don't have to mute if anything I'll join in and say
84260	87860	thanks cuz it's funny you like that I find it entertaining when streamers are
87860	99860	like thank you for the 10 10 gifted members thank you you did it
99860	107060	hmm are we jumping in are you ready yeah I'm ready I'm ready I'm ready let's
107220	115340	make sure which one's me which one's you I am I'm the orange one you're the red
115340	122740	one wait why is that automatically is that lag wait we're moving together I'm
122740	129500	not doing that we are I'm not doing that wait but I am doing 360s on the spot oh
129500	137460	no it's there any tea for the for the 20 super chat on moving out fun say less
137460	148220	it's there in a way that's because of is this because we're so mercy and beautiful
148220	155140	did they know you're Canadian yeah yeah merci's Canadian internet connecting to
155900	161940	it let's trigger let's trigger oh my god this game is lagging out this game is
161940	181300	lagging out I will take this way I see you're controlling me right now when
181300	186740	you do that oh my gosh bend down to pick things up off the ground hold bend
186740	191500	down touch your toes and just like to the rhythm of the death what you got a
191500	196100	can oh you're picking up litter can I jump oh my god hold a it makes you zoom
196100	206460	meow meow meow oh my god the lag is so bad but that's not gonna stop me yeah we
206460	217500	are monsters oh my god I can't get it oh my god oh we just tried to be so
217500	221580	smart I don't I don't think the farmers gonna appreciate that to be honest I'm
221580	233060	glad and press rate trigger to spread oh my god we're like love baby oh my god
233060	237780	do you hear the music too I do not hear the music what the heck you don't have
237780	243300	in-game sound you know you're okay why don't I have in-game sound oh no is it
243300	254820	because I'm no no give me a second okay I think you should hear ambience I can
254820	260980	stream it to you via discord so you have in-game sound I think my volume for the
261100	268300	game is just low because I can hear it but it's very shiny someone's asking a
268300	274500	goose for goose girl for Gen 2 absolutely not no I will reject your
274500	280740	suggestions for Gen 2 live don't think I won't I will why are everything why
280740	286780	don't I have sounds I don't I can share on this the old if you want and then it
286780	291900	should come through you think I'll be like behind the possibly I mean we can
291900	296940	try and see what happens this is a terrible idea if I share screen no goose
296940	302060	girl no slime girl wow they're so sad I don't everyone one slime girl am I
302060	308740	missing son also share application audio yes go live right check out discord and
308740	318820	see if you can hear okay okay okay oh on most is actually a lot easier I can't
318820	327900	believe it I won't use my I'm an egg you hear that snippets do you hear me
328300	337180	why can't I hear it is it my is it me am I the problem oh no they don't hold on
337180	342820	hold on I got this I got this baby oh my god it's a Scottish game can't believe
342820	349140	we're in Scotland there's tartan down in the bottom corner okay I think Mercy's
349140	352780	controllers registering as both players if you're using remote play that's
352780	357820	hilarious because I can still control me but Mercy can control both of us and
357900	364300	how in lore friendly is that yes there so you can control me at any time oh wait no
364300	368140	I'm the siren wait a minute yeah apparently your controller input is
368140	371260	changing into mate I'm the one that's supposed to be hypnotizing you here
371260	378780	what the heck the lore the lore I've been main broken by Merchie why it's not
378780	384700	what is it shade on dish called stream paused swap your application to continue
384780	386780	strutman
390540	400140	oh hold on I need to go into my steam settings shit oh no it's me mercy it's
400140	401740	me
401740	408540	it's knee flings knee flings the sneaklings must wait as we are we are
408540	412780	we are ready for trouble prepare for trouble someone says prepare everyone says prepare
412780	415820	for trouble and make it double make it double strongy
416860	422780	mercy thank you iron reaper for the $25 how did you see that wait did he give me 25 as well
423740	428540	yeah oh my god them move up move up to protect the world from devastation
434700	439820	right hold on it's me it's me it's me I'm fucking up the game
443740	451420	it's okay enable advanced host options a play audio okay and if I but how about now
452620	454460	you hear something now we're done
456780	463500	going through my freaking I'm worried it's going through my my um your speaker my that's it
464460	468460	my my controller your controller can talk
468460	472140	look
472140	474700	sorry I think my system yeah that's right
474700	479660	you for the super chat 20 super chat moving out fun tell but I move these funds over to
479660	489580	my darling kohai thank you I think oh my gosh I'm so I'm so what's what's the word they
489580	496300	used to say in the day pepega oh pepega yes pepega I don't know where you're going
496300	500700	where that right okay I can close that because that does look right okay it says I am streaming
500700	506300	the remote play audio to you now whether or not that's true or not maybe a fib or you know that
509900	518780	I'm a little goosling short and stout thank you peenish for the I don't know what this currency is
519740	532220	what is it id r id r id r Dominican Republic wait what I don't know thank you so much don't
532220	541820	forget us when you move to Quebec at tabernac oh tabernac cubicos cubicos cubic mersey and emi
541820	547820	were making fun of me for the way I say cubic and I'm like I say cubic cubic so we now I see
547820	554060	how it's spelled I say cubic cubic for some reason the volume's just not working on my end
555340	564460	kind of weird hmm and the and the stream I mean I was going to say we can play power
564460	569980	washer but mersey gets first person motion sick so we actually can't quite play power
569980	578060	washer the way others might um Danny reset reset are we lobby
579660	585100	your idea I have streamed the game audio to you so I don't know why your discord discord can't
585100	594300	hear the audio as well my discord can't hear the audio and oh but I the monitor sound is as high as
594300	601900	it can and if it if I make it any higher you're going to you're going to sound a lot I'm going to be
601900	610300	a bit too much now don't get me wrong I do appreciate stop streaming turn on please turn on
611500	614940	I said start on webcam I don't think mersey wants to see that first thing in the morning I'm gonna be
615820	619580	um
623420	629740	oh I just accidentally left a voice call there you totally didn't notice that good good yeah
629740	635900	that's that's actually good because I fucked up right untitled good scheme also share application
635900	642140	audio yes at mersey right go live and then go on discord and open up that stream that I've just
642140	647100	given you if that does not give you the audio I am stumped for what we're supposed to do okay
653500	658460	I can hear it can senpai's hear that it might be a little low
659100	668860	I heard it it's such a quiet honk oh you can hear my weak one my weak one
670700	676700	okay hold on let me wait if it's too quiet I wonder why it's too quiet
679660	685100	how about that how about that it's still quiet but it's here like I said it's a little low
688780	696220	the tiniest honk oh no I can't move my volume any any higher either that's the problem
696220	704060	she's gonna um maybe if I can move the monitor sound up I mean I can do it one more time one more time
704940	706940	I
715260	721820	do you hear that bell I hear no the tolling bell is coming for us jeez that's pretty good
723820	730620	okay yeah input for some reason mersey can also control me in the game I don't I don't know
730620	741180	how you've managed that but we have literally I can retake control of myself if I want but
741180	748860	every time you move I'm fighting against you in your pearl yandere like holy crap you've literally
748860	754780	main broken me to do thy bidding and I'm not supposed to be the hypnosis here how are we supposed
754780	761820	to play under these conditions quick let's make a heart with our with our beaks I don't know uh I
761820	773180	can face you like this oh we're kidding do you kid I forgot how to honk again x wait
777900	783660	uh right we're completely forgotten wait there was a picnic down here it looked like uh Scotland
784380	790220	like it's Scotland oh whoa oh wait our wings are up so thanks we're going to war but we're not
791660	800780	oh oh my god let's give a huggy little hug huggy I can't really hug you because every time you
800780	807740	move towards me it pushes me away from you because of the control our powers of attraction are too
807740	812140	with our wings out I we literally wait you control my wings as well
813420	819500	my I copy everything how have we done this I have no idea I don't think I've ever seen this
820860	828380	is this supposed to happen I'm playing with an extra challenge oh this I have no idea what
828380	834860	this game is about by the way so this will be interesting B is to open the stuff so can we open
835020	843100	this oh my god Ned thank you for the gift of 10 holy crap thank you oh mercy is discovering I
843100	848300	appreciate that Ned but you're supposed to give it to mercy because she's moving up oh my god we're
848300	857020	doing gardening aw gardening hold left bumper is a mouth oh that's wrong oh oh there's a man across
857020	864620	the wall do you see him yeah yeah yeah can I can I jump are you gonna swing you put the water on
865660	871980	yeah wait why is it coming out to us oh we're getting jumped we're getting jumped
873260	878860	right can we open up this fence no it's locked from the other side wait can geese no fly
879020	887660	what's going on here wow oh I keep you push me through into the secret
889260	893180	you push me into the H secret I don't know how you did that but that's so good
893180	899900	I'm literally I'm no good control this is amazing
902620	906380	I'm gonna jump them I'm jumping them
908780	915020	why no no no no leave leave mercy alone she's discovering a box is she not allowed to play
915020	922700	about a box what took his keys oh no where did I go with the keys I made a great mistake I'm cornered
922700	930620	I'm cornered hey I did my game okay okay but where are we supposed to put the keys
930620	935980	I don't know oh sorry I guess we just run with the keys I mean wait how do we know what that
935980	940060	checklist is I saw stuff oh my god I'm fighting against mercy so much right now trying to control
940060	949580	myself I can't oh there's I can go uh B B B oh yeah I'm getting jumped he's jumping me he's jumping
949580	956300	us oh my god we got it you got it oh I'm going I'm going I don't know I'm gonna go back to the fence
956300	966460	oh the pumpkin oh the cabbage right is this oh get to the fence oh okay success how or what do we do
966460	975180	with it is my question I'm good oh we cause problems on purpose oh okay now we take it uh
975900	984700	where oh make the groundskeeper wear his sun hat okay what does that say rake in the lake
985340	992620	have a alright okay we can do that rake in a lake yeah okay we can do that right uh
993180	1000300	is there a rake in the garden yeah there is oh wait maybe the key is for the fence that was over here
1000860	1007340	don't you dare use that to trap me you fool he wouldn't do that is he a mean I don't think he's
1007340	1011260	me oh the gate's already open where the heck is a rake oh there's the rake you've got it
1013100	1023500	how did I pick up again B A B B if we're going for a pick yeah B like press on all left trigger B
1023820	1035260	I'm stealing the goods I got the I got the goods for the picnic don't worry get the foods on me
1036380	1043420	no no no leave mercy oh she's almost gone give me the give me the cooler give me the
1044060	1050460	no leave mercy I'm totally fighting against the current okay I might just have to
1050780	1058860	it's still I leave my mercy alone wait no no there's the I don't think you can get it I
1058860	1064620	think you have to push it through the oh I'm now just following you out this I'm stuck
1069020	1070620	okay the game
1072860	1076860	is there there's a there's a there's a gate here that you can pull it from
1076860	1082780	I don't think we can do it through the fence we must be wise we must be oh so smart I'm stuck in
1082780	1089660	there are you actually stuck oh thank you he's not tall for the 50 super didn't catch the bit
1089660	1093980	about moving out at the start I was AFK but this should be good for moving out money right thank
1093980	1102380	you so much all right give me this oh give me the rake wait is it actually stuck wait wait can
1102380	1107100	he pick it up can you pick up the rake probably pick it up can you pick up okay thank goodness whoa
1107820	1112860	whoa he pushed you through right okay that's good there's a gate down here I assume we grabbed
1112860	1117900	the I like how he's just watching us cause me he made him but he's like happy to just let us go by
1119580	1124300	give me what's with these kids can we open that open the door yeah I was gonna say can you
1124300	1128860	reach up and open that or is that no open it for us open for us
1131020	1138060	oops this there's a hammer on top of the wall that seems dangerous actually what's this
1138060	1144780	wait maybe we can go on this chair yeah let me move this chair over if I if I fight the tide
1145340	1151980	I'm fighting the I'm so strong no the chair doesn't move ah okay okay maybe you can go on the chair
1152940	1156380	I don't think we have the ability to jump we can open our wings but
1157740	1163660	the best I can do I can open my wings you get through the gate by doing the tasks on the list
1163660	1171260	oh my god okay so we're region locked right now okay okay we got it see you know this is so
1172060	1177980	chaotic I cannot believe I somehow managed to get your controller inputs on me I don't
1178300	1184140	okay we pull it out here got it got it you gotta get we gotta get where is it again I don't see
1184140	1190140	him right we're grabbing it let's go let's get the heck out here okay okay come push it come this way
1190140	1196460	this way all right you you can pull me you can like pull us both yeah yeah remember you can pull me
1196460	1202220	oh no oh no he's like right there no no no no it's not what it looks like it's not what it looks
1202220	1209340	like give me that rake it's not it's not what it looks like sir stop stop but I demand by the
1209340	1213340	in the name of the okay get the rake get the rake get the rake get the rake you can do it
1214060	1220860	left trigger b left trigger b push me down push me down mercy no give me that
1222460	1230060	leave it no don't you close that gate we need to open give me that give me it oh we've locked him
1230140	1235660	out his own garden right drop the gate you don't need it give me this you don't need it and you
1235660	1243740	don't have keys now what like let go I'm gonna let me go yeah yeah yeah yes right oh yes yes yes
1243740	1253580	you want it so badly don't you yes you do yes you don't want it so badly no no give me the rake
1254460	1262300	take that fertilizer mercy pick up pick up the fertilizer right yeah yeah oh sugar i'm stuck on his
1267500	1274220	why are we so coordinated badly with this okay we made progress we made progress i'll take it
1274780	1280060	okay let me pick up this fairy oh my god it's because of the input wait if i disconnect if i
1280060	1287100	disconnect my controller is it gonna oh i don't want to reset i uh i don't want to accidentally
1287100	1293180	resell us no don't go i wonder what happens oh i want to drop the sandwich how do i drop it
1293180	1299100	yeah yeah you do a picnic right yes right drop the rake yes you care so much about this that's
1299100	1306700	good i don't care about it leave me alone okay if you get the rake i'll pick up the fertilizer if i
1306780	1312140	can fight against it wait let me put the fertilizer in my mouth okay i'm holding the
1312140	1316700	fertilizer he should come to me now you pick up the rake you pick up the rake you can do it
1316700	1322060	you can do it yeah shove in the lake get that rake in the lake get that rake in the lake
1323900	1332780	he takes it off me so quickly uh okay we're doing it we're doing it we're doing it oh hello
1332780	1347260	hello yes yes yes yes yes yes easy easy if you make the other player player one that
1347260	1353740	should fix it um i actually it took us quite a miracle to get into this game i'm not gonna lie
1354780	1361020	uh i might just let mercy control me and open my wings we i will take where the wind glides me
1361020	1371580	the wind is gliding me to this gate i hopefully i'll be fixed um in the next round is it rounds
1371580	1377820	i don't even know how many maps there are okay let's see if i can help here uh
1379020	1386780	our foods how much do we need for the game to oh i missed it's okay but kick it in
1387500	1397420	that wasn't it bring to the picnic a pumpkin a carrot jam tomato radio is that it is in the radio
1397420	1402380	oh there i was gonna say i was like nah that doesn't look like a tomato to me right do we
1402380	1408140	need to go through the fence we do we'll probably have to go through the the tiny little thing again
1408140	1413340	there's only one map this game was so expensive and you're telling me there was one map
1413340	1423020	here we love causing problems on purpose i'm the better hunker i said it okay uh these are
1423020	1429980	the cabbages right was that a pumpkin i thought it was a pumpkin wow those are do we need pumpkins
1429980	1440220	or cabbages i'm gonna grab this one right here okay i got it no i don't want to let the farmer
1440220	1450940	back in see if he can go through the thing so the gate himself oh he just opened the gate
1451900	1456540	okay right can i not bring this wait can we not be off screen at the same time
1458700	1464460	oh wow we can oh i didn't realize i'm pushing you off the screen and you're you're allowed to
1465420	1470460	okay yes we need pumpkin i don't know if there's like jam in the garden somewhere any
1471660	1477820	probably but you got the pumpkin yes we can mark pumpkin also what is this a monument i'm at
1477820	1482700	oh it is a monument it's like a little shrine oh wow okay the gate was open i did not have to go
1482700	1487260	all of that way but do you want to pick up a carrot while you're there we needed a cow it for the
1487740	1494940	the pick and pellet yeah are we cow it i want to kill it left trigger me hello yeah that's it
1494940	1501740	left trigger me hey it's probably i'm not gonna lie we're probably ice skating as well on top
1501740	1509020	because of the lag wait he took the carrot off of you man don't be a sticker you're in the garden
1509020	1516700	with me oh literally there's always enough for both the uh am i gonna have to distract him i think
1517580	1518780	hold on let me get this on the
1527420	1532700	give us the carrot give a carrot give it back it's not yours
1534220	1542300	i got it i got it i'm stuck in the lawnmower wait oh no don't pick it up oh my god no i'm
1542300	1552540	getting manually over read by the frickin input oh i'm stuck i'm stuck i'm stuck no no give it back
1552540	1559740	give it back you smell give it back that's mine look if it goes on the picnic thing then it's
1559740	1569900	mine stinky faint okay moment literally oh i see the jam gosh can we even beach that
1573900	1575580	i will flood your garden now
1578860	1583740	oh no he's going for the pumpkin leave the pumpkin out of this you have goose in your garden
1583740	1588700	oh no no no leave her alone right well if you're gonna do that at least give me the
1590300	1599260	carrot oh no i have terrible news i think we're actually gonna have to reset i don't
1599260	1608140	think i can play with these controls okay okay i'm willing to reset yes okay we can probably
1608140	1612940	speedrun this to be honest i have no idea hold on i'm gonna hide my game just in case i show
1612940	1620940	anything that i shouldn't i i need to hide my game input uh if i quit and then invite you on
1620940	1628460	local co-op that should work right surely surely wait game two just in case my game capture
1629420	1636620	now senpai's can't can't you can't see let's do funny things oh you've done mouse and keyboard
