start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	32440	pEC è
32440	33380	pEC è
33380	34640	pEC è
34640	37240	sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sō sros
41160	43140	sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sò sonde
43140	58800	sò sò sò sò sò sò sò sò sò s unve
58800	88800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
88800	118800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
118800	148800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
148800	178800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
178800	208800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
208800	238800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
238800	268800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
268800	298800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
298800	328800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
328800	358800	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
359480	364440	හවවවවවවවවව 5 ව CDU 10 වවවවවවවවවවවවiinු
364480	369040	ව඄ව඀වවඒවව�告 වවවවවවවවවවවවවවවව� Dublin
369060	388200	වවවවемон඀සාවවවවවareth doom Du
388200	418200	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
418200	422780	වවවවවවසිඊ
422780	427040	වවවව඀olon�වසිuely�
427120	431720	වගට෉ වවශහවශාවවවතක්
437220	440660	හමිගටි  ණෙහි෋Müzik
440660	443820	වූසල ඔමිගාහසක්
443820	447760	වහවිවවසික්
447760	450920	මොහමේෝ මකත්පා බුබෛෝ පිරදිා ක varieties
451100	456180	ඔබීටය දු, ඉbai�න්විය මත.
456180	459000	එය ග෰නේ Angry
459060	462700	කළ්න Singapore
462840	467900	ඉපියය මොනක්න නඊවන ඞෝගත්වය
468080	472460	ක මිබෙඍ එත්ය ආත්නකති දො යාධագ මිහ,
