start	end	text
0	9840	it's loading okay I'm up Bob's in the Ghana whichever will it be I'll make you
9840	13400	cover a new PewDiePie song don't think I won't I like that PewDiePie
13400	20480	no it's so good though oh crap I can hear myself oops I didn't close the
20480	26520	mainstream okay there we go I hear no yeah let me just make sure my life or
26520	34580	I'm on live chat mommy's here yeah mommy's got a friend Azura Delay that
34580	44040	is Azura she she's got blue hair which is not green these accusations that Azura
44040	51200	has blue hair are unfounded and I will not take such slander I've got green
51800	61740	okay Azura life okay right now to give you guys the you think you think
61740	65680	hold on a minute I'm about to open up Azura stream give me a second just to
65680	71040	make sure she's up we had a few technical difficulties as any stream ever
71040	80960	goes no you're not I'm not what are you streaming to
80960	87720	right now because you're not live did you select stream maybe maybe maybe it's
87720	94080	taking time maybe it's taking time it's taking time oh you may have latency on
94080	100480	by accident hmm I'm on Azura stream but it doesn't say she's there but she's
100480	106680	live streaming though it says it's set for an hour yes every support I asked
106680	110400	Azura very kindly if she could give me one hour earlier and she said yes and
110400	114760	then we both realized 15 minutes before we were gonna go live that we don't
114760	120360	actually have the game downloaded so thank you for the game being tiny and we
120360	128800	could both download it in time and why is your stream not up oh my god sorry look
128800	132120	it's not a collab if there's nayscuff let's be honest there's not a collab if
132120	138920	there's nayscuff so stream about to stop well we're body opens oh my god leaving a
138920	143280	like on your stream thank you thank you what who or what are you sure you've
143280	152240	hit go live it says end broadcast and stop streaming bottom right doesn't say
152240	165080	go live yeah and you selected the we were here collab that's right God if
165080	172360	you're streaming at some random location the broadcast failed the broadcast
172360	176120	failed okay that makes more sense would you like to reattempt the broadcast by
176120	186480	selecting we were here and try again but there's a please try again and again
186480	202040	and 10 to 30 seconds that's so specific this Ronnie's here to add to witness my
202040	208440	curse I told you guys I told you right so we've been like chat away for like an
208440	215760	hour and stuff and we're just talking about her no she's just sent me a
215760	219600	screenshot says transition in the broad the broadcast is failed give it 30
219600	225040	seconds if this error persists open the broadcast in YouTube studio and try
225040	236840	manually which one of you will play ADC and who will support if you don't get it
236840	242720	ask is there she can help you whoa which is that you mean oh for goodness sake oh
242720	251400	for goodness sake but I'm looking at our donors on rewards and it's like oh let's
251400	257280	do smash or pass leak I'm like I see a leak one more time but as long as you
257280	261120	smash on jinx and I'll allow it because jinx is my most man I'm really going to
261520	276360	hello okay do you want to try reselect in the store I'm going to turn off this so
276360	286240	that it closes it and then I'm a restart it yes so that I can manually restart it
286240	295480	yeah come on let's just enjoy the ambience reeflings of this I have a
295480	300640	bit of an update about ASMR scripts you're not ready for it I wrote a script
300640	305000	for AC I'm about to write a script for Azura and then I'm about to write one
305000	309840	for Mercy and everyone's getting forced to do ASMR I'm Ben I'm literally
309840	313360	twisting their arms behind their back I'm like you better record this ASMR I'm
313400	319960	gonna fart on your eyelashes I didn't say that part out load to Azura but
319960	326440	internally she knows the threat is there not my eyelashes
326440	338760	okay now I can just press I'll just I'll just do it manually
339160	344360	I hear there it is I'm so ready
348440	355720	are you live for real for real yeah yeah yeah yeah oh so really all so OBS was
355720	362400	just having a hissy fit then hold on yeah I've got me honey tea reeflings and
362560	364400	bleeding hearts
364400	377120	I can't believe it isn't the real Azura Dulay the fertility goddess of real or I can't believe it
377120	381760	that's a goddess of fertility but if you want to be fertility goddess I'll
382480	392840	it all of the above you're up oh thank god whoa you're freaking honkers are
392840	399640	massive on your screen oh my god they just about poked my yeah damn which had
399640	405880	some 3d glasses on the hook okay right you're up I'm happy that's all that
406800	413200	okay are you ready to go for it now I will preface this by saying I strongy
413200	418440	cuttles have played this game once before and she is really has not played
418440	423160	this game before and has no idea what to expect she literally asked me before we
423160	428520	started stream is this a horror game I'm like no I wouldn't make you play a
428520	441040	horror game I wouldn't do that right a slip of tea okay I'm gonna would you like
441040	451640	to be the explorer or the librarian you don't know I don't know yeah I knew it
451640	457000	I knew that sounds like she has no idea what to pick right I'm gonna make you the
457000	465600	explorer to get you nice and brave okay so don't be scared don't be scared
465600	473000	ready now we're gonna mute we're gonna mute in discord oh you need to like you
473000	477480	just need a little tick box next to play from start can you next explorer can
477480	483280	you tick that box on end game yeah if you'd like to tick the box it means you're
483280	489600	gonna ready up I can't oh no I click ready yeah yeah but I'm right ready yeah
489600	495640	wait we're gonna meet in discord because we have to use in game talking so I'm
495640	498720	gonna meet in discord it was lovely talking to you as they're seeing game
498720	507560	don't be scared I promise you're fine she's so nervous she has no idea it's
507560	510880	funny cuz I can still see what she's doing over there like cuz we're streaming
510880	514960	each other's model I can see her talking but I have no idea what she's up to
514960	524120	with shenanigans jump scare I can jump scare in this game unless you can't like
524120	528520	I don't know maybe the walkie-talkie and before she doesn't pick up the walkie
528520	533000	talkie maybe I should have told her to do that
533000	538600	look Azura we should go and follow the footsteps into this forbidden castle for
538600	549640	real for real it's a player it's her a bubba scum jump scare she has her her
549640	553840	badonk I don't sir badonkin sometimes I think Maynard big and then I'm just like
553840	558360	oh yeah I remember when I developed is there remember the time we developed
558360	563680	I had to work through the stream earlier so I'm glad the collab is today oh god
