start	end	text
0	1040	Oh!
4540	10540	I need to wait for it to go up, but I need to test if when I click live it instantly, like you can hear me?
10540	13700	Or if the thing is having a natural...
15280	16340	Oh...
18200	20200	I'm smelling away right now.
21460	22500	Good morning!
22500	24340	Good evening!
24340	28500	Good afternoon, you little fucks. That wouldn't let me win a Mario Kart.
30900	33900	Good morning, ladies and gentlemen!
33900	35900	How are ya?
35900	36900	How are ya?
38400	39100	How are you?
41900	42600	Hi, mommie.
42600	43200	Mommie?
43200	43700	Huh?
43700	44300	Mommie?
44300	44900	Hi, strongy.
44900	45300	Cha.
45300	45700	Mommie?
45700	46300	Hi, mommie.
46300	46900	Hello.
46900	47500	Hi, strongy.
47500	48800	I missed you, strongy.
48800	50100	Missed you too, Riefling.
50100	50500	Hey, wait.
50500	51300	Time to cry.
51300	52300	I probably hope not.
52300	53200	Hi, mommie.
53200	54100	Hi, Riefling.
54100	54700	I'm fine.
54700	55400	How are you doing?
55400	55800	I'm good.
55800	56500	Love, Riefling.
56500	57200	I hope you're doing good.
57200	58200	I'm glad you're doing fine.
58200	58700	Hi, mommie.
58700	59300	Hi, Riefling.
60300	63800	Well, I pleaded I was drunk at a friend's house and not there.
64800	65300	Hi, mommie.
65300	65800	Hi, Riefling.
65800	66800	Hey, strongy.
66800	67800	Hi, Riefling.
67800	68300	Hi, mommie.
68300	68800	Hi, Riefling.
68800	69300	Hello, mommie.
69300	70300	Hello, Riefling.
70300	71800	Hello, Riefling.
71800	72300	Hello, mommie.
72300	73300	Hi, Riefling.
73300	75800	Yeah, this is over for you.
76800	77300	Hi, girls.
77300	79800	Hi, Riefling.
79800	81800	Hey, mommie and Riefling.
81800	83300	Hi, Riefling.
83300	83800	Hi, mommie.
83800	84300	Hi, Riefling.
84300	84800	Strongy.
84800	85800	Riefling.
85800	87800	I missed you and I haven't been able to watch you live.
87800	88800	It's been so depressing.
88800	90300	Aw, don't worry about it.
90300	91300	We're your busy bee.
92300	93300	Hello, strongy.
93300	94300	Hi, Riefling.
94300	95300	Hello, mommie.
95300	95800	Hi, mommie.
95800	96800	Hi, Riefling.
96800	97300	Hi.
97300	98300	Hi.
98300	99300	Strongy, love.
99300	100800	Riefling love.
100800	102300	Thanks for the seratonin.
102300	103300	You're welcome for the seratonin.
103300	104300	Hello, mommie.
104300	105300	Hello, Riefling.
105300	105800	Hello.
105800	106300	Hello.
106300	107300	Are you squidding me right now?
107300	108300	I've got my daily counter.
108300	109300	I am burning rage.
109300	111300	Gonna try writing this in your accent.
111300	116300	Hopefully, Brian, I'm nor being funny when I say I love your voice so much.
116300	122800	Whether ageing, sleepily mumbling, yapping, or sensually whispering are just wanna hear
122800	125800	it all the time, nay exceptions.
125800	129800	Wait, that Brian actually kinda spoke a bit of Scots there.
129800	134800	Now, oh no, no men there, Brian.
134800	137800	You got a bit twang to your accent there.
137800	138800	Thank you, Brian.
138800	139800	Kindly.
139800	141800	Thank you, tiny spiny for the tip.
141800	142800	Hi, strongy.
142800	143800	Hi, Riefling.
143800	145800	Thanks for babysitting me while she's being gone.
145800	146800	Hi, harem.
146800	147800	Hi, harem.
147800	148800	I'm in a car.
148800	149800	Hi, y'all.
149800	150800	Hi, harem.
150800	151800	Shebe's coming back soon.
151800	152800	Don't worry.
152800	155800	And then she's gonna milk you.
155800	158800	Did you get some sleep, mommie?
158800	161800	I got drumroll, please.
161800	169800	Seven hours, and I had a dream, and I've already forgotten the dream, but I do have an update.
169800	176800	I did the dad, I did my dad name's VTubers, and you're not ready, okay?
176800	179800	You're not ready for the stuff my dad came out with.
179800	182800	Oh my god, I did not expect it.
182800	185800	Is YouTube messing with your title or is it German?
185800	189800	No, it is a German meme where a guy goes, is it over for me?
189800	194800	But because of the way it looks in German, it's quite readable in English, so the sentence
194800	198800	is over for me, because apparently I'm gonna cry a lot in this game, so yeah.
199800	202800	Not the fully hours, but something, yes.
202800	205800	I did it with my dad.
205800	209800	Do you want to know what my dad's first comment about Azura's model was?
209800	212800	Because obviously I got him to react to my gen mates.
212800	218800	Just as a bit of a spoiler, my dad called Azura two fried eggs.
218800	227800	Now, we all know what he's referring to, because she has gold shielded plates on her front, right?
228800	231800	So he went, he went, her name's two fried eggs.
231800	240800	I was like, I did not fucking conceptualize Fondle of fucking Bism for two fried eggs.
240800	245800	I think I can't, off the top of my head, he called my model.
245800	252800	He obviously didn't recognize me, even though I've shown my, like I'm sure we've sat and watched me stream together.
252800	255800	And like we watched the Microsoft stuff and all that.
255800	262800	And he called me like a pink, pink knickers knee pants, and I was like, alright.
262800	264800	And then, and I was like, alright.
264800	268800	And she's also named after her dad's gamer tag anyway, Shonium.
268800	271800	And I'm like, yeah, I'll take it, Shonium, Shonium, yep.
272800	275800	I think, and then Mercy was the second one.
275800	280800	And he was like, he was like, Mercy, Mercy, Mercy.
280800	283800	Well, he never said Mercy, because he doesn't know anyone's name.
284800	290800	And he was like, oh my God, she's not got any knickers as well.
290800	291800	What's going on here?
291800	296800	And I was like, uh, I was like, no one's got a scar, no one's got knickers.
296800	297800	But you know what?
297800	299800	I was surprised about it.
299800	301800	He called Amy cute.
301800	305800	I was like, are you, are you fucking, are you nailed her design?
305800	308800	She's the most adored, knee knickers, literally knee knickers McGee.
309800	312800	And he went, oh, Amy's really cute.
312800	314800	And I went, damn straight, Amy's cute.
314800	317800	So, dad's a cunny Vtuber confirmed.
319800	322800	That's my little sister, yeah.
324800	325800	So cute.
325800	327800	And she's funny too.
