start	end	text
0	5000	This? Okay.
5000	8000	Wow.
8000	15000	Me prancing and going sick.
15000	20000	Where are my wheels?
20000	24000	That was a stretch.
24000	28000	That was like a random dinosaur noise I wanted to make.
28000	32000	Hi. Good morning, good evening, good afternoon.
32000	36000	Turns out I can actually be a lot louder than I first anticipated.
36000	41000	My dad had no idea I streamed.
41000	45000	So I finished the stream and I went back down.
45000	47000	And I got off again.
47000	50000	And obviously he was off at that point.
50000	54000	And I was like, oh yeah, no, I enjoyed my stream.
54000	56000	Sadly I was motion sick.
56000	59000	And he was like, huh?
59000	60000	He streamed.
60000	61000	And I'm like, yeah, you didn't hear me.
61000	63000	I was like having a carry on and stuff.
63000	65000	But apparently he never heard nothing.
65000	70000	So, well, I guess I can be a hell of a lot louder.
70000	74000	And I will because yesterday I was like, I was ill as anything though.
74000	75000	Thank you for understanding.
75000	80000	I was so freaking ill.
80000	83000	Yes, we're going to play this little silly goofy thing.
83000	85000	It's called will you press the button?
85000	90000	Basically, apparently it gives you scenarios and either you press it or not.
90000	98000	And then it'll give you statistical percentages of who pressed it and who didn't.
98000	100000	Is he a heavy sleeper?
100000	111000	Yes, I thought because of the flight he basically passed out for ages.
111000	117000	But yeah, we went to the shops and we got food.
117000	122000	He was so mad at me for the food that I had in my fridge or the lack thereof.
122000	124000	He was pissed.
124000	128000	And I showed him the short that I made of Sheebie.
128000	130000	So on my channel there's a short.
130000	135000	And I'm like, if I had a willy, I know that Sheebie's design is a 10 out of 10.
135000	137000	And I showed it to him.
137000	143000	And he was like, oh, I didn't want to hear you talking about a willy.
143000	148000	And I was like, damn, Papa Cuttle said no to food.
148000	151000	Which is absolutely mean and both funny.
151000	153000	But I showed him Amy's rats.
153000	155000	I was like, all right, this is Amy.
155000	158000	She has rats and they're adorable.
158000	160000	And he found them quite funny.
160000	163000	Esteban is his favorite rat for yanking all this stuff.
163000	166000	Because there's a one point like Amy's doing something.
166000	168000	And I think it's the burger one.
168000	172000	And he's like, OK, we have a burger here and then Esteban yanks it.
172000	175000	And she's like, we have half a burger.
180000	182000	Please tell your dad to try and force you to enjoy.
182000	184000	Oh, but he's cooking me steak.
184000	189000	We went to the shops and he's like, right, you're eating better.
189000	190000	What do you need?
190000	192000	And I was like, well, I kind of need a steak, I guess.
193000	195000	And we've got chicken to marinate overnight.
195000	197000	I've never marinated a chicken before.
197000	199000	That sounds like a marinate chicken.
199000	201000	Like, no, I've not got time to marinate chicken
201000	203000	and put it in a Ziploc bag.
203000	206000	I had to buy Ziploc bags for the first time.
206000	208000	I was like, what do I even need these for?
210000	212000	The less he knows the better.
212000	214000	Oh, no, he finds it hilarious what I do.
214000	216000	Oh, my hell, yeah.
217000	218000	Marinate.
218000	220000	It's good to see you having a good time with your dad.
220000	221000	Yeah.
221000	225000	I was telling him about how you guys call him father-in-law.
225000	232000	And he was like, oh, I don't know if he's going to write a letter for me to say on stream.
232000	235000	I'll see if he wants to do it.
235000	237000	He mentioned leaving you as a message.
237000	239000	And I was like, do you mean like a physical one?
239000	240000	Or like, what do you mean?
240000	242000	Like, I need to take down the transcript.
244000	246000	But he was like, no, no, I'll write.
246000	248000	Oh, he approves of you guys.
248000	250000	Oh, he approves of you all right.
252000	257000	I was basically like, oh, so they're called Reflings.
259000	262000	Because he still says Radish Boys, which is an old name.
262000	265000	But yes, he's definitely three weeks of real food.
265000	266000	Your body isn't going to know it.
266000	269000	Literally, I'm going to have so many bill movements.
269000	271000	But yes, today's just a chill stream.
271000	273000	I'm just meming away.
273000	278000	We're going to enjoy just, just chatting, doing our thing.
278000	280000	There's no major rush for anything.
280000	282000	And I believe Sheebie is on today.
282000	283000	So we'll redirect into her.
283000	284000	It's nice and chill.
284000	287000	And then I'm going back to Charlotte.
289000	291000	He's going to invite us for a mission next week.
291000	294000	Oh, my dad's know the camping tape.
294000	297000	Just say, what is my dad?
299000	300000	Maybe I'll walk.
300000	302000	Maybe a bit of the foodie.
302000	305000	She's doing a member streamer for a regular streamer.
305000	308000	Okay, well, someone else is getting redirected, isn't it?
308000	310000	And it's not Sheebie.
310000	312000	I'm sure there's someone we can find.
312000	315000	I need to buy some more bait and tackle.
317000	319000	What's this gamer tag?
319000	321000	Oh, my God.
323000	327000	Oh, he was talking to me about gaming because I was telling him,
327000	329000	like, oh, I got to play cameo again.
329000	331000	And he was like, you know what?
331000	333000	Cameo was hitting my dad's got stronger accent.
333000	336000	So he's like, oh, by the Pope.
336000	339000	Mama, I vanquished a possum last night for you.
339000	342000	He lived by the saying, you are what you eat.
342000	344000	And he was eating roadkill.
344000	345000	Strong enough.
345000	347000	Are you kidding me right now?
347000	348000	Oh, you eat?
348000	349000	Wait, you killed a possum?
349000	350000	I'm glad to hear he approves,
350000	353000	but I'm going to work so not going to be interacting for now.
353000	355000	Oh, don't worry if you have to work.
355000	356000	Enjoy work.
356000	357000	Make sure you hydrate.
357000	359000	Thank you, Broly Legend for the tit.
359000	361000	Orvon Biscotti.
361000	363000	Thank you for the super chat.
363000	365000	You killed a possum?
365000	367000	You didn't have to perish him.
367000	369000	He was just freaking doing it.
369000	372000	Papa Cuddles is going to get stream sniped, honestly.
372000	373000	Nah.
373000	378000	Are possum bad in America?
378000	380000	You're not supposed to perish the wildlife.
380000	382000	You're supposed to feed it.
382000	386000	I had, I fed the birds yesterday.
386000	387000	Wah.
387000	388000	I kid you not.
388000	392000	There must have been a hundred birds in that garden.
392000	394000	Listen, during work.
394000	397000	Well, I'm not going to be acting up too much, so you probably can.
397000	400000	This is probably the most say so I'm going to be for the next three weeks.
400000	401000	Although I do have bad news.
401000	404000	I don't think I can do that ASMR stream.
404000	406000	That's planned tomorrow.
406000	411000	I don't think I can actually do any ASMR stream for three weeks.
411000	416000	I can literally hear the walls reverberating right now from my dad snoring.
416000	422000	So yeah, I really don't want my dad's fart while he sleeps memorized.
422000	424000	Clipped and shipped.
424000	427000	As hilarious as that would be.
427000	429000	That's rather weird to explain.
429000	432000	Like, oh, dad, by the way.
432000	437000	Someone clipped your fart whilst I was like streaming ASMR.
437000	440000	Yeah, I don't really want that to go down in history.
440000	444000	So I think we're going to pause on ASMR for three weeks.
444000	445000	I know how boring.
445000	448000	Oh, and the complete sabotage.
449000	453000	But obviously I will make it up when my dad goes.
453000	456000	I will keep you up to date when we're going to do it.
456000	457000	It's all good.
457000	460000	But seriously, okay, if you can't do it, it must have been the wind.
460000	468000	Honestly, the freaking walls are vibrating from how intense his snoring is.
468000	470000	Old man fart ASMR.
470000	473000	Honestly, imagine me try to be all cute in that.
473000	477000	And then you just hear like meh in the background like, okay, you're done.
477000	480000	Make sure you hide all your figures well.
480000	483000	Oh, I fucking made sure that was done.
485000	488000	The perfect set up for don't wake up appearance.
488000	489000	My dear sibling ace.
489000	493000	Hey, yo, you thinking like a pin pal here?
495000	499000	Chill three weeks and then endurance marathon after marathon after marathon.
499000	500000	Yeah, pretty much that's the plan.
500000	501000	It all looks good to me.
501000	507000	Well, surely that was a lot of stuff that even the thought of it is like, oh, no.
510000	512000	I'm having me cup of tea.
516000	518000	Wait, you need to try and be cute.
518000	522000	Well, so whenever I do like ASMR, I feel a lot of pressure.
522000	526000	Actually, like when I do it live, I don't know how to explain it.
526000	529000	I don't get like stage fright or anything.
529000	533000	But I feel like with ASMR, I can't really be my goblino self.
533000	537000	It normally does end up me just straight up talking to you by the end of it.
537000	542000	But I feel like I have to try and choose my words carefully to not ruin the ambiance
542000	544000	or what's going on type thing.
544000	545000	I'm not a pin pal.
545000	546000	I'm loyal to my mate.
546000	547000	Okay, I'm sorry.
547000	548000	I'm sorry.
548000	550000	I never doubted you for a second.
553000	554000	What?
554000	557000	ASMR, your Scottish girlfriend brought you to meet her parents
557000	560000	and she's trying to relax you while her dad snores louder than a motorcycle on the net.
560000	562000	No, because it's true.
562000	563000	It's actually true.
563000	566000	Like, I was gonna play Ring Fit next week.
566000	568000	Next week, I'm playing a lot of Nintendo games
568000	571000	because I found my Ildeado.
573000	574000	I'm gonna...
574000	579000	I don't know what kind of choke hold that Sakuya game,
579000	582000	the fruit game on Nintendo has on VTubers,
582000	585000	but I'm joining the ranks and seeing what that game's all about.
585000	587000	I swear to God, if I'm about to spend,
587000	589000	I don't know how much it costs,
589000	593000	if I'm about to spend a ridiculous amount of money on this little Nintendo fruit game
593000	596000	and it's absolutely the most piss-borne thing I've ever played,
596000	600000	all VTubers unanimously are getting bent over my knee and spanked
600000	603000	because you all make that game look so addicting.
603000	606000	Everyone in their nan was playing that game
606000	608000	and you all made it look so addicting.
608000	611000	So I swear, I swear.
612000	615000	If I pay three quid, three whole quid,
615000	618000	someone says in that game's piss,
618000	620000	everyone's getting spanked.
620000	622000	Everyone unanimously, okay?
622000	625000	Johnny's 100% getting addicted to it as much as Belchro.
625000	628000	Is that actually becoming a VTuber right now?
628000	631000	Okay, I'll spank the VTubers,
631000	634000	but I'll ink you guys from behind
634000	637000	if it was you guys that said that it was a good game, okay?
638000	641000	I never got the sucker hype.
641000	643000	I don't even know how to say it.
