start	end	text
0	14360	I don't know how to put me, I don't know if I should put myself in the middle or not.
14360	15360	This link's awful!
15360	18360	I don't know how to do it though, right?
18360	23240	I honestly don't know how to do it but we're doing it, we're doing it, it's fine, we'll
23240	24240	get there.
25240	29240	Wow, hi momay, hi replays!
29240	33240	Good morning, good evening, good afternoon, we thought you forgot us.
33240	37760	No, you know for a fact, I take like two freaking minutes to get my coffee tea, I've got a hot
37760	42240	water bottle with me today, I don't know if you can hear me, give a good spank.
42240	45240	I've got a hot water bottle on my tummy.
45240	46240	Hi!
46240	49740	Are you ready?
49740	54540	I was killed more than five minutes ago, I'm able to carry you again, let's go!
54540	58620	We aren't even going to play Elden Ring until like, I don't know, maybe August when we put
58620	60740	up Elden Ring again.
60740	66740	But good morning, good evening, good afternoon.
66740	76860	Today I'm going to show you the secret to making money, a good old ASMR collab, okay?
76860	83860	So on today's agendination, okay, I am going to write one-on-one collabs with none other
83860	89060	than the members of Vehler and Dolj, and before you're like, when do these drop, relax,
89060	96100	I've not even finished writing the damn thing, okay, relax, I don't want to see, when is
96100	103220	it, when does it drop, one, Amy's away on holiday, right, relax, two, AC's voice is
103220	109740	fucked, three, Mary's trying to move out, fucking, five, wait, no, four, Azura, Azura's
109740	117420	trying to move out, five, she be, she be fucking on Elden Ring, okay, she's doing endurance.
117420	120340	These girls ain't going to drop everything to get this shit done, it doesn't have to
120340	127020	be done right now, relax, I got ASMRs coming out of the wazoo, relax, okay, ooh, oh shit,
127100	136100	okay, I've already decided what mine and Amy's plot is, so I can just write out little,
136100	141100	well, I would actually be big sister, I'm also so big sister, because it's going on
141100	147740	my channel, so it's big sister and, like, the fancy and sign, nah, that's awful, and
147740	154340	little sister tingle you to sleep, that would be mine and Amy's plot, because if you didn't
154340	160620	know, if I had a lighter voice, it'd be fucking over for you lollipop lovers, your fucking
160620	165780	dick would explode, I'm doing a big sister and little sister club with Denpo, fuck,
165780	175380	fuck, right, okay, new plan, new plan, new plan, new plan, right, shit, I can't do a
175380	185340	lighter voice, do I, do I do two little sisters tingle you, fuck, what do I do, what do I
185340	193340	do, of course I fucking accidentally guessed what you're doing with someone else, shit,
193340	199380	who's the big sister, you're both wee, it's okay, it's step sister, so I can make it real
199380	206380	sisters for this one, aye, I knew it, yeah, I knew it, picture, right, that's amazing,
206380	214380	right, okay, we're doing, we're doing real big sister and real little sister, obviously
214380	217980	it makes no fucking sense, because one of us was randomly Scottish on the plot, but
217980	227980	hey ho, totally real for real for real, A.C., A.C. and Snowberries, thank you for joining
227980	233780	A.C. and Snowberries, I'm currently writing down the name of the plots that I'm forcing
233780	238580	the Vila members to create with me at a later date, right now, not right now, not right
238580	243980	now, that's what I'm trying to say, I've still pinned that I'm not live yet, but there's
243980	250460	a short on, Emmys rats, actually it was a really good short, girl friend and step sister,
250460	261820	of course, could we get away with that? I'm tempted, anonymous, hold on a minute, hold
261820	271100	on a minute, I'm kind of tempted, does the notification come up for that? That is kind
271100	278220	of genius, I feel like it's really taking the, I don't know, I'll put in brackets, I think
278220	285380	we're getting really fucking cruel, so I don't know how cheeky I'm feeling, step sister,
285380	292820	tingle, yum, I'll put in brackets that, okay, now for me and A.C., this is just an excuse
292820	298300	for me to get A.C. commissioned in a schoolgirl outfit, I'm sorry, I said what, I said Snowberries,
298300	304700	I don't give a fuck, okay, I wanted to do something like, it's an after school club,
304700	312420	and we're all three of us are forced into making this after school club, so we qualify
312420	317380	for the school not being mad at us for not doing an after school club, and then basically
317380	323580	we're like, well, well, it literally sounds park like, well, what are we doing there? What
323580	332300	are we doing there? And then it's just like, ooh, let's go through your phone, oh my god,
332300	345300	you freak of nature, wait, nature, you nasty boy, what is this? It's ASMR, oh my god, oh
345300	357420	my god, the shock, the horror, the lag deli, I'm basically a retinkler, right, so what's
357420	366860	that called? Is it Tussanderis? Tussanderis, wait, Tussanderis, find out, you like tingles,
366860	374620	so it's like alliteration, Tussanderis, detect, fuck, this has got a T in it, Tussanderis,
374620	382780	detect you, get tingles, it's a marker, wait, what's the T word that begins with detect,
382780	394500	to find out, to sleuth, wait, no, not the delay, I can't imagine AC as a Tussander, Tussanderis,
394500	403700	trace you, trace, trace you, get tingles, it's like, shut the fuck up, this is awful, Tussanderis
403700	410740	with an S, okay, that's all right, that's so scoff, right, okay, the next, I'll highlight
410860	416020	it in, I'll outline it in red so you guys can see what we're probably gonna work on,
416020	419620	thank you again anonymous for that tip, I've never even thanked ya, I was just like, thanks
419620	426420	anonymous for the idea, mine, as if you didn't just give me your worldly money, triangulate,
426420	435660	wait, Tussanderis, triangulate, stop, that's so funny, that you get tingles, that you get
435660	441740	tingles, okay, that's good, I'm taking that, right, mercy, should I pick mercy, oh sugar,
441740	446140	I'm in the way a little bit, hold on, I'm sorry chat, chat, can my hair go on you a little bit,
448140	454620	it was mercy to geese practice their honking ASMR, honestly, I uploaded a short that someone made,
455260	461340	that short that was made was someone's submission that they're good enough to edit, like shorts in
461420	466940	general, and management sent it on to me and I was like, wait, who edited that, because that's
466940	470620	not in the editing style of who got on board, and they were like, no, this is someone submitting
470620	474620	themselves to be an editor, and I'm like, wait, they did this for free, like, obviously we paid
474620	481100	them, but it's very rare to ever get an example of work, via an actual example of work on your
481100	486620	content, so yeah, smell the laughter, I'm already right, what are we doing with the yandere, are
486620	494380	we becoming yandere too, I really wish it wasn't offensive, but obviously both me and
494380	499180	mercy's lore eventually you perish in it, and it would be kind of funny to do like a you perish
499180	506060	in the end of it, Scottish, Scottish laughter, I don't have an accent when I'm Scottish laughing,
506060	514380	that doesn't make sense, oh, oh, oh, oh, oh, oh, oh, what the, no, that's not a thing,
514780	524540	you want to hear yandere lines with a Scottish accent, I thought you said that I was your yandere,
524540	530300	wait, how about what, like two yandere's confused on who the real, no, because then we're like
530300	534380	arguing with each other, that's not relaxing, both of us are like, listen up you slag,
535340	540380	this is how the facts are, see that guy right there, he belongs to me, I'm the yandere in this
540380	546860	situation, no, that's not going to put anyone to sleep, okay, let us tingle, no, it's not going
546860	554940	to put anyone to sleep, two girls make you comfy until the darkness, oh, okay, some of you have
554940	564060	your tastes, we're not quite there, ASMR Viking funeral, oh my god, oh wait, how about a sleep aid,
564060	572380	hear me out, a sleep aid, but it's yanderefied, okay, so yandere tied up, sleep aid, and I'll get
572380	580780	an artwork of you being tethered to me and mercy in bed, and like, it's like basement, like ambience,
580780	585020	ASMR, you can hear it's like breathing in your ear, and we're doing like some sleep talking, we're like,
585660	591740	oh you senpai, you're always ours, whatever, like that kind of thing, so like you can hear like
591740	597100	basement jingle, and then like the little furnace goes on in the corner, because that's where the
597100	603660	furnace thingy is kept in a house, I don't know, two yandere's take care of their pet human, that's
603660	610700	actually gonna most likely end up in more clicks, so let me just steal that too, yandere's, I've lost
610700	619340	it, two yandere's take care of the pet human, okay, and then sheepsters, this is not sheepsters,
619340	631500	this is azura, right, azura was going to be a sleep aid as well, but my problem is the artwork,
631500	637660	I wanted to get artwork where you are embraced by the both of us at a certain location,
