start	end	text
0	3680	aimed enough to give us permission and we were allowed to all talk to one another
3680	10240	but you you are uh we're not allowed to play the audio
12960	18480	but we're allowed to talk with one another and take notes and uh if yumi plus one sir it goes
18480	25440	super amazing yumi plus one sir it goes super amazing hi sir hi sir
26080	32480	are you excited oh it's starting oh no it's not starting never mind
33360	37040	why don't you feel that i'm sorry i thought it was starting
38240	43920	you're starting my dream i'm so excited give me my heart rate go up so high i'm sorry
46240	51040	i think mersey's about to join us now ac is the only one that was unavailable for this due to
51040	57120	tame zones ac is currently sleeping right now so it's just unfortunate taming for the darling
57120	60640	but please please don't please don't count ac out yet
64320	69440	good it's weird being in voice chat and not being allowed to spill all the secrets of what i've got
69440	78560	planned oh no it's starting it's starting okay okay i'm so excited did it just pause it says three
79360	82720	oh is it paused on three yeah mine's paused too
84880	93280	oh no oh oh oh oh oh oh oh oh oh okay oh wait technical difficulties it's fine lines it's
93280	97280	fine look not everyone can work out it's fine it's fine it's fine
100000	101440	they're so cute i can't
101520	109600	wait i'm gonna unmute i just realized i've not got desktop audio and they're split so i can't
109600	115280	hear the stream and you guys can't hear the stream how did you guys split the audio i've got you
115280	124400	guys captured via desktop oh you have to you have to make um what's it called a split yeah you gotta
124400	130160	split in obs you can do it yeah that's what i did i'm used i have two tips i have my headset and my
130160	140000	i ams right now oh no hi here i've posed this watch along up that's all i can say so far
141840	146320	it's finally coming to reality it's been a few months since we've all debuted
146320	150880	and it's been such a blast to be your i'll meet it and there's a lot more for us to show you all
150880	156480	slowly thought we put it all into songs and on that note now's a great time for the first one of
156800	158800	the night
162480	166960	memos of the fox is here on the prowl and she is in the mood for something that's
168080	178240	juicy and dripping and red gushy right excuse you gushy oh i'm like i got two things she can
178240	187520	gush on right now every one says it's very sweet they helped with the watch along
187520	193360	and now they're helping them with a big concert they like to scratch our back we scratch yours
193360	200000	that's why we do it from around these parts you know
200640	210720	memos is a good singer yeah that's actually the most is so talented she is actually got
210720	215520	them lungs on her just hidden you wouldn't realize don't be fooled by the outfit there's
215600	221280	lungs under those straps i know
225360	237280	all the damn
238240	243040	her model so bouncy
252320	256640	i love the way eyelashes i know it's not i know it's not each of a rate stream but
256640	262560	you know the light i know i was just like strawberries i want to eat them the flowers
262560	270160	in her ears i just let's see
274320	276160	all the breadsticks in chat
277040	277760	oh
287360	288560	i like her custom mic
290240	296080	oh you're so right it's really cool god i was talking about customized assets today and i was
296080	302880	like i never got girls anything that's okay i was just like that was so it sounds terrible i was
302880	309040	like if i'm not going to use it i'm not giving it to them because i would have showed my end
309040	313600	in screen for like the first time and literally since debut i showed my end in screen and everyone
313600	322960	was laughing which is terrible why do you hate the ending screen so much i i don't like she just
322960	327360	ends she just leaves i don't like star screams that literally if you open up one of my vods i'm
327360	336160	just like me i don't know i literally spent so much money on it i'm just never used the thing
336160	339920	i've never even seen the stingers i never even used stingers on debut that's so much i hate them
339920	350160	as well so i'm showing them the damn god this is fantastic what this is beyond my expectations
351040	357200	my most is amazing she's like an amazing amazing singer multi multi multi talented
358640	364480	extremely things streams uh freaking makes all her own charts as well
365440	372160	thumbnails you name it she does it she does them all you didn't know she sings well i'm supposed
372160	376720	to keep up with everyone's talents in the vtuber roster that i'm not aware of that's what i thought
376880	381920	i don't want don't come to me you're not constantly stalking the most channel like me
382480	385920	well it's i'm supposed to know absolutely everything about every other vtuber of
386800	390960	uh it's been kind enough to interact with me that's right you're done for reform bend over
394400	395280	prepare yourself
398080	402320	time was it hello everybody hi haro something is in my eye
406720	408320	where we have a peak three films
423520	427600	sorry i'm slurping the tea if anyone can hear that no i don't
428560	429600	wow
432720	436320	on her custom microphone as well oh my gosh
438400	439200	oh so cute
443680	444880	oh my god duet
449040	454320	oh my god how long is this concert that is like some built-in in preparation i'm like
454400	460160	generally so impressed with the most of his voice in burrows me too i wish i could speak japanese
462880	464000	imagine us up there
475600	480560	and i i couldn't forget singing in english i couldn't even imagine singing in a different
480560	489440	language that isn't exactly i think we gotta get some japanese speakers for gen 2 mommy
490640	493280	we're being influenced live you heard it here folks
496240	501360	and i swear i saw what you quote you tweeted she be don't think i didn't see it she went on
501360	507760	twitter and she quote tweeted a slime girl oh don't look at me i don't know i'm not doing nothing
507840	516080	i freaking saw it sing it in slowly just putting it into your mind right i will get you a halloween
516080	524720	variation outfit of you as a slime girl absolutely yeah all yours i'm not having an actual slime
524720	531600	girl it's all yours you can be drawn yeah i'll give me the slime girl yes all right i'll settle
531600	535360	i'll settle for that i'm the slime girl we've defeated the slime allegations
536880	539440	i'm so i'm i'm trying not to scream i'm trying to focus on the
540160	544080	the thing things are jiggling on the screen i don't know if what you guys are looking at but
544080	547520	things are jiggling for me two things are jiggling
552240	555200	slime bunny girl like from queen's blade precisely
556080	564080	what cotton foam family member is going to be the slime girl um i'll have to think about that
566080	574240	sublime she's she's playing oh she's slimy she met the slime she met the slime oh my god i adore her
574240	581200	look at her little freaking put her little pony tails bob are we yaley yaley fish ribbons as well
581200	588640	like the translucent such a good design unfortunately it's my turn to sing hold on let me get my pen
588640	599040	lights out no eye monitor should we get eye trackers out of that i'll give every girl an eye tracker
599040	605840	and we'll watch the most devious videos and stuff and we'll see who's got like 93 per cent
605840	613360	pervert rate this anime is lit
617600	618800	you enjoying it zero
623520	627920	zero her makes like a cut out hello there we go are you enjoying it
627920	635280	yeah is it me sorry i died you did is it making you want to do the concert is zero are you wanting
635280	643840	to get off on stage oh i'm asking is there if she wants to go up on stage she's watching this
647120	652640	i think her makes fucking dying yeah we can't really hear you
657920	664960	as her are you alive uh she's muted again it's fine it's fine it's fine okay i'll take that she's
664960	670560	so excited she's so so excited to get off on stage she's ran away she's ran away any segment at the
670560	678320	thought at the concert let me get let me get two pen lights out i don't have different colors i only
678320	684800	have blue i have so many questions for them that how long this took this is insane i know right
685440	692400	they should just like take the the soundtracks here and just post them as song covers too
693040	696320	honestly that's a smart idea they should i think they will do and that seems
697280	701280	you think they will help so because it's really good they shouldn't just leave it here on the
701280	709440	stream no i want to i want full song covers let those hear your lungs this tiny jellyfish got
709440	710640	lungs on her too god dang
716400	721200	as zura is singing along wiggling my pen lights zura knows the words
724000	727440	is zura singing along to it i think i think that's why she's muted
727600	730960	damn
733760	735440	as zura not beating the weave allegations
743600	749440	this concert is epic literally i had no idea what to expect i've never actually sat through a concert
749440	753440	before
761840	764960	i don't know why this creepy is dying for me it's hard to know
766960	770160	i'm just like so surprised like the stage like all the assets
770160	774880	uh-huh light show
777840	781680	it's really pretty maro's so cute she is
786480	792080	wait i left out her little tentacles bounce is zura is there is me at the audio right
792320	795600	who's gonna get coffee right i mean
797760	804640	i mean do not to play the audio of the stream on stream
808240	811040	question those pen lights are being held up by my arms
811040	821840	oh this goes hard
825120	826320	got a different vibe
833520	836480	if i may started singing in japanese i would have absolutely lost my mind
837200	839040	wait is she about to
842720	844240	i think this is an english cover
