start	end	text
0	25280	Good morning, good evening, good afternoon.
25280	29560	I'm a tired wee bobby this morning alright so you're gonna have to forgive me.
30720	38160	I woke up four minutes ago and I made a tea just in time. Very nice.
39600	49040	We are your friends. Can you tell I just woke up? Is it obvious or is it like one of those things
49040	55120	where uh you can get away with it? I'm going to pin my marshmallow because you're more than welcome
55840	63040	to ask me any questions because I couldn't think of like a uh here nor there type of stream to do
63040	69680	and I was like look if I put up a game it's already game over but if I claim I'm doing a zatsu I know
69680	75680	I will go offline at the right time because uh we're going to write oh sorry about the cursed
75680	80480	ASMR please let me remove that right here right here oh it just has message retracted now no that's
80480	93040	not why I was one at all feel free to ask any question for me for me and then and then we do
93040	103200	pen replace pinned message you do send a little sleepy oh no the ipi i'm i'm very ipi right now but
103840	112000	if I can get away with that we're gonna get away with it okay um okay and you can actually hear
112000	118320	my background music for once I like never play the dang thing but it's so good but good morning
118320	126320	good evening good afternoon uh I have a new short out and I have a new ASMR collab out I'm so glad
126320	133520	because now I have two collabs out and I have two like subscriber thank yous which means I can
133520	142960	put my playlist together and I'm gonna call it my 100 um 100 vtuber ASMR collabs and then 100
142960	154720	thank you subscribers the strong bounty um but yeah we were in a freaking magazine oh my gosh
154800	164400	I'm gonna talk about it okay are you ready are you ready so if you didn't know there's this
164400	169680	magazine that covers vtuber news and it's called acapella media um they actually recently just
169680	179440	combined with a vtuber news drop um which is another website um but I said you know what effort
180160	186800	I believe it was me I reached out to them and I said look I said look look acapella media let me
186800	191840	shake I want to shake your hand okay so I shook acapella media's hand I was like look here's the
191840	204240	situation all right uh we're debuting on June 1st now we'd love the opportunity to be interviewed
204320	210400	okay the magazine name is acapella media I don't have my accent scripture in that but it's acapella
210400	218640	media it says acapella at the top in the sweet image um and I was like look you can even ask
218640	226960	questions that are off tables for other agencies okay um and like we're happy to even come up with
226960	232240	the questions to make it as easy and simple as possible now I say this all the time if you want
232240	237920	something to happen make it as easy and simple as possible for the other party involved so I was
237920	244560	like I can even come up with the questions if you want which I didn't thankfully I didn't have to do
244560	251600	okay I didn't have to do they they did give us questions um so this is what was kind of cute
251600	254640	this is one of the things I couldn't talk about that was cooking in the background there's still
254640	259040	another thing in the background that I can't talk about yeah but there's a few more things okay
259040	265280	so we got sent these questions uh I think a week after debut and the the girls you know we're
265280	272640	racking their brain so we're gonna go I'm gonna read out their answers so up first I am going to
273360	280640	I hold holly molly I am so big hold on I don't know what to do well oh no Zura you're getting
280640	285040	covered by chat oh my chat I'm sorry you're gonna have to get covered a wee bit I can't even read
285280	289360	I'm flying hold on oh no I can't read it can you guys even read that
292320	294800	no wait make me so make me shit smaller
298880	305200	I don't know are you covering those I'm a wee bit but like I can't right hold on right so
305200	312400	viewer interview as Zura delay okay I'm going to do it in the Zura voice the fertility goddess
312960	318320	okay we're never just gonna do this okay this is terrible this is so scoff look I've just woken up
318320	324960	be nice to me go go get your 4k screen got as Zura looks gorgeous you like her uh promotional
324960	330880	artwork like she ain't got toes painted yet that's how a quick that was made before production was
330880	336960	finalized uh huh don't don't tell anyone okay I ordered the promotional artwork before the designs
336960	344800	are final finalized because promotional artwork takes a lot of time okay right this is a Zura's
344800	349280	response to the questions don't worry I'll read it all out so if you're blind as a bat or you need
349280	359360	your glycs on is any of you worried I've got you covered uh-huh Vila is the first agency of its kind
359360	368240	which means we're horn dogs on me maybe pin the thread oh maybe well oh yeah okay pin the thread
368240	373520	you know what you actually know what can what we fling you're actually so right right now
374160	380800	so acapella media I'm gonna kiss them on the lips and I'm gonna do it a couple of times and guess what
380800	393600	this does uh yeah let me just get the fucking thing right hold on hold steady steady right acapella
393600	402720	media acapella media surely that's how you spell it surely copy them I'm probably absolutely butchered
402720	408880	the dang thing acapella media and then this is where we are okay pin and then I'll swap it to the the
409840	416560	the the Q&A on what what a melon on marshmallow I've just woken up I'm so sorry I just fucking
416560	423840	what a melons myself there for no reason at all oh my god I she tired I had a nightmare and it was
423840	432880	awful I woke up covered in sweat that was quite the sleeping session let's not happen let's not do
432880	440640	that again okay body do I make myself clear okay vealor is the first agency of its kind horn dogs on me
441440	448640	what did you why did you choose vealor instead of remaining independent Azura and Azura said
449200	460480	I saw a great opportunity and vealor entrusted in our vision the support a company can give its
460480	466880	talent is a great starting point oh thank you Azura really you're far too kind but how important
466880	474880	was the amount of freedom with content creation being open to discussing pls etc for you I don't
474880	482240	really want to discuss my pl but I'm happy that I get the freedom to talk about some aspects of
482240	489360	life even when wanting to create new memories and the future for myself oh sure that's so kind of you
490080	494960	I'm glad that you enjoyed that uh we're an agency that doesn't acknowledge your fucking brand new
494960	502720	out the out the out the package okay thank you Azura I appreciate that and what platform did you
502720	511200	want to make content on prior to being a part of vealor Azura since I originally streamed on Twitch
511200	520000	I wanted to make the move to youtube and continue making content there including shorts and I actually
520000	525280	speaking of shorts Azura sorry to interrupt you I've just ordered four shorts of you right now
525280	530160	okay I'm just waiting on an asset and there's four shorts coming they're quite humorous okay okay
530160	536240	strong thank you yes actually she calls me stroney as in minna stroney like she didn't go stroney
536240	542400	she was stroney and it's fucking amazing love you Azura oh I'll keep calling you stroney then since
542400	548640	you love yeah yeah thanks Azura okay sorry to interrupt you back to the question uh as content
548640	555520	there doesn't entirely get removed after a few days like twitch box okay thank you Azura okay
557360	564640	but what inspired you to create content or content in general for that matter Azura
565440	572960	I've always had a feel for voice acting and always wanted to take part in some kind of way
573760	580800	the many voices that approached me were compliment towards my voice and how I should pursue it
581360	589680	which piqued my curiosity in the air however the many voices claimed my voice is extremely
589680	599920	erotic oh so when the opportunity appeared it felt like it was meant to be oh wow I agree with
599920	604960	that I am sure people did compliment you I have no doubts about that Azura I absolutely no doubts
604960	615920	at all um is there any content you're particularly interested in making well that would be the
616880	626720	awesome raw place oh Azura all right I also look forward to being in other opportunity oh is that a hint to the video game Azura
626720	634400	Azura is that a hint to the video game I don't know by the way before anyone's like oh new viewer
634400	640400	here I thought stroney was a mix of strong and funny oh um for anyone who's like uh did you
640480	645840	look over the girls answers and stuff uh I think I fixed one sentence and it was in mercies
646800	651040	that's it I've not changed any all these answers are what they actually said I fixed one sentence
651040	656320	in mercies which I actually didn't tell her about sorry mercy yeah fuck you stroney that's not what
656320	661520	you sound like anyway well double fuck you then right whoa whoa whoa sit down sit down whoa
661520	667840	I'm fighting myself here okay stop stop okay uh do you have any uh other content creators advice on
667840	673520	how to navigate uh creating uh alternative content on the internet especially when it comes
673520	681920	safely navigating it because I miss the word safely there if it's a view tubing related and you wish
681920	688560	to keep your identity private try not to share too much information that could put you at risk for
688960	694480	but it's perfectly okay to be honest and do things that make what
696960	702400	don't oh don't force your side I fucking can't read in my own interview yeah is there are you okay
702400	707600	do you need glasses you know you're the fucking I'm putting my glasses on okay hold on right glasses
707600	717040	are on right everything's enlarged I can actually see no Azura just I'm fucking made that up hold on
717040	725760	me fucking neglects Azura I'll let her it this is the lore oh it steady on right uh don't force
725760	732320	yourself to do things that make you uncomfortable and the rather open up slowly okay I'll open you
732320	736800	up slowly Azura thank you uh right what was the next question uh what do you hope to bring or
736800	743360	change in the view tubing landscape Azura I don't think I can change much of anything but I would
743360	752960	hope that people can see more person of color talent in the image oh I like that thank you thank
752960	760320	you for fucking ego stroking the other I didn't even have to ask for that oh this cup of tea
764160	768400	you know what reflens sometimes I make a mead cup of tea all I'm saying is that when we do
768400	772880	the meet up I'm making everyone a cup of tea I'm gonna be I'm gonna have a little trolley and I'll
772880	780000	be like coffee or tea and there's only one real answer honey tea I know she's like literally all
780000	785200	the girls were stroking the bealer I'm like god damn I didn't even have to prompt them
789040	795840	oh thank you very much AC did you enjoy your your gorilla guild wars two stream
795840	803920	I wonder why she wanted round two of that stream hmm yeah I wonder that the only thing I know about
803920	810400	AC's previous guild war stream is she got a train ran on her uh hmm I wonder why she wanted to play
810400	818640	it again with the snowberries truly a mystery hmm yes yes that's right dad as we did it again I knew
818640	825760	you fucking did it I knew it I knew it haunted deep thank you for becoming a member I knew you
825760	832080	did it again there is no way you guys weren't gonna do it again you know what she's gonna do that innocent
832080	840160	little feral polar bear is gonna go offline and do you know exactly what I know exactly what she's
840160	847280	doing right now I'm sorry but she fucking enjoys that too much someone clipped her and I saw it
847280	852080	and she's like burst out laugh and when you'll start jumping on her and I was like yeah die
853840	856320	okay innocent honestly
858880	863840	look she's my baby girl okay she my she my doll face she my doll face
865600	872160	mm-hmm okay we're currently reading Azur's interview from a acapella media look at them
872400	882720	I just revealed a bit of secret lore about um the uh design uh the promotional artwork this was
882720	888720	ordered before the designs were finalized because look Azur doesn't have her nails painted and one
888720	896160	of the biggest giveaways is her headband if it has floating jewellery that's actually uh that's
896160	904800	actually a massive giveaway on if uh the artwork was completed or not at that point um they forgot
904800	909520	about the jewellery on their toes oh yeah actually yeah that was another big thing so you can tell
909520	919280	what stage of panic in production we were at depending on what the thing was but now everything's
919280	927920	made correctly um oh oh my god the tea is steaming up my glasses I forget glasses steam up
931680	935840	okay I've had my tea right back to the questions uh Azur can I keep question yet of course
936400	943440	Stroney okay thank you Azur um right what's one thing you want people to remember about you
943440	950720	individually or as a generation I may not be the first but I started with almost nothing
951280	959280	I did the best I could and achieved very little I just want to show others that it's very possible
959280	966240	and you shouldn't give up I still have a long way to go yes um I I think me and Azura are completely
966240	974080	on the exact same page when I say this um I see a lot of potential in Azura which is why she's Azura
975120	984000	um you know I I see myself and the girls to different degrees and Azura was definitely
984000	989200	and I don't think this is an insult in any way I think she completely 100% gets what why I say this
989200	996000	I think Azura is the the version of me that I see that I needed a helping hand or a gating hand
996000	1000800	and once you know things settle down and everything I'm going to try and get her moved out with her
1000800	1005360	donathon that's coming up next month which is actually really exciting it comes up in August
1006320	1010960	I'm going to try and get her moved out and then things can kind of I think it's upwards and onwards
1010960	1018160	for Azura after that the underdog yes I I I'm a sucker for my underdog I always root for them
1018160	1024720	and I think Azura has insane potential she just needs a few things to occur
1025680	1030080	and then I I think she's got it she's absolutely she's got nothing to worry about
1030080	1036400	um but we just need to first get her moved out and then I can just nuke her brain on all the
1036400	1045200	secrets and behind the scenes stuff okay my little pad of one yes uh right um what do you want to
1045200	1057920	represent in the v-tube sphere Azura I'm not I just I know I'm just another voice but I want to do
1057920	1065680	so much more with that voice I always thought my voice was very no it's not I Azura I picked you
1065680	1071680	because you said I need more gold in your goddamn voice I was about to cross off your damn stream
1071680	1077200	you're a league player you but maybe I can find something that can truly represent in the beach
1077200	1085040	on the sphere yes um Azura humble max and literally I everyone knows why I picked them
1085040	1089600	I told them I said it on debut and I told them like one on one like hey this is why you got picked
1089600	1097040	or type thing um now you have to remember this is the first time Azura has ever been in any kind
1097040	1103200	of spotlight kind of had this attention so please don't be afraid if the girls may have said something
1103200	1108080	that wasn't the kindest to themselves they're not all confident you know they can't all be
1109280	1118160	just absolutely arrogant like myself um so if you see if you see a reply and you're like oh that's
1118160	1124800	a wee shame just remember these some of these girls have never achieved anything close to what
1124800	1130000	they've achieved in the very first month of the very first month at Vilaura they have not achieved
1130000	1136400	that and they're at their time as a content creator so very yes we will grow and blossom their
1136400	1143600	confidence just as the beautiful nasturtiums blossom you know stroney you're just being truthful
1143600	1150000	to yourself as an arrogant okay one more question for Azura and we have finalized Azura's interview
1150000	1157680	mm-hmm uh Azura is there any event in VTubing history that is incredibly significant to you
1158880	1165440	there isn't one that particularly stood out to me but I suppose seeing the rise of Vilaura
1166000	1173360	already coming out with the person of color talent right off the bat was incredibly nice
1174160	1181600	as well as management being open to more person of color designs behind the scenes
1181600	1190640	and developments was very reassuring it wasn't a publicity stunt now I have a oh boy do I have
1190640	1196320	some information about gen 2 to leak to you motherfuckers uh yeah you're not ready for what
1196320	1203440	occurred yesterday with the development team oh boy right that is uh beautiful Azura Dooley
1203440	1210080	please do uh find her youtube channel in the link in the description below you can subscribe
1210080	1215200	check out her shorts I will be getting her new short she's the next batch of shorts and then it
1215200	1221360	goes to Sheebie and then we're rotating all over again because a few of the shorts editors uh have
1221360	1227120	exams etc so I'm having to rotate gracefully between each girl to try and give them a fair
1227120	1231600	amount of shorts um but we're not quite there yet but thank you so much for that interview
1231600	1237440	Azura that was fantastic you may go and rest for your stream today which is probably League of
1237440	1245520	Legends because you're fucking addicted uh okay uh oh thank you Strony Minestrone soup oh thank you
1245520	1251600	no Azura you're so thank you for being my mummy quite literally my mummy well thank you for being
1251600	1258080	my mummy hey hey Azura stop it you got me blushing i'm reading stuff right out you go out you go right
1258080	1265520	thank you thank you right who's next oh icy snow paws speaking of the snowberries who do we have
1265520	1273040	up next she's not streaming the day oh yeah piss right that's not good icy snow paws our the feral
1273040	1280480	polar bear of the allure uh again the do you want to know how you can tell this art wasn't
1280480	1287200	finalized notice how icy doesn't have any fluff coming off of her hips design there's no fluff
1287200	1292880	coming off of her little hips uh this was made again before the designs were like fully fleshed
1292880	1299200	out and finalized and it was utter chaos trying to get this dang right okay says you strong
1299440	1307360	but how do you how do you okay uh icy and you come and you come oh thank you for having me on
