start	end	text
0	9000	What's that? Hold on, hold on, you put the light onto the fucking tracking thing.
9000	12000	Ah, it's blinding! It's blinding, it's looking good.
12000	16000	Me? Hmm, why do I need to wear glasses? Also me, because blasted.
16000	20000	About, like, one minute late, she hates us.
20000	24000	You stop that, you naughty Nellie.
24000	27000	You naughty soft fans.
27000	31000	You naughty ballbags. I actually don't say that word, that's fine.
31000	33000	Well, I mean, that's another word.
33000	35000	Uh...
35000	37000	Um...
39000	44000	Are we here? Hello? Hello? Hi! Hello America! Hiya! Hiya!
44000	46000	Oh my god, what's that?
46000	51000	We get to do another full day of Assassin's Creed.
51000	54000	And I get to, yeah, ease as much as I like.
54000	59000	Uh, I do want to say I am very thankful to PayPal support.
59000	64000	Yay! PayPal unblocked this.
64000	70000	Because if you didn't know, yesterday, you guys unanimously, at the same time,
70000	73000	supported, like, everyone with donos.
73000	76000	And PayPal was like, halt, halt.
76000	82000	This account has been paused because what on earth are all these things?
82000	86000	And we literally had to go, oh, hello there PayPal.
86000	88000	Uh, we're streaming.
88000	91000	Uh, we're beach homers. Please unblock.
91000	93000	So you can support my daughters.
93000	94000	Uh...
96000	98000	Good morning!
98000	101000	Good evening!
101000	106000	And most of all, good afternoon reeflings!
106000	110000	Are you ready to fuck up your sleep pattern?
111000	115080	Do do d, d, d, d, d, d, d.
115080	119120	Do, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, d, dd, dd, d,d, d, d, d, d, d, d, d, dd, d, dd, d, dd, d, d, d, d, d, d, dd,
119120	121540	How are you?
121540	125000	And you did? It was Aisy looking after you.
127000	129000	Did anyone touch your tummy?
129000	133000	Don't lie, Aisy's best design element is her tummy, her navel.
133000	137000	If you didn't know, a belly button is also a refer to as a navel.
137000	141240	I understand you can't hear the background music, oh I've seen some creepy brotherhood right now.
141240	143240	Ask that memean, erm.
143240	149240	I apologise for being a whole 60 seconds late.
149240	151740	Do you want to know why I'm 60 seconds late?
151740	154240	Cos I was trying to arrange another Ace Markalab.
154240	159740	Um, I've recorded one with Mimosa, I need to edit it.
159740	165500	I do not know how long today's stream is gonna be, so feel free to strap in.
165500	168500	And if not, I'll be the one wearing the strap in this relationship.
168500	171500	Ah, that's terrible, absolutely terrible, just started.
171500	175500	Erm, but it's been fantastic.
175500	179500	I should hopefully not miss any freaking donations.
179500	182500	Like I did yesterday, cos I was absolutely awful.
182500	187500	I just kept missing everything left and right.
187500	191500	Everything left and right.
191500	194500	Left and right.
194500	196500	Oh, that's not how I can read.
196500	198500	Okay, there we go.
198500	201500	Woo, five hours of sleeping, eight hours of work, and we're so bad.
201500	204500	Oh, please rest, okay.
204500	209500	I can, I literally, I brushed my teeth, I had a shower.
209500	214500	Right, well I'll tell you something gross whilst we jump back into the action.
214500	216500	I'll tell you something nasty.
217500	220500	Why can I not hear my game?
223500	225500	Hello? Headset?
225500	227500	Headset?
227500	230500	Headset, I know there's, hello?
230500	237500	Okay, I cannot hear any sound and the game isn't coming out of my fucking desktop.
237500	239500	Are you fucking serious?
239500	242500	By the way, this game lives up to the test of time.
243500	246500	Are we being true?
246500	249500	Why is it not coming out of desktop?
249500	252500	Is this a fucking joke?
252500	256500	How could this have been so scuffed?
256500	258500	I can't hear the game either.
258500	261500	Okay, fantastic.
261500	263500	Fantastic!
263500	265500	No, seriously.
265500	268500	The tips link is messed up again.
268500	270500	Are you joking? God, I'm so scuffed.
270500	272500	Um...
277500	284500	I am speechless on why the game is not playing through the desktop audio right now.
287500	290500	Hold on, let me start clicking stuff and see what happens.
290500	293500	Okay, I need to start clicking stuff.
294500	301500	Why would the game not be detectable via the desktop audio?
301500	304500	I am totally not raging right now.
311500	314500	Let's check, let's check.
314500	318500	Right, okay, okay, okay, hold on, hold on, hold on, let me click.
318500	323500	Rule one, if something doesn't work, close the game and open it again.
323500	327500	Because why would it not be detectable on desktop?
327500	329500	That's rule one of gaming.
329500	331500	Okay, so I've closed it.
331500	333500	It's now closed, you can't see none of it.
339500	342500	Also, I listened back.
342500	346500	I was watching a bit of my own brotherhood gameplay.
346500	350500	My voice actually doesn't sound that messed up,
350500	355500	but I can hear it and feel it myself how messed up it is.
364500	367500	Yep, again, no audio.
367500	372500	If I have to go offline to troubleshoot this, I'm gonna be so mad.
372500	375500	Why? I didn't do anything.
375500	380500	I, Mercy, has literally made a short about this exact scenario.
380500	381500	I cannot make this up.
381500	386500	Mercy has a short coming out later about this exact situation.
394500	401500	Game, audio output settings, hold on, hold on, hold on, manage input devices,
401500	404500	output devices, sound mixer, is it sound mixer?
404500	407500	Input, yep, output, yep.
407500	409500	Why the frick?
409500	413500	Why the frick fracked Italy deck, tic-tac, petty whack?
413500	417500	Would this not be coming out?
417500	420500	I think I actually have to go offline to frickin' jumpshoot this.
420500	422500	I'm not even kidding.
423500	428500	I can't believe this.
428500	431500	Are you joking?
442500	446500	It only took me seven minutes to start the stream!
447500	453500	Oh, 49% total synchronization.
453500	458500	Oh, I guess we are doing 12 hours then if I'm only at 49%.
458500	460500	Let's go.
460500	463500	Literally, Mercy made a short about this.
463500	468500	I cannot wait for the short to come out so you guys can be like, oh my god.
468500	471500	Oh my god, she was right.
472500	478500	If you are not up to scratch, please do not worry
478500	483500	because we have successfully finished campaign mode.
483500	488500	We are currently playing Landlord Simulator 2 by all of the buildings at the moment.
488500	493500	We are now doing the kind of side quest-esque missions.
493500	500500	We are about to do a very sad mission for the auditory family.
500500	503500	Me, I'm still here.
503500	506500	Good morning, good afternoon, good evening.
506500	509500	I hope all is good.
