start	end	text
0	2000	He's not happy with me, you know.
4720	7760	Yeah, I'm the life on, what life on that could be?
9440	12560	All right, I need to get a chance screen. I need to get a chance screen.
14000	23280	Why is my iPhone, whoa, my iPhone bugging the fuck? Oh, relax. What? I'm bugging out.
24240	27360	Am I getting a challenge screen? Get a challenge screen. No.
27840	33520	No, hold on, hold on, hold on. Scuffs already started, boys. Scuffs already started.
33520	38640	Look, he's a, he's the same, he's the same. One man, one mop. I was there, doing some,
39520	46640	some business things. God, the frickin scuff is a thing. What the hell's going on?
48960	56160	The tracker is hating me right now. Can you hear me? Have you all seen this? Have you all heard
56160	63200	about this? Okay, I think I'm gonna have to move the iPhone about because what the actual heck.
63200	68800	Can you guys hear the background music? I'm new. Okay, you can now. You can hear a bit of Assassin's
68800	78320	Creed. Good morning. My iPhone is bugging out right as a, I'm pretty sure this can do horizontal,
78320	84480	so not sure why I'm going to absolutely not hold on. I'm just calibrating, testing, left.
85280	92880	No, what the heck? Can you not see my face? Sorry. Blame the technology. What's that? I
92880	99200	should have used my loading screen. Sorry, can't relate. Couldn't care less. And something, something.
99200	107040	Oh my God. Is it because it's dark in this room? I can't believe it. I can't believe being a goblin
107040	113600	in the dark is a terrible idea for freaking tracking reasons. Hold on, hold on, I need to
113600	123120	come literally on my hands and knees to plug in this light under my PC. This is nonsense. Honestly,
123120	131120	why can't you see me iPhone? I'm out of the port? There are no keys. Oh my God.
131520	134800	All right, anyway, I've got some good news.
136720	143680	Well, the good news is I've got my first ASMR club coming out. Right, I've got to lay on.
143680	147200	Right, I've got to lay on. Here we go. Here we go. Here we go. Here we go. Right, back and back
147520	154720	Yeah, that's snuffing those. Why? Can, can be chip studio not handle?
162240	166720	Why is that going? Right, I don't think the chip studio works at all horizontal. Fuck you.
167360	174960	You stupid little twat. First of all, you little prick. Can it hunt? Can it know it can't go horizontal?
175520	179520	I'm confused, but I'm ready. You know what? Fuck it. We're just jumping in. I'll,
179520	185280	I'll deal with the tracking issues once. Hold on, hold on.
188720	192320	Fuck it. There we go. I'm actually normal. I don't know why the track and bugging.
196320	197680	I'm covering up too much on the screen now.
198640	203600	Who's ready for someone's house and screen now? I do believe ASECLE is still streaming,
