start	end	text
0	16000	Hey, I was over for you before we even got started.
16000	28000	Hello, are you there?
28000	35000	Can you hear this little call of it?
35000	46000	Hello, my mouth is wiggling because I didn't put my lid on.
46000	50000	I'm cooking, I'm cooking.
50000	54000	So professional, so professional.
54000	57000	My cats are currently play-fighting.
57000	63000	So if you hear my cats play-fighting, it's going to be terrible.
63000	69000	I made the mistake of giving my cats what's called a licky lick.
69000	73000	Wait, I spelled permanent wrong.
73000	75000	I'm not dead.
75000	80000	So if you're bumping about, my cats are going to absolutely wail.
80000	83000	Hi.
83000	90000	Now today is a very short stream.
90000	97000	But I should really sound like this for you.
97000	100000	Good morning.
100000	104000	Good evening.
104000	112000	And good afternoon.
112000	116000	I have lots of fun things to try.
116000	126000	I need to make myself louder or lower the background sound.
126000	133000	Now I just want to say I'm not doing any permanent effects.
133000	140000	So don't worry, you're in good condition.
140000	151000	I will look after you as I hear my cat bumping against my door.
151000	155000	Hi.
155000	159000	Now I spelled permanent but it remained in it.
159000	163000	Now you all know.
163000	169000	Make it permanent.
169000	179000	Have to miss this stream, it's okay.
179000	186000	We're going nice and slow.
186000	197000	I don't normally use these eyes but I can't help it.
197000	206000	It was always permanent.
206000	213000	I can now hear my cat run behind my couch.
213000	221000	Oh, there she goes.
221000	225000	Oh, and she's...
225000	233000	Okay, I think she's just jumped on the cardboard box now.
233000	237000	So take your time to relax.
237000	251000	I think she's beaten up V-core right now.
251000	257000	Of course, she's been so good.
257000	262000	I think she's beaten up V-core right now.
262000	268000	But it's okay.
268000	280000	So slowly, you can feel yourself starting to drift.
280000	284000	And that's okay.
284000	288000	Like that feeling, come over here.
288000	294000	No reflex, don't let go.
294000	304000	Oh no, is this ear broken?
304000	307000	Is this ear broken? Is this ear broken? Hello?
307000	311000	Oh my gosh, wait, why is one ear stronger than the other?
311000	312000	Both ears work.
312000	316000	Oh, okay, I just said right into your ear that.
316000	321000	Oopsies, sorry, I just whispered right into your ear.
321000	327000	The ear works, but as less equal, why would that be?
327000	330000	If anything, can't go.
330000	338000	I don't know why, because my focus rate isn't equal.
338000	341000	Such a professional stream there.
341000	345000	No, I should say correct.
345000	348000	It's okay if it's weaker.
348000	355000	I like them weak.
355000	366000	The bass part, hello.
366000	376000	Let this cobalt fish lure you to the depths.
376000	387000	For no particular reason at all.
387000	396000	Oh, sorry, I did it twice, I had to make twice.
396000	409000	I'm just gonna brush over your ears to give you the feeling of a false security,
409000	417000	as I'm sure I'm not planning anything else at all.
417000	428000	Not one single thing.
428000	434000	We get to go down into the depths together.
434000	449000	Just me, and you, and my voice, and you listening in.
449000	460000	Yeah, gently, brushing over your ears.
460000	469000	And some cats, okay, maybe the caster.
469000	475000	Wow.
475000	484000	Gentle, gentle movements.
484000	493000	I have some good news for my reflinks.
493000	502000	My YouTube channel has been submitted for monetizing.
502000	506000	Oh, the heat just came on.
506000	511000	I need to go turn the heat off, I'm so sorry.
511000	540000	I'm so professional, let's go.
540000	551000	Come on, it was me, I won't get all lost, being professional, it's me.
551000	558000	When can I start being myself, or do I need to keep being professional?
558000	564000	The cat turned the heat on, because it wants attention.
