start	end	text
0	20000	my little reflex I added a denoiser filter but I don't know if that made this stream worse
21000	23000	hi reflex
29000	43000	mommy's right here she just had to wake up late because I was I was being a mommy and I was having to do a lot of work
43000	49000	strong is life to buy some any need
50000	54000	hello hello my little reflex
56000	60000	sh sh sh sh it's okay
61000	63000	mommy's here
64000	69000	sh sh sh hello little baby
69000	87000	I've put a little, um, a noise gate on the microphone, so hopefully the background noise isn't like the weight noise isn't too bad.
87000	95000	I, um, they don't cope well without you know, I don't cope well without my reflex.
95000	110000	I had to do some business last night, and there may or may not be a collab with another agency planned.
110000	122000	Um, do I spoil it? Do you want me to spoil the surprise? Because only, you only know what the surprise is if you're in this chat right now.
122000	128000	Also, please do check emotes for those of you who are on the emotes here.
128000	138000	I was able to add all 10 of my emotes, and I get to order 10 more, and I'm so excited to order the next batch of 10 emotes.
138000	146000	Um, I already have a few ideas, but yes, please.
146000	158000	I will try to be as relaxed as I can, but the problem is, I get so excited talking to you.
158000	165000	That basically, the ASMR goes out the window all the time, which is, there we go.
165000	167000	Yeah, there's your warning.
167000	173000	Uh, we are not doing hypnosis, uh, unfortunately.
173000	179000	Thank you very much, Nate Sterling, for becoming a free-fling member, dear.
179000	184000	Real dear. God, I need to change the name of that. It's like, so big.
184000	195000	Long-toe-mo-win. Ah, you leave my long-toes out of them, disclaimer's single.
195000	202000	But I'm going to try and be relaxing. Thank you, Jay, for becoming a member.
202000	207000	Thank you, Ken, Gwispy, for becoming a member.
207000	211000	I know I've got my hypnosis background.
211000	218000	I was originally going, ah, Brian.
218000	223000	Can you guys hear Brian?
223000	229000	Ah, Pachinka, thank you for the 5 gifted, hold on, let me get a stream of elements, oh.
229000	234000	Anonymous, thank you for the tip.
234000	240000	Wait. Anonymous is ice-tronning, hopefully your day is amazing.
240000	246000	It's just gone started, and since I can't just start with my reef links, it's going great.
246000	250000	Brian is very quiet, yes.
250000	256000	I didn't, I knew ASMR, so I turned Brian down, like, right away.
256000	260000	I can maybe foam up a little bit, but...
260000	263000	I have a quick question, how did you learn hypnosis?
263000	268000	I just observe. I want to get into it, but it's kind of intimidating.
268000	276000	Literally, I just observe. I absolutely love going, like, deep into things I don't know about,
276000	285000	and I've always had an interest in it, so I like to consume people's production, or whatever.
286000	290000	Zarian, ah, thank you for the 100.
290000	294000	Congrats on monetization years for some of that most, bro.
294000	298000	Zarian, that's a lot. Thank you.
298000	300000	Oh my god.
300000	303000	100 dollar tip, that's crazy.
303000	306000	100 centimeters, nah, that's not possible.
306000	311000	But Pachinka, thank you for the 5 gifted.
312000	318000	But yeah, I just really like challenging myself.
318000	325000	I always have a fascination in trying to understand why people like certain things.
325000	331000	I know that seems silly, but I do.
331000	338000	I just enjoy it, like, as much as I might tease the prep bros or something like that.
338000	341000	I just find it fascinating, I honestly do.
341000	352000	Like, what makes you, you know, what tickles your pickle is a challenge to me, and I accept it wholeheartedly.
355000	364000	But yeah, Secret Subject is an excellent feature, but Secret Subject is such a sweet heart.
364000	374000	She so willingly educates the masses about it, and like, I love that she doesn't like cakey bit or anything.
374000	384000	But like, everything that I do right now, or produce, is because of observations I've made.
384000	387000	Mangope, thank you.
387000	391000	She's learning from spells and empathizing.
391000	393000	It reminds me of someone.
394000	398000	Yeah, Secret is fantastic.
398000	406000	She's got a new feature, Bermuda, which is like a polygon design, like the older video games.
406000	414000	And I was tempted to get one for myself when I'm playing Nintendo DS games, because the graphics,
414000	419000	we're going to be playing a game called Dragon Quest Senators of the Stars, guys.
420000	429000	And obviously the graphics are Nintendo graphics, but I thought it would be cool if that model would match,
429000	433000	but I'd rather save the money and get it for the girls.
433000	439000	Like, I have very bad news for Shibi and Insura investors.
439000	444000	They will be getting a toggle that covers them up.
444000	450000	Me and Mercy did not upset...
450000	454000	Congrats to those who got the memberships with their face.
454000	462000	Me and Mercy's chests don't upset YouTube.
462000	466000	Insura and Shibi's chests has upset YouTube.
466000	478000	If you notice that A.C.'s trailer video has 30,000 views, that's because advertisement money was put into it.
478000	483000	Everyone had the same amount of advertisement money, except me.
483000	486000	I've never put the same amount on myself.
486000	489000	I actually don't think I've spent any on myself.
490000	501000	But Insura and Shibi were denied at running predominantly due to their chests.
501000	508000	Insura's ASMR short was denied, even though she's not doing a single thing wrong in it.
508000	517000	So sadly, at the moment, the girls are being very creative and doing a little thing.
517000	528000	Yes, I will say to the girls, they are welcome to use their toggles when they think the situation calls for it.
528000	530000	That's perfectly fine by me.
530000	536000	Yes, even the shorts, the girls weren't allowed.
537000	549000	Now that they're monetized, today, Mercy is doing her celebration, I believe.
549000	557000	So please do let her entertain you.
557000	560000	I'm probably going to be lurking her monetization.
560000	562000	Our thing is live.
562000	565000	AC is on Saturday.
565000	569000	Emmy, I don't know when Emmy wants to do it.
569000	574000	I mean, you know what? I'm going to DM her right now.
575000	599000	A-M-E-A-M-R-S just wanted to know when you plan, when you plan on doing your S-L-A-B-R-E-S-E on stream.
599000	611000	Just so I know when to remember S-L-A-B-R-S-E live.
611000	619000	And then I'll do a little, and before she's in the channel, and then I'll do a little head-butt.
620000	622000	Need a Mercedes.
622000	627000	She's so going to know how to type that live, there's no way.
627000	632000	Oh no, she's on mobile. She's on her phone, she can see.
632000	637000	Oh my god, the key clicking was in my head when my headphones, sorry.
637000	641000	Emmy was watching AC, okay.
641000	653000	Yes, Azura and Shibi, it is not lost on me that Azura and Shibi are waiting for monetization, and they both just happened to have the biggest boobs.
654000	658000	Feature for manager ASMR.
658000	672000	It's, I do like the boring stuff, like the kind of monotonous stuff where it's like, oh you need to open up membership to your type thing, and you need to do this and that.
672000	686000	Like, I try not to let the girls do that, because it's both stressful and it's both like, it takes time, and rather the girls focus on having fun at debut and all.
686000	690000	And then they're, well they're second week now.
690000	698000	Not bad, I wasn't expecting it to sound so real. That's cause they're for ya.
698000	702000	But they will get monetization nonetheless, right?
702000	706000	Well, we're waiting on it.
706000	712000	I think the AI detection is flagged to them, basically.
712000	717000	So a human does need to review them, which takes longer.
718000	729000	Let's just pray that we have like a weep that understands what an earth featuring is, cause if they get denied, I'm gonna be so...
