start	end	text
0	5000	No time to wait for my days, we're getting longer in peace
5000	10000	No time to wait for my days, of all the time
10000	16000	Right, this is British lore
16000	18000	Oh wait, hold on
18000	25000	Dule Lover, thank you for becoming a member, I have no idea what it's like even says I'm online yet
26000	30000	No it doesn't, oh this is the thing, whenever I look back on a board
30000	37000	I'm like rambling to myself for a full minute, because for some reason it doesn't bring itself up for a full minute
37000	40000	Even though I'm sitting here, meh meh meh, but when I look back on the board
40000	43000	And all that, it's all fine
43000	45000	It's all fine
45000	47000	The fine line
47000	50000	Right, where are we? Nope
50000	52000	Nope, not yet
52000	54000	Not playing the game yet
54000	61000	Good morning, good evening, good afternoon, I am your host, Ronnie Cuttles
61000	64000	Coming at you with a fried voice, thank you
64000	68000	Dule Lover becoming a member in case that did not register
68000	69000	She loves it, she loves it
69000	72000	On time question mark, yes I haven't been lurking in the shadows
72000	78000	I had to do some bit of background work
78000	81000	What's the background work you ask?
81000	86000	I put Shabby Cottonbombs memberships live, so if you want to be a cheeky harem and get in
86000	89000	But she might not say your name during the stream though
89000	92000	You're probably better waiting on the stream in two hours time
92000	98000	Shabby Cottonbombs, maybe I should be a bit bigger, can I talk in a minute?
98000	103000	I'm looking and looking
103000	106000	Well I'll just stand right here, like right over the text and everything
106000	110000	Why not? Why not? Why do I have to be professional?
111000	114000	Hold on, I'll actually go weave, because BOOM!
114000	118000	Good morning, good evening, good afternoon, little reeflings
118000	125000	What is on the agendination for week three?
131000	138000	So we're starting off strong with an ASMR stream at the usual time
138000	144000	And then after two hours I will go offline and have a 15 minute peace break
144000	150000	Because we're going to be doing our first membership watch-along
150000	157000	Which is none other than the first Transformers movie with Sam Witwicky and Bumblebee
157000	161000	Sweet little Bumblebee, I know what he wants from me
161000	166000	To kill the Decepticon and stop them from ruining the planet
167000	172000	And then the following day, on a Tuesday for the rest of the world
172000	176000	We are playing Zelda Minish Cap
176000	181000	Now statistically this game takes roughly eight hours to finish
181000	184000	Whether or not it takes me eight hours, I don't know
184000	191000	But we will be taking a pause 15 minutes before because for a member stream
191000	194000	We're going to be doing the forbidden tear list
195000	199000	Not the way you want, the big yin
199000	203000	And I get to answer it honestly this time
203000	207000	Because I'm allowed to say what I want to say
207000	212000	If we do not finish it in the first day, which is unlikely due to the member stream
212000	218000	Then the rest of the day on Wednesday is dedicated to Zelda Minish Cap
218000	224000	But it's the only Zelda game I have ever completed or played
224000	227000	I know it's shocking, hold on, wait
227000	230000	Whoa, it won't let me stretch out chat
230000	232000	Chat, you'd let me stretch it
232000	235000	Why the frick frack diddly-dat-tick-tack?
235000	237000	Does it not let me stretch chat?
237000	241000	Wait, is it because I normally have you on the screen?
241000	246000	Oh my god, let me stretch you, why is it locked?
246000	249000	Chat is locked for me, so I can't even read just properly
249000	251000	Brev, Brev
251000	254000	I'm trying to explain what we're doing
254000	257000	Anyway, I'm going to-
257000	261000	Eh, you be next, thank you for becoming a member
261000	266000	Oh my god, is that the mascot for, um, we Louie Vuitton Inc?
266000	272000	I'm so sorry, her name evades me right now from all the live, Louie Vuitton Inc
273000	276000	Oh my god, why is her name not in my mouth?
276000	283000	Purple, with the most adorable little sea ears
283000	286000	Oh my goodness
286000	288000	Anyway
288000	292000	Um, we are going to do Old School RuneScape on Thursday
292000	294000	Oh, and now my chat's broken completely
294000	299000	Oh, thanks OBS, no really, thank you, please don't ever cook again
299000	302000	Oh, it finally worked, in on, yes, in on
302000	305000	Oh my goodness, I don't know why chat wasn't working
305000	308000	Chat, yeah, well it's fixed, I can actually read chat now
308000	311000	In on, yes, in on, in my whole, thank you
311000	316000	Um, let's see, so then we're going to do Old School RuneScape
316000	322000	However, check it, I'm doing my first ever one-on-one collab with the other girl
322000	327000	And guess what, it's with Mercy
327000	330000	I should have picked any kind of yandere
330000	332000	But I got Mercy
332000	335000	And we're going to be playing Goose Game, we're going to be playing it at her time
335000	337000	So we're only going to do a little bit of RuneScape
337000	341000	But if I can get a couple of levels in, I will take it
341000	345000	Um, so a couple hours of RuneScape and blabbing away
345000	348000	And then I will go offline for a few hours to recharge
348000	353000	Because I want to give Mercy my all, she's not ready for the Rotism Your Honor
353000	358000	Hey, thank you, Omarum Simpson
358000	362000	It still doesn't display properly, even though I have the full chat up
362000	365000	Memberships are showing up for me on YouTube mobile
365000	368000	For a sheebie cotton bum, they better be because we are redirecting into her
368000	374000	If you didn't know, sheebie has posted pictures of herself in a self-made cosplay of sheebie
374000	376000	Yep, that's a full sentence
376000	379000	You may check them out by discovering the alternative twirers
379000	385000	If you don't know what the alternative twirers are, feel free to check out who the accounts are following
385000	392000	But yes, at Mercy's usual stream time, I wanted to make the collab super easy for her
392000	396000	So I am going to have to rest and snort
396000	398000	Some...
398000	400000	I shouldn't have said that
400000	402000	I'm going to be taking lots of cola, okay
402000	405000	I'm going to be slurping my cola for any caffeination
405000	407000	Because I'm probably going to be a wee bit
407000	409000	I'm going to start lagging a little bit there
409000	410000	Are you squiddin' me right now?
410000	412000	Ain't I meant for you either
412000	414000	You don't have to give me money to tell me this
414000	417000	You just realise that, Omarum
417000	420000	You don't have to give me money to type things in chat
424000	425000	Scotland, whatever
425000	427000	Yes, erm
427000	430000	Well, I was originally going to do a heart rate monitor this stream
430000	432000	Count up for the life of me, find it
432000	436000	I bought a new heart rate monitor because my other one was bust
436000	438000	And it's already gone
438000	440000	So I think I'm about to purchase a third one
440000	441000	Lucky me
441000	442000	I'll probably...
442000	445000	If I send a care package to the girls like for Donothons
445000	447000	Others have cubed mascots
447000	450000	We have a cubed Scottish girl
451000	452000	What?
455000	456000	Wait
456000	458000	Did Brian talk?
459000	461000	Did Brian say...
461000	463000	No, did Brian say anything there?
464000	466000	Oh shit, I didn't see that
466000	468000	Aren't...
468000	470000	Others have cubed mascots
470000	473000	We have a cubed Scottish girl
473000	475000	Thank you for the five iron report
475000	476000	I appreciate it
476000	477000	Oh, I never heard that
477000	479000	Sorry, I have my headset muted
479000	481000	Because I have the freaking game sound in the background
481000	482000	It's so loud
482000	484000	Are you squiddin' me right now?
484000	486000	Can't wait to see Strone as the imposter in this game
487000	489000	Wait, what?
490000	491000	No, wait
491000	493000	We're playing Nero
493000	496000	We're playing a game called Untitled Kiss Game
497000	502000	If you didn't see AC actually revealed that she's playing with Emmy
502000	504000	On a game called Don't Starve
504000	506000	And I'm like, jeez, that's a bit brutal
506000	508000	That's exactly AC's lore
508000	511000	Because she had to hunt for her food
511000	513000	So, rather curious
513000	515000	Rather curious, aren't they?
517000	518000	Okay
523000	524000	What else? Elden...
524000	526000	Yes, Elden Ring the DLC
527000	529000	Elden Ring the DLC, okay
529000	531000	It launches on Friday
531000	533000	I'm like 99% sure
537000	540000	Even if it doesn't come out by the time we start playing
540000	544000	We have a lot of areas to clear anyway
544000	547000	And I am under the impression
547000	550000	We have to perish the enemy
550000	552000	That's at the top of this elevator
552000	554000	In that graveyard
555000	558000	And ironically Ryan Goslin was the one
558000	560000	That vanquished him
560000	561000	Because I couldn't do it
561000	563000	I kept getting attacked
563000	566000	So the reflands on a freaking debuff
566000	568000	Like a severe debuff
568000	570000	Whilst I was running away from this boss
570000	571000	All came flying in
571000	573000	And I'm like 99% sure
573000	575000	Ryan Goslin killed that one
577000	578000	I do say shortcaller
578000	580000	Now I do have a shortcaller
580000	582000	We're gonna test it out at the start stream
582000	584000	If I can handle it
584000	587000	I will permit my reflings to zap me
587000	589000	Every time I cause us to die
589000	592000	I will try and keep the heart rate monitor too
592000	595000	Just so you can see how freaking messed up I get
595000	597000	Whenever we get near an enemy
597000	599000	Now
599000	602000	I need you to open your eyeballs for me
602000	605000	Because members asmr stream starts
605000	607000	One hour earlier
607000	609000	Than my usual start time
609000	611000	The reason for that is
611000	613000	Emi
613000	614000	Azura
614000	615000	Mercy
615000	616000	Strawny
616000	618000	Are doing a four man uno collab
618000	621000	So that I can't get away from mercy this week
621000	623000	I'm already entangled in her snare
623000	625000	And then
627000	629000	So that's two streams that day
629000	630000	Yeah
630000	632000	And
632000	634000	And then and then and then
634000	636000	Sorry I did apologize for your head
636000	638000	I didn't get a good sleep last night
638000	640000	Again
640000	642000	I'm getting very tired
642000	644000	Actually I'll tell you something really bad
644000	646000	So I had to take sleep medicine the other day
646000	648000	But whenever I take sleep medicine
648000	651000	I have problems going number two
651000	652000	Okay
652000	653000	And
653000	655000	And then I hurt my butt going number two
657000	658000	So
658000	660000	If there's any
660000	662000	Anyone that wants to help kiss it better
664000	667000	And then Elden Ring part two
668000	671000	We again will have a full endurance on that
672000	674000	I am literally weaving
674000	676000	So much content in between this as well
676000	678000	Because I'm also starting up
678000	680000	My thank you series
680000	682000	My one ASMR video pair
682000	684000	1000 views thank you series
684000	686000	I am absolutely
686000	688000	Delighted and exhausted
688000	690000	To learn that I
690000	691000	My
691000	693000	Scheduled
693000	695000	Uploaded ASMR for 1000 subs
695000	697000	I've already reached 7000
697000	700000	Which means the debt of six is still to be paid
702000	704000	I'm very thankful
704000	706000	Oh man I'm tired
706000	708000	After this stream today
708000	710000	I'm actually going to record
710000	712000	Three
712000	714000	Collab ASMR's from my side
714000	717000	Because three girls have given me their side
719000	720000	So
720000	722000	I need to edit that
723000	726000	Unending ASMR's
726000	728000	Back to back to back
730000	732000	There's so many replays now
732000	735000	I know my mum is very busy
735000	737000	If you didn't know
737000	740000	AC's meme ASMR has gone live
740000	742000	It is sniffing ASMR
742000	744000	If you like that trigger
744000	746000	Mercy's ASMR has
746000	748000	I got a fucking cat here in my mouth
748000	750000	All the time
750000	752000	You really do get used to it
752000	754000	When you get cats honestly
754000	756000	You're just like oh that's just another part
758000	761000	Mercy has released Yandere ASMR
762000	764000	Please if you absolutely despise
764000	766000	The meme ASMR's I got them to create
766000	768000	Well guess who fucking
768000	770000	Created them for them
770000	772000	So if you hate them don't be like
772000	774000	Mmm this video is stinky
774000	776000	Be like mmm strongy stinky
776000	778000	Because she came up with a concept
778000	780000	So don't if you didn't like it
780000	782000	Don't worry it's not like it's the only ASMR video
782000	784000	They're ever going to produce for free on youtube
784000	786000	Like fucking relax
786000	788000	For one
790000	792000	I'm sorry I'm literally fighting imaginary people
792000	794000	Not one person has said that
794000	796000	At all I know for a fact no one has said that
796000	798000	And I'm like already swinging
798000	800000	On behalf of the girls
800000	802000	Like don't say nothing about my girls
802000	804000	But yes
804000	806000	Mercy's ASMR actually
806000	808000	I was influenced by well
808000	810000	So I had already created this
810000	812000	Over a year ago
812000	814000	And I think this was before the creator
814000	816000	Of Yandere Sim got outed
816000	818000	For all of his
818000	820000	I'm 32
820000	822000	You have so much power over me tweets
822000	824000	Or whatever the tweet was
824000	826000	I can't remember the ins and outs
826000	828000	But
830000	832000	If you didn't know
832000	834000	In Yandere Sim there's a mechanic
834000	836000	Where in order to lower your craziness levels
836000	838000	You need to laugh
838000	840000	You need to laugh very loud
840000	842000	And very startling
842000	844000	And if anyone is around you while you laugh
844000	846000	It alerts them
846000	848000	And I was like how did I do that for Mercy
848000	850000	So I did an intro
850000	852000	A little setting up the plot
852000	854000	She comes and finds you type thing
854000	856000	And then she laughs like a maniac
856000	858000	Ear to ear in the mic
858000	860000	And I absolutely love it
860000	862000	But I think that's cause
862000	864000	I knew about it. I've never actually played Yandere Sim
864000	866000	But yeah
866000	868000	Preemptive defense is a good strategy
868000	870000	Literally just smashing people's skulls in
870000	872000	No one has said a thing to me
872000	874000	But the rage has already taken over
874000	876000	The only discord group with speedrun pan records
876000	878000	Honestly
878000	880000	Also Emi and Momi's ASMR came out
880000	882000	Oh did Emi release it
882000	884000	So
884000	886000	I went the complete
886000	888000	Meme route for Emi
888000	890000	But Emi isn't quite
890000	892000	With me on the same page
892000	894000	Which is fine, it's completely fine
894000	896000	She has complete control
896000	898000	So I was like upload it if you want it
898000	900000	Oh wait she did upload it
902000	904000	Okay
904000	906000	So she kept the thumbnail the same
906000	908000	Okay I thought she wasn't gonna like it
908000	910000	Okay
910000	912000	So she's called the video
912000	914000	Alleyway Tingle Dealer
914000	916000	Sells you completely legal tingles ASMR
916000	918000	That's good title
918000	920000	I like that title
920000	922000	My title was
922000	924000	VTuber Sells You
924000	926000	Tingles in an alleyway
926000	928000	I think or something like that
928000	930000	We did have to
930000	932000	The artist at the time drew
932000	934000	Emi
934000	936000	Sorry they're twins
936000	938000	drew Emi
938000	940000	So we had to put a little
940000	942000	Sutton Sutton over
942000	944000	I loved the 30 minute Japanese one
944000	946000	I'm glad you enjoyed it
946000	948000	That is basically what unscripted
948000	950000	ASMR turns it into
950000	952000	If I don't have a script I will
952000	954000	YAP my head off
954000	956000	So Emi also has her meme ASMR
956000	958000	Now that she's monetized which is
958000	960000	Fan Tiddlyastic
962000	964000	The next
964000	966000	Meme ASMR
966000	968000	Which I'm actually gonna ask her permission
968000	970000	To do it once
970000	972000	Once your monetization stream
972000	974000	I know professional streamer by the way
974000	976000	Once your monetization stream
976000	978000	Has finished
978000	980000	My dear Shubu
980000	982000	Would you like me to upload
982000	984000	And pub
984000	986000	Is it publish? No
986000	988000	Upload and
988000	990000	Put live your meme
990000	992000	ASMR
992000	994000	You guys are gonna freaking love the plot
994000	996000	Shibu's plot was so unique
996000	998000	I had to go away and record
998000	1000000	Folly sounds which is rare
1000000	1002000	For me because I have a massive bank
1002000	1004000	Of sounds that I can
1004000	1006000	Come from
1006000	1008000	It was great
1008000	1010000	You were loving the ear mask
1010000	1012000	Oh you like the 7 girl
1012000	1014000	Collab
1014000	1016000	Oh yeah you like 7
1016000	1018000	Ovens being together
1018000	1020000	7
1020000	1022000	Whole Neckos
1022000	1024000	Well if you're excited for that
1024000	1026000	There's another
1026000	1028000	Next week there's another 7 man collab
1030000	1032000	I'm gonna have to edit it
1032000	1034000	The work never ends
1034000	1036000	I don't know what you're saying
1038000	1040000	Anonymous
