start	end	text
150000	180000	I'm going to do a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
180000	181820	bit of a little bit of a little bit of a little bit of a little bit of a
181820	182720	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
182720	185640	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a
185640	188220	little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little
188220	196400	of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little of
196400	201400	I feel like I'm moving five miles an hour.
201400	206400	I'm so tired.
206400	209400	How are you?
209400	211400	I'm not...
211400	215400	I'm not gonna lie to you.
215400	219400	At exactly four o'clock, I woke up from a nap,
219400	221400	walked over to my computer,
221400	225400	and pressed go live.
225400	229400	So I'm still waking up.
229400	237400	I'm waking up to ash and dust.
237400	238400	Okay.
238400	245400	Might be a little bit delirious.
245400	247400	Got my tea.
247400	250400	Ready to rumble.
250400	253400	I gotta remember who I am.
253400	259400	I also got an iPad stand.
259400	261400	Thank you for your support,
261400	263400	those who look at my throne and such.
263400	265400	And I was trying to set it up
265400	267400	so that I could use my iPad
267400	269400	almost like a third monitor and look at chat.
269400	271400	And it was working well,
271400	274400	except I could see it was so tiny
274400	276400	that I couldn't see anything.
276400	278400	And I'm like, oh, I'll have to lean forward
278400	282400	and squint my eyes to see what the frick I'm looking at.
282400	287400	Ugh.
287400	289400	What are you guys doing today?
289400	290400	How was...
290400	292400	Did you get double ASMR again
292400	301400	from Shtrone and Anise?
301400	302400	By the way,
302400	310400	is she be short for Shabilla?
310400	316400	I'm too tired to come up with a snarky remark to that.
316400	318400	Oh, no, I see the Tomb Raider.
318400	322400	I don't know where I am.
322400	324400	I've got two milk model kids.
324400	325400	Go.
325400	327400	Sick, but you're here.
327400	328400	I like...
328400	330400	Some of you guys might have saw me
330400	333400	I went to the doctors this morning
333400	340400	and like going out into the world
340400	343400	takes a lot out of me and interacting with people
343400	345400	because I kept getting turned around.
345400	347400	Like I kept accidentally going the wrong way
347400	349400	because my GPS was messing stuff up.
349400	351400	I was a little bit late
351400	353400	and then the office was taken forever.
353400	355400	And so I was just so tired
355400	356400	when I got home,
356400	358400	but then I had to do a bunch of other stuff
358400	359400	to prepare for stream.
359400	361400	And then like exactly 3.30,
361400	363400	I just fell asleep on the couch
363400	367400	and knocked out.
367400	370400	But we're here.
370400	374400	We are here.
374400	376400	She be being lost is kind of me.
376400	380400	I have no sense of direction.
380400	382400	I never know where I am.
382400	384400	Even in my town,
384400	386400	in my city that I've lived in
386400	389400	for my entire life, essentially,
389400	393400	I'm like, oh, which road do I take?
393400	398400	Where am I?
398400	400400	It's not a miracle I'm awake right now.
400400	402400	I did set an alarm,
402400	403400	but I'm like,
403400	405400	I know I needed to just like lay down for a bit
405400	408400	and just gain my bearings.
408400	411400	But I hope you guys enjoyed Tomb Raider
411400	416400	with Icy and then ASMR with Momay.
416400	419400	I am quite eepy.
419400	421400	I am waking up.
421400	423400	Don't worry, I'll wake up though.
423400	425400	I'm just like here.
425400	427400	I didn't fall asleep till like 3 a.m.
427400	429400	My whole sleep schedule is messed up
429400	433400	ever since I streamed so late.
433400	435400	Oh, a womb raider?
435400	437400	Oh my God.
437400	439400	I already made that joke.
439400	441400	I made the Ash and Dust joke.
441400	444400	The Imagine Dragons.
444400	447400	Oh, you like Imagine Dragons?
447400	449400	Well, imagine me dragging these nuts
449400	451400	across your face.
451400	455400	Got him.
455400	457400	I forget to put my ooloo mouth on.
457400	463400	Yeah, yeah, yeah, yeah, yeah, yeah.
463400	464400	I'm pretty good.
464400	468400	I'm pretty, I'm pretty, I'm pretty, uh,
468400	471400	I'm as, I'm as smart as a whip
471400	473400	that doesn't make any sense.
473400	476400	But yeah, I have no idea what this game is about.
476400	480400	Um, I know like it might be a visual novel.
480400	482400	I went in for like a second
482400	484400	and I saw that it was voice acted.
484400	485400	So I turned off the voices.
485400	488400	I'll be voice at voicing.
488400	490400	See the characters today.
490400	493400	And you guys can vote in the voices.
493400	495400	It's about bunny girls.
495400	496400	Yeah.
496400	498400	Like I haven't watched any gameplay.
498400	501400	Haven't read anything about it.
501400	504400	I know it was a flavor of the month game
504400	506400	for a very, for a little bit.
506400	508400	I'm like, okay, I'll play it.
508400	510400	Um, so we'll see.
510400	512400	We'll see.
512400	513400	Yawns and finds.
513400	515400	I'm surrounded by bunny girls.
515400	517400	I see this as an absolute win.
517400	518400	Okay.
518400	520400	I'm going to love it.
520400	522400	I also went in just in case
522400	525400	because like when I went to purchase the game
525400	528400	I was like, oh wait, I hope there's not like surprise
528400	530400	things that need to be censored.
530400	532400	So I went in and I double checked
532400	534400	because I didn't know if it was going to be like a Hoonipop situation.
534400	537400	You guys are all just like tricking me
537400	539400	and the whole world is against me tricking me.
539400	542400	Pretending that stuff is normal.
542400	546400	And then it's a crazy messed up game.
546400	549400	Um, yeah.
549400	550400	So I went in.
550400	552400	There wasn't any of that.
552400	554400	I was like, okay.
554400	557400	Although I did see like when I was looking at the steam page
557400	560400	for like a brief second when I was purchasing the game
560400	563400	just like people's screenshots
563400	566400	and they're all Ponzu shots.
566400	571400	So I'm like, what am I getting into?
571400	573400	Whoo.
573400	575400	Kushi jokes scare.
575400	576400	Exactly.
576400	579400	She doesn't know about the level that just opens.
579400	580400	What?
582400	584400	Excuse me.
584400	586400	It's just a lot of fan service.
586400	588400	It's on brand for me.
588400	591400	What color today?
591400	593400	What the fuck does that mean?
593400	595400	I'm white.
599400	603400	I did tease a possible brown toggle.
604400	607400	It's death less messed up than class of 09.
607400	612400	I didn't expect it to be messed up as much as class of 09.
612400	618400	Panty simulator with a side of alcohol.
618400	622400	You think they meant my ponzu?
622400	624400	I don't even remember.
624400	628400	Um, actually these are one of my favorite pairs.
