start	end	text
0	6000	Mummy, the mummy hasn't abandoned no thing.
6000	12000	Mummy is in a foolish, foolish streamer.
12000	16000	When I did the footstream, I put my ring light.
16000	21000	I had to move my ring light so I could elimp the shit and put it down to the wall.
21000	27000	As it eliminate that mummy started streaming on her hands and knees, it's not what she did.
27000	32000	I need the ring light.
32000	37000	The thing that is flashing is the goofy and it's jumping about everywhere.
37000	40000	It went on and on.
40000	43000	So that is going to be the light.
43000	46000	Please, it's the only light.
46000	48000	Okay.
48000	50000	Alright, my face is eliminated.
50000	54000	I'm also on reactive mode so I'm actually going to react to the game.
54000	64000	Everyone knows I have an NVIDIA GeForce RTX 3080 with 10,067 megabits.
64000	67000	Hello, good morning.
67000	69000	Let me put it on.
69000	71000	Live chat.
71000	74000	Any live chatter?
80000	83000	Good morning, good evening, good afternoon.
83000	86000	I apologize if I sound tired.
86000	92000	I passed out after that RuneScape stream and I woke up 45 minutes ago.
92000	96000	I hope Icy's monetization stream went fantastic.
96000	98000	I believe Emmys is also today.
98000	103000	So if there's any pin pals or snowberries, they're down the hall.
103000	106000	Into the lift.
106000	109000	I apologize if I sound tired.
109000	110000	I am exhausted.
110000	111000	I don't know how.
111000	116000	I slept for so long.
116000	119000	I don't know what is going on with me.
119000	120000	But I've got cup of tea.
120000	121000	I've got two waters.
121000	123000	I've got a wee muffin.
123000	126000	And then we can jump into Crash Bandicoot.
126000	138000	As for any updates, since I slept, I have absolutely nothing.
138000	144000	A refling sent me a three page story, which I really liked.
144000	148000	But for legal reasons, I cannot speak any of it here.
149000	156000	I've also put together a little folder of BibBits.
156000	159000	Which I don't know why I didn't think to do it earlier.
159000	164000	But now I'm putting it all together.
164000	166000	Oh and a refling sent me a five minute audio.
166000	168000	And he was like, talk!
168000	172000	I was like, oh my god, reflings are getting so brave, honestly.
172000	177000	And before I die a lot, probably, probably, I'm not even going to put it behind me.
177000	182000	I don't know what level the desktop, how loud the game is going to be compared to me.
182000	187000	But give me a three page story.
187000	195000	It was about me, obviously.
195000	197000	But yes, you guys have been doing fantastic.
197000	199000	I believe AC has done well.
199000	203000	I don't really have any updates about anything else at the moment.
203000	208000	Other than my freaking ASMR meme video, I've got 30k views.
208000	212000	And I'm like, right, this has definitely left the target audience.
212000	215000	Because I had 5,000 subscribers when I posted that.
215000	217000	And now we're at 6,000.
217000	221000	I'm like, bruv, that like propelled my channel.
221000	225000	So I'm waiting, Mercy's is going to go up after this stream.
225000	232000	Or, or it's going to go up after she finishes her stream today.
233000	235000	And then AC's is ready to go up.
235000	240000	I may actually, I'm going to message her right now so she can reply to me.
240000	251000	And see, when you finished stream, do you want me to upload your meme ASMR on your behalf question mark?
251000	256000	And before you're like, wait, why are you asking the girls permission to do stuff that you made for them?
256000	259000	Because it's their channels.
259000	261000	I don't want them to be unhappy.
261000	264000	I want them to be happy little ducklings with me.
269000	270000	Who up?
270000	272000	Bandy their cooter.
272000	273000	Whoa.
273000	274000	Okay.
274000	277000	I'm getting a bit too close to that one.
277000	280000	Any Bandy cooters?
280000	282000	It's only such a sweetheart.
282000	284000	Yes, I don't want to do anything that upsets the girls.
284000	287000	And if they're like, no, now's not the time to upload the meme ASMR.
288000	290000	That's fine.
292000	296000	So I'll get permission from them and then possibly after the stream.
296000	299000	Apparently it takes eight hours to do this game.
299000	304000	Now, I'ma just say, I was a atom when I played this game.
304000	306000	I have barely any recollection.
306000	308000	My dad didn't buy it for me.
308000	310000	He bought it for himself.
310000	313000	Johnny, congrats on 6.5k.
313000	316000	No, I owe so many ASMR videos.
316000	319000	I was going to try and get my first thank you video out.
319000	321000	Oh.
321000	324000	Well, maybe after buckshot roulette after the doc.
324000	326000	Because I've got buckshot roulette.
326000	327000	Then I've got a couple hours.
327000	329000	Then I go to the doctor.
329000	331000	Is this a rhythm game?
331000	332000	It is not.
332000	333000	It's Crash Bandicoot.
333000	337000	It is an adventure platformer.
337000	339000	I know you can't hear the background of the game right now.
339000	341000	So it's just my voice in this room.
341000	343000	Do forgive.
343000	345000	Strongly winning a game.
345000	347000	Any ganky desks?
347000	350000	Hold on, let me hydrate with my tea.
352000	354000	I owe so much ASMR.
354000	355000	I do have it all recorded.
355000	357000	I just need to sit and edit it.
357000	362000	And I can't upload the clapping without using my hands ASMR.
362000	365000	Yet, I need to have some things in between it.
368000	370000	Strongly winning much and everything right.
370000	371000	It's a never ending move.
371000	375000	Every time she releases an ASMR, she gains 1k and she gets to go back to square one.
375000	377000	Honestly, I'm like, I hope not.
377000	379000	I think it will definitely calm down a bit.
379000	380000	It's going to have to calm down.
380000	385000	Because as much as our capitalist overlords love infinite growth,
385000	386000	that's just not plausible here.
386000	390000	Nor is it something that is healthy or thingy.
390000	393000	Because if you start measuring yourself by numbers and that kind of thing,
393000	396000	that's when, I think that's when VJubers probably get it in their head.
396000	398000	They're like, oh, I'm not doing well enough.
398000	399000	I'm not performing well enough.
399000	402000	And it's like, Brev, you haven't even given yourself a chance.
402000	404000	Just have fun.
406000	410000	People can tell you're sweating on trends if you're trying to sweat on trends, you know?
410000	412000	And then people can tell when you're just meaming around,
412000	414000	when you're just meaming around, you know?
414000	415000	And guess what?
415000	419000	You know, some streamers, sorry, this has just turned into a philosophical,
419000	424000	let's digest and get to the roots of why streamers are streamers.
424000	429000	Some people are just, what's the word,
429000	434000	optimized to have a nice, cosy, tight-knit community.
434000	435000	Okay?
435000	438000	Some people, some of your personalities, other streamers,
438000	441000	you're just supposed to have a nice little tight-knit community.
441000	444000	You're not supposed to be for the masses, you know?
444000	448000	So don't always be reaching for the fricking stratosphere, the stars.
448000	452000	Don't always be reaching for the stars when you do just fine in the stratosphere, you know?
453000	456000	Every time you gain 1k, you release an ASMR that gains you 1k.
456000	459000	So it's an infinite feedback loop you'll be at.
459000	462000	Infinity subs by the end of the week.
462000	463000	Not quite.
463000	467000	Especially those looking to extract numbers from TikTok that only have 100 subs,
467000	470000	but say they deserve a million views on every post.
470000	472000	Yes.
474000	480000	I can actually get into the psychology on why people feel they deserve subscribers,
480000	487000	versus others who feel unworthy of what they get because of what they've done.
487000	492000	I could definitely go on an algorithm stream that in, not tinfoil time,
492000	496000	no it's not tinfoil, it's not tinfoil, it's not tinfoil.
496000	502000	It's like human psychology as well as the damage that the internet does to the mind.
502000	507000	Cos if you didn't know, you're actually not supposed to be exposed to,
508000	513000	I think you're not supposed to actually know more than 100 faces at once,
513000	516000	and your brain is just not wired for any other way.
516000	521000	After that, your brain can only be wired to recognise tribes, which sounds terrible,
521000	527000	but that's just how it is, so it's like, ah, I am approaching the AC clan, you know?
527000	529000	Or the tribe.
529000	531000	Are you studying psychology?
531000	534000	Absolutely not, I have had enough of education.
534000	537000	I say that, I might be going back to beauty school,
537000	542000	but that's for, I'm talking like five years down the line beauty school type thing,
544000	551000	because I might want to run an ASMR room studio type thing,
551000	554000	but that's just me, that's just me.
556000	559000	Need a tinfoil hat or more?
559000	561000	For the reflins?
561000	563000	Honestly, I'm so down for that.
563000	566000	I need the meds to moat back, I need the thigh gripper moat back,
566000	568000	all other emotes that I need back.
568000	573000	I was actually going to ask if a refling has any batch to emotes,
