start	end	text
0	28320	Daniel
328320	358160	Growing up in the open seas,
358160	365760	there are stories told of the monsters that lurked below, deadly leviathans, monstrous serpents,
366640	372080	yet no giant could hope to match the lethal efficiency of one such creature,
372800	383040	equal in elegance incarnate, so alluring yet so deadly, so hypnotically fatal as the siren,
383040	391360	the succubi of the sea, the witch of the waves, the black widows of the, uh, black sea,
392160	398720	a maiden with a hypnotic gaze that warped the wills of even the most salt-seasoned captains,
398720	402960	and a song that commanded the crews of even the most loyal sailors.
403600	409920	My mother would read me these tales before bed, tales of aquatic femme fatales that lured men to
409920	417680	sail themselves to their blood-soaked watery graves. These horrific tales of nautical nefariousness
417680	427120	would keep me up at night. They made me feel so, so inspired. I mean, my people used to do that?
427120	433520	That's so cool. I mean, I've never fed on a human before, and the smartest thing I've ever hypnotized
433520	440480	is a seal. But learning that my ancestors used to eat humans by the literal boatloads was amazing.
440480	446400	I couldn't wait to grow up and eat my fill, fat ones, tall ones, skinny ones, even hairy ones.
447280	456000	Though I learned our people aren't as feared by humans as they once were. My ocean, my home, humans
456080	463120	defile it with their presence. Worse still, they toss their filth into it, further insulting us.
463840	468160	How could this have happened? How were we brought so low from our past?
468160	472320	They used to tell legends on every port that made even the most straight-laced,
472320	478000	superstitious scoffing marines keep in the back of their minds. They would dedicate figureheads
478000	483280	of their ships in respect to our beautiful, yet delicate bodies. They put us on every map.
483840	492880	But now? Ugh, disgusting humans. One night, I envisioned a genius plan. The first strike
492880	499680	microseed against the human world. I would infiltrate in hijack a fishing vessel,
499680	505200	and use it as my own pirate vessel with a crew of hypnotized thralls. I was going to wage a
505200	512160	one siren war against all of humanity. It was going to be perfect, and I definitely would have won.
512960	519680	That was, until I envisioned a plan that was even more perfect. Er, well, at least more time
519680	528080	efficient. Making my way below deck, I made a strange discovery. The humans were hypnotized
528080	534560	by their own choice. I couldn't believe it. I looked at boat after boat. These humans
535440	541680	charmed like a siren spell, even dedicating their lives to their chosen idols. These
541760	548800	idols they fawn over. Were they sirens too? That's it. That's the secret to defeating the
548800	554240	humans. I'm going to find the secret to their magic, and harness this power myself and bring
554240	560480	power back to my people. I must gather fame, fortune, scandals, anything and everything to
560480	566960	grow my influence over mankind to bring sirens back into the minds of the people. But I'm not
567040	571440	just going to tip the scales. I'm going for complete domination.
573200	579200	Every human will bend to my will. All will be cheering for their own demise. I will be the
579200	585200	instrument of karmic justice. The world will worship me and praise my name as I bring about their
585200	591440	end. I will march every human under my control into the ocean, and my people will chant my name
591440	602400	as they have a feeding frenzy that has written into legend. Though that's a very long-term goal.
603520	610320	With every big venture, whether business-wise or lifestyle, every big undertaking starts small
610320	623280	scale, right? Hmm. So, I think I'll start with you.
634400	638080	You wanted a ferro kusugaki? I gave you a ferro kusugaki.
641120	644320	You wanted a doting hag? I gave you a doting hag.
647680	651120	You wanted a dorky yandere? I gave you a dorky yandere.
654880	658960	You wanted a masochistic brocon? I gave you a masochistic brocon.
661680	665680	You wanted a milk dominatrix? I gave you a milk dominatrix.
665680	678240	And now, I bring you the vichu bird that no one asked for, a god damn hypnotic cuttlefish.
696320	706080	No copyright. No copyright. No copyright intended, bros. Come on, come on, come on. Relax, relax.
707760	714880	Did I kick or did I fucking kick, ladies and gentlemen?
716400	719440	Have you enjoyed your evening so far?
719920	723520	Hmm. Have you been warmed up by my girls?
723520	730480	Who stole your heart the most? Was it A.C., the ferral polar bear, or was it Azura,
730480	737600	the literal definition of mommy milkers? Or whatever. Merci. The yandere that can never
737600	742080	love right? I mean, she's got plenty of love to give. Doesn't necessarily mean you're gonna be
742080	746960	alive at the end of it, okay? But hey ho, you know, you still get love done at the end of the day.
746960	752880	Or was it Emmy, the most controversially created character of all time? But hey ho,
752880	756240	look, we're just gonna skip past that. You know, if you ignore the lore or everything else,
756240	761600	that's fang, it's fang, it's fang. Stop worrying, you guys are such blurry warts, honestly.
761600	768240	Or was it Madame Sheevee herself, a little brothel owner? Because, you know, gonna be honest,
768240	774080	didn't really get many requests for a hypnotic cuttlefish, that's Scottish. But hey ho, hey ho,
774480	776720	that's how it goes, that's how it goes, that's how it goes, that's how it goes, that's how it goes.
776720	782480	There's what made me, let's, let me, let me formally and reduce massing. What do I need?
782480	790960	Look at these slays, they're so pretty, they're so pretty, okay? I, ladies and gentlemen, I'm
790960	797280	Strony Cuttles. Please, Cuttles, the surname is because I'm a Cuttlefish. Oh, shocker,
797920	807440	and Strony because I am Strony, the daughter of the gamer Strontyum. My dad's gamer tag is Stronyum.
807440	811760	No, it's not actually Stronyum before you're like, oh my god, you just dox your dad, no, relax,
811760	816880	it's not actually literally really, you know, Stronyum, but I'm, I'm Strony, Cuttles, I'm named
816880	821360	after my dad, my dad's gamer, and I wouldn't be here without him, you know, because he came from
821360	827440	his ballsack. Anyway, age, age, ladies and gentlemen, oh, yet again, I have failed the VTuber
827440	832480	challenge of tell us your age. It's not really looking good, okay, it's not looking good.
834640	842400	Cuttlefish normally live two years, so time's ticking, time is ticking. Anyway, my birthday is
842400	849360	October 10th, which is actually National Squid and Cuttlefish Day, they're both set for the pod,
849360	854160	so I don't mind sharing that birthday with the Squid VTubers if there's any of these out there.
854880	862000	My height is 162 centimetres, which makes me 5'3", because I forgot to update this slide,
862000	870400	like a dafty, but hey, over here now. For my languages, turns out, if you're born in Scotland,
871200	876720	the British government recognises Scottish slang as its own language, so in your face,
877280	884880	I can speak two languages, so it's fantastic with that. And Grace, I am a Cuttlefish,
884880	888000	and I'm also good at the 100m sprint, thank you, thank you, I'll be here all week.
890640	898000	My legs and disc legs, I like mesmerising you, that part comes later, okay, very soon,
898000	902240	the debut is only 30 minutes long, you can go away long with us, okay, you know, really boom, boom,
902320	907760	really quick over here. ASMR, if you like ASMR, you're gonna get spoiled, rotten on my channel,
907760	914640	or any of the ViaLoreGirls' channels, show us your plasters, no, oh god, can you see it,
914640	920320	wait, you're not supposed to see that part, yeah, like, I have to censor myself, my design's a little
920320	925920	sussable, okay, okay, anyway, what was I saying, ASMR, if you like ASMR, me and my gen mates are
925920	932080	all literally ASMR'd out the wazoo, so don't be shy to like or subscribe on any of them,
934480	939120	can't help give you a bigger hint than that, but hey ho, I like seeing victory on my screen,
939120	944800	because I could use any tiddly wink of serotonin possible, and you know, you get it from playing
944800	949920	multiplayer games, and you're in the same boat as me, and I also like plasters and band-aids,
950880	960320	my wonder one, for no nefarious reason, for my dislikes, grrr, you know, hate is a strong word
960320	965520	for my dislikes instead, grrr, I don't like bullies in video games, your teammates aren't
965520	970800	often a magically beat MLG pro, so relax, you don't have fun, it's a multiplayer game, team game,
