start	end	text
0	7000	Hold on.
7000	10000	I have a lot of chance.
10000	11000	My life.
11000	16000	I hope I'm on the right thing.
16000	18000	I'm done.
18000	20000	I don't know if I missed it.
20000	22000	Who's driving this boo?
22000	27000	Because my voice is so messed up.
27000	32000	Valor.
32000	34000	Am I streaming?
34000	38000	I don't see it.
38000	40000	There'll be a live for 40 seconds.
40000	42000	I can't even see myself.
42000	43000	Oh, there we go.
43000	44000	Hey, I can hear myself.
44000	46000	I totally lost my voice.
46000	48000	Testing.
48000	50000	Oh, freaking scary.
50000	55000	Broke my damn voice on that bloody stream.
55000	60000	Did you like it?
60000	63000	From here on out, it's nothing but scuffing memes.
63000	65000	If you're looking for professionals,
65000	66000	go elsewhere, buddy.
66000	67000	Go to Shibi's stream.
67000	69000	There's no happening here.
69000	70000	I promise you, mate.
70000	74000	My voice is so strange right now.
74000	75000	Oh, my goodness.
75000	76000	Just the way we're like,
76000	78000	oh, it's been a bloody while since we've been together.
78000	79000	Fuck me, man.
79000	82000	That took me a year to spawn this.
82000	84000	Oh, my God.
84000	85000	I did it, though.
85000	88000	Holy shit, we did it.
88000	89000	Feet sniffer.
89000	90000	I didn't mean to imply greed.
90000	91000	No, you didn't.
91000	92000	I know you didn't.
92000	93000	Please don't worry.
93000	94000	Please don't worry.
94000	95000	It's fine.
95000	99000	The only reason I say greed is because of the perspective thing.
99000	102000	Oh, fucking mischief, reflins.
102000	105000	My fucking god.
105000	108000	What a year it's been.
108000	109000	Holy crap.
109000	111000	I know I'm supposed to talk about my debut,
111000	115000	but let's be honest, we're all reflins here.
115000	117000	Oh, fucking mischiefs.
117000	120000	Of course, your names were going to be refling.
120000	122000	Oh, my God.
122000	126000	What do you mean you became a squid VTuber just so your name
126000	129000	may only reflect you in another life?
129000	131000	Oh, come on.
131000	132000	Refling.
132000	133000	Come on.
133000	135000	Get it?
135000	136000	Great barrier.
136000	137000	Reef.
137000	139000	Reef.
139000	144000	Oh, I'm so excited to play Assassin's Creed Brotherhood with you.
144000	149000	When this stream ends, I'm going to unlist all my streams.
149000	151000	Any reefers on the track?
151000	154000	Are reefers cannabis?
154000	155000	I can't say that.
155000	160000	Does reeflings mean something different?
160000	163000	In another life, I had a fan base called Reeflings,
163000	166000	but it was spelled slightly different.
166000	172000	And I made it pronounced the same, but spelled differently.
172000	174000	Yeah.
174000	175000	Don't worry.
175000	176000	Don't worry.
176000	178000	If you're not really familiar with me from the past,
178000	180000	don't worry about it.
180000	181000	Okay.
181000	182000	Don't worry about it.
182000	184000	I'm just strong at cuttles.
184000	185000	Let's keep it that way.
185000	187000	Thank you very much.
187000	188000	Okay.
188000	190000	Am I actually going through my 2.0,
190000	192000	or are we just meaming about it?
192000	194000	Are we just squidding around?
194000	197000	Are we just squidding around?
197000	199000	My bottle.
199000	201000	I have my reefing mail.
201000	202000	Skullfish.
202000	204000	Oh, Skullfish is so good.
204000	207000	Oh, that's actually really small.
207000	209000	Okay.
209000	210000	Thank you.
210000	211000	Right.
211000	213000	I'll actually go through my slides,
213000	215000	but I'm not really sure if there's much of a point,
215000	220000	because, well,
221000	224000	that's 2365 from Vsuck.
224000	225000	Bomet.
225000	226000	Product or Bomet.
226000	227000	Right.
227000	228000	Let me drink my cola.
228000	229000	Let me drink my cola.
229000	230000	Yeah.
230000	231000	I was supposed to say 53.
231000	233000	Also, someone doubted that Scots is a recognized language.
233000	234000	It is.
234000	237000	So, you know how it sounds like I'm speaking English here all the time?
237000	239000	I'm going to give you a sentence.
239000	240000	Okay.
240000	242000	I'm going to type it in chat so you can read it.
242000	243000	Hmm.
243000	244000	Hmm.
244000	245000	Hmm.
245000	246000	Hmm.
246000	247000	Hmm.
247000	249000	Hmm.
249000	252000	So, that is the sentence in Scots that I've just typed.
252000	253000	Okay.
253000	255000	And it says,
255000	257000	Are you coming to my bit tonight?
257000	259000	That means, are you coming to my house tonight?
259000	261000	That's Scots.
261000	263000	See how it's a bit different?
263000	264000	It's not in the best sense,
264000	266000	but it's what I can think of with the top on the head,
266000	267000	but yeah.
267000	268000	Are you coming to my bit tonight
268000	270000	means, are you coming to my house?
270000	274000	And I purposely don't really speak with a lot of slang
274000	277000	or mumbled the way I naturally do,
277000	279800	because I'm quite naturally monotone and mumbly
279800	282680	because the problem is
282680	287400	you guys don't understand me because I'm scottish
287560	294680	but if you are british or you're familiar with the scottish accent
294680	297960	then I probably actually don't sound from scottish indeed but
297960	302280	it is what it is and also I've been very like
302280	306920	when you're on the internet you're very americanized because of what you consume
307320	311320	does it take all your efforts to pronounce every syllable and not speak scott's
311320	318360	no I'm my mother dearest she actually taught me
318360	325640	she discouraged me from speaking in slang
325640	331000	so I doesn't always naturally come out but
331080	334680	um here's hoping it's the beginning of something
334680	337400	fucking cheers to that mate cheers to that
337400	340680	but yeah uh technically legally on paper
340680	345160	because I was born in scotland I could speak two languages thank you
345160	349240	neneath any help from jewel lingo let's go
349240	354360	uh but yeah so I'm a siren that can't sing
354360	358120	gee willikers I wonder why I just don't have a voice I'm also tone deaf by the
358120	361240	way so I hope you're ready for drunk karaoke streams
361240	368360	uh that stuff's gonna be uh intense let's see where these slides are
368360	371960	so both of your parents are scott's
374280	378600	um yeah the the band aids hold up
378600	385240	still top tier yep very top tier uh mongolian throats singing
385240	387960	the reason I don't like mongolian throats singing it's because cats don't
387960	391400	like mongolian throats singing because of the vibration it's an
391400	396840	unpleasant sound I have learned many traits of cats so I don't like it
396840	403640	drunk karaoke uh shebe's doing drunk ASMR this week uh if that's your
403640	408360	is that your heng to say is that your thing in scott's you go
408360	413960	is that your heng is that I is that your heng oh it is heng
413960	420760	and there you go um yeah I did some basic stuff
420760	425400	oh my lore's being retconned by the way thanks to you guys
425400	432120	uh apparently my weaknesses are mirrors which are really like
432120	435640	uh I'm I'm definitely gonna do something with that because I think it's
435640	437880	such a cool thing I should have done it like a
437880	441320	character reference like strengths weaknesses because that would be so much
441320	445560	cooler to do but hey hold I actually have started reading this year um I
445560	448680	had a really rough year last year gee wonders oh wow
448680	455080	um and I started uh I picked up reading I have never read in my life um
