start	end	text
0	20000	I'm so sorry you're so close to my PC can you hear me I'm like really far away from the mic
20000	48000	can you hear me I might have to talk cause I'm so far away from you the mic
48000	58000	yes we got monetized it's your local funny
58000	70000	what the whole reason I got pedicure was for a monetization stream for ASMR via fate
70000	75000	hello
75000	79000	thank you everyone who's applied to be a member
79000	85000	my voice is a bit scuffed and wait let me see if I can catch up with the list
85000	89000	for some reason stream elements doesn't count in memberships and I don't know why
89000	93000	hold on let's see if you can let me read your news
93000	96000	I need a list I need a list
96000	98000	thank you everyone just this morning
98000	100000	do it do it two taps
100000	103000	oh yeah
103000	105000	oh my god
105000	107000	that's crazy
107000	110000	because I said shit
110000	114000	the first thing the snowberries see are my feet
114000	118000	shh shh shh
118000	122000	shh shh shh
122000	125000	hi AC and the snowberries
125000	129000	I don't know why I have to be our headlonger
129000	131000	I'm good and give one hi
131000	135000	we have our ASMR set up
135000	140000	we have all these little intricate
140000	142000	hold on I need the agility to do this
142000	144000	this is ridiculous
144000	147000	hi readers
147000	151000	just a little bit of a stick ASMR everyone
151000	155000	this is ridiculous
155000	157000	who thought of this
157000	161000	you just need to pick up this brush right here
161000	164000	okay
164000	166000	I almost hit the mic with that
166000	167000	hold on
167000	169000	just need to angle there
169000	174000	shh shh shh
175000	177000	go to sleep
177000	180000	you've got monkey feet
180000	184000	shh shh shh shh
184000	185000	okay
185000	187000	I've got face masks
187000	190000	I'm gonna see if YouTube will tell me who my members are
190000	192000	so I can show them out
192000	194000	I already did
194000	197000	right I can go back to the bottom I think
197000	201000	okay this is the list that YouTube is giving me
201000	202000	don't member me right now
202000	204000	because I can't read all of them
204000	205000	okay
205000	207000	I've got pen kai
207000	208000	thermonator
208000	209000	zarian drop
209000	211000	face tazism
211000	212000	out playboy
212000	213000	firefly
213000	214000	someone in chat
214000	216000	recon crusader
216000	218000	harriots
218000	220000	lolirica
220000	221000	viral
221000	222000	xan
222000	224000	bajinga
224000	226000	sassafras
226000	229000	neymar law
229000	230000	neymar law
230000	233000	neymar law
233000	234480	harquins
234480	236480	gyne or zib
238000	240000	ll
242000	244000	I was thinking I'm breaking your ear drums
248000	249000	harquins
249000	250000	gyne or 0
250000	253000	lll
255000	255680	kieherit
255680	257000	gazillionair
257000	259000	black blood
259000	263240	Blonde war, for real, choc.
263240	269840	Not Alessandro, Ratma, Nugget, Bridge T-45,
269840	276880	Base 64, Iron Reaper, 1871, Dibble, Inner Whip,
276880	281640	Glacono Samus.
281640	283720	Hold on, like I'll actually do this in one minute.
283720	290120	Hold on, I need to read Imperial Monarch, San Brawley,
290120	291400	King of Mufasa.
291400	294560	Hold on, let me take some of the toast on my own, please.
294560	296480	Sly, save words.
296480	303600	P.O. Josephinei, Jane Mansfield, Superhero.
303600	312160	Mr. McSpliff, Destiny 2 Enjoyer, Kaze Seda,
312920	322160	The Mango Cake, Larry, 28, Nova, Mahal.
322160	325160	There's too much, there's too much.
