start	end	text
0	1080	I'm trying my ankle.
2880	4220	Wah.
4220	5120	Wah.
5120	5960	It's up.
7360	8280	It's up.
8280	9360	I think it's up.
10760	15280	I've just built this freaking game and the music.
15280	16360	Oh my gosh.
22920	24280	Are you there?
24280	25360	Hopefully I'm live.
26480	29400	I know I've started like nine minutes early,
29440	31880	but I'm just sitting here and I'm like,
31880	34080	I don't want to wait the nine minutes
34080	37000	for when I'm supposed to start my stream time.
37000	39080	I just want to start now.
39080	40120	So I'm starting now.
41360	43720	I just need to make sure I can see I'm live
43720	46160	and then I can close my stream.
46160	48520	Okay, yeah, it says I'm live.
48520	50280	I'm so sorry I've been boozled.
50280	51800	Yes, I put in the wrong day.
51800	53400	I put in the wrong hour.
54800	56480	Shocking behavior.
59760	64760	I have the most kind of like saddest start
65600	67440	to a stream so far.
68840	72640	I got on Marshmallow, but sadly due to text,
72640	76400	I cannot see what the tone is behind
76400	80880	and I've read the Marshmallow as like a veiled threat
80880	84240	or something, but I just want to say
84240	87720	to the person who sent me a cat picture link,
87720	89680	like an actual picture of a cat.
90920	93080	I don't know how to break this to you.
93080	98080	I got my payloads in March after a very rough time
98240	100920	where I realized that life was too short.
100920	105280	I've not owned a pet, okay, since then
105280	108360	and my payloads came into my life in March.
108360	111760	So please, like, I don't know if it was like
111760	113640	a weird threat thing going on
113640	115480	and I know for literally everyone else,
115520	118160	this makes no sense.
118160	120800	But I can't read tone in a text
120800	122960	and it looked like a weird veiled threat
122960	127960	and I just like, I got my payloads in March.
128400	131920	And yeah, I don't know what to tell you.
131920	136200	Like I've visited America as a child at nine years old.
136200	137920	I don't live in America.
137920	140280	I don't know what's going on.
140280	143600	So you identified yourself as not a reefling.
143600	146200	So if it's all good, I'm just gonna, you know,
146200	150120	stream here with my reeflings and we're gonna do our thing.
151440	153960	Hopefully it wasn't actually a threat,
153960	157920	but if it was, then hey-ho, I've addressed it
157920	162920	and I've negated what your evidence was purely
163120	167280	on the basis that I got Gimli and Vigo in March
167280	170760	and that's when I got my payloads.
170760	172560	So yeah, I apologize for that
172600	175400	making absolutely no sense to literally everyone else,
175400	178640	but good morning, good evening, and good afternoon.
178640	180280	It is a wild ride.
180280	182800	You play two games of Assassin's Creed Brotherhood.
182800	186440	I'm literally not even on my third game stream.
186440	189280	I've never done a second game stream variation.
189280	192160	And it's like, oh, I don't think it's a threat,
192160	193840	but at the same time, my brain's telling me
193840	196560	it's a veiled threat, so I'm just gonna address it that way.
196560	199960	If you didn't mean it, sure, but as I said,
199960	202360	I don't live in America.
202360	206320	I have two cats that I got in March.
206320	210120	They were adopted and yeah, I don't know what else
210120	211960	to tell you, bro.
211960	214720	I'd just appreciate if you left me alone
214720	218360	and I'll just be having fun with my reeflings.
218360	219840	So thanks.
219840	220840	Don't do that again.
224200	228520	Yes, anyway, now that we've got that part over, Jesus.
229280	230720	A little bit of a restless sleep.
230720	232280	May or may not have had diarrhea
232280	234160	because I can't tell context.
234160	239160	However, we're gonna be playing a game
239360	243000	called Needy Streamer Overload.
243000	248000	I just opened it up and it gave me a kind of Windows XP thing.
248920	251400	Windows Vista was like before me.
251400	253760	I'm like, oh, 99% sure.
253760	255760	Wait, Windows Vista.
256600	261600	Like, I don't think I even had, like, wait, when, when,
261680	265080	wait, this is Windows Vista, no, I think Windows Vista
265080	267240	when released it.
270520	273760	Oh, would my dad have had that on the console?
273760	278760	Well, let's give it a Windows Vista or Windows 98.
279240	281440	I don't know what version of Windows, okay?
283360	285400	So we're gonna have a shot at this game.
285400	287200	I don't know what to expect.
287200	291280	Now, a few reflings told me yesterday that for a factoid,
291280	295280	this game apparently has over 500 different endings
295280	296840	or I made that number up
296840	299480	because someone said the game had a ton of endings.
299480	302240	Now, this is gonna be a shorter stream today,
302240	305760	but the good news with it being a shorter stream
