start	end	text
0	7000	I'm sorry.
7000	12000	I'm sorry.
12000	18000	I'm sorry.
18000	21000	I'm sorry.
21000	26000	I'm sorry.
26000	28000	Bruh.
28000	31000	Everything is breaking right now.
31000	32000	Holy crap.
32000	37000	Everything has broken.
37000	39000	I can't even hear in-game sound.
39000	41000	I'm pretty sure I'm supposed to be here in the music right now.
41000	43000	Hold on.
43000	45000	I'm so sorry.
45000	50000	Everything broke from yesterday.
50000	54000	And my headset isn't registering sound at all.
54000	56000	I knew it wasn't.
56000	59000	You're lying to me.
59000	62000	Oh, the scuff isn't working.
62000	65000	Oh, here we go.
65000	68000	Oh, oh, oh, oh, oh, oh.
68000	71000	No, I just had to test it with some music.
71000	72000	Okay.
72000	75000	I can now hear the title music?
75000	77000	Yes, I can.
77000	79000	And you can hear it too.
79000	81000	I don't know how loud it's going to be though.
81000	82000	Oh my god.
82000	84000	Anything that can break will.
84000	88000	Well, I didn't change a single thing from yesterday's drum.
88000	92000	Oh, I apologize for being late.
92000	93000	Little refunds.
93000	95000	That was horrific.
95000	97000	I haven't even been able to watch yesterday's words.
97000	98000	I know the next stream is starting.
98000	100000	How are we meant to keep up with your strongy?
100000	103000	That's the fun part.
103000	106000	I have endless stamina.
106000	110000	See, those details come really good later on.
110000	113000	Right, I don't, I need to, I mean,
113000	115000	I'll tell you what world we're in.
115000	117000	Right now I'm entering world 424.
117000	120000	But I want tutorial island.
120000	122000	So please don't worry.
122000	123000	What was that first song?
123000	125000	It was called Music Makes You Lose Control.
125000	127000	Music makes you lose control.
127000	128000	Let's go.
128000	133000	Please don't worry if you've not actually got your character
133000	137000	outside good ol' Lummi Castle, Lumbridge Castle.
137000	139000	I've not even done the tutorial part.
139000	140000	I do.
140000	142000	I'm playing with a plugin called Runelight.
142000	145000	But we're just going through tutorial island super quick.
145000	146000	I'm not.
146000	151000	Oh no, I just liked it a brand new.
151000	157000	Oh, we're doing an indepth in tutorial island then.
157000	159000	Ah.
159000	163000	Ah.
163000	167000	I've actually been smart and I've prepared a whole meal.
167000	170000	It was absolutely chaos getting, like,
170000	172000	I was trying to get Runelight to work on screen
172000	174000	and I was trying to cook fricking my,
