start	end	text
30000	32000	Yeah, A.C. finish up.
32000	33000	Good A.C.
33000	34000	She wasn't supposed to do that shit.
34000	35000	There you go.
35000	38000	Ah, I'm a fucking talk of the word.
38000	40000	I can hear myself.
40000	42000	Mike, can I hear myself?
42000	43000	Please.
43000	44000	Okay, okay, okay.
44000	45000	Right.
45000	46000	Ugh.
46000	48000	How did A.C. do in her 2.0?
48000	50000	She was adorable, right?
50000	52000	She was freaking amazing.
52000	57000	I turned down my music this time because during debut it was unbelievably loud and I didn't
57000	58000	catch it.
58000	59000	Like a dumbass.
59000	60000	But hey ho.
60000	61000	Right.
61000	64000	I'm going to do two streams.
64000	67000	This stream is dedicated to exposing VLR.
67000	68000	The YouTube agency.
68000	69000	The YouTube agency.
69000	71000	That VTuber agency, okay?
71000	73000	Now, I'm very unprofessional.
73000	75000	I'm very scatterbrained.
75000	77000	I'm very XYZ, you know.
77000	83000	So, I am going to try my best to stick to a one hour of just exposing the agency.
83000	85000	I will talk.
85000	88000	I will take questions at the end.
88000	89000	I can see chat.
89000	90000	I can read chat.
90000	91000	I can interact with you.
91000	94000	During debut, you're not really supposed to interact that much.
94000	98000	But I can 100% completely tune in on your forehead and all that.
98000	99000	So, don't worry.
99000	100000	Don't worry.
100000	101000	It will be three hours long.
101000	102000	Bruh.
102000	103000	No, she be.
103000	104000	I'm trying to read, isn't it?
104000	105000	Yeah.
105000	106000	That's why I'm like, right.
106000	108000	One hour for this and then one hour for my thing.
108000	109000	Right.
109000	110000	Okay.
110000	111000	Okay.
111000	112000	What's a Z?
112000	114000	Is that a rune in the, what?
114000	115000	What?
115000	118000	Don't be trolling with my accent already.
118000	119000	Right, right, right.
119000	121000	One, one, one, one, one.
121000	124000	Let's begin at the very start.
124000	129000	And by start, I mean whatever I could gather notes on very quickly.
129000	130000	Right.
130000	132000	Well, we start with the application.
132000	133000	Sorry.
133000	134000	I'm rubbing my eyeball.
134000	137000	Currently got a fricking rogue eyelash in it.
137000	139000	I'm jumping straight into it.
139000	140000	I'm not stalling.
140000	141000	Okay.
141000	144000	And this is at the wrong part.
144000	145000	Okay.
145000	147000	I'm talking about the applications first.
147000	148000	Hold on.
148000	150000	Let me just, okay.
150000	151000	Good.
151000	152000	Okay.
152000	154000	That's not the starting one.
154000	155000	Okay.
155000	156000	This is the starting one.
156000	161000	So, on the VLR website, you will notice there was a few things slightly different than
161000	164000	what the average VTuber agency asks for.
164000	165000	Okay.
165000	168000	Most VTuber agencies go, hey, we don't care what gender you are.
168000	173000	Thanks to entertainment laws, I could say whamen only.
173000	174000	Sorry, guys.
174000	177000	But you want to start a male VTuber agency?
177000	178000	Absolutely.
178000	179000	Nothing's holding you back.
179000	181000	I assure you.
181000	184000	However, me, I'm looking for fannies to join.
184000	185000	Okay.
185000	186000	You know what?
186000	190000	But we also had more requirements as well.
190000	191000	Okay.
191000	197000	Those requirements were you had to have experience being a naughty, naughty.
197000	199000	Doesn't matter what kind.
199000	202000	As long as you had some sort of variation, you're going to be comfortable with it.
202000	207000	So, just think about the application pool and how it gets lower and lower.
207000	216000	And most VTuber agencies, for whatever reason, lie to your face and go, you can apply even
216000	219000	if you don't have any experience.
219000	220000	Liars.
220000	222000	They are wasting your time.
222000	228000	Do not believe them and do not apply to agencies that say that you do not have to be a content
228000	231000	creator prior to applying for them.
231000	233000	You're wasting your time.
233000	236000	They are wasting your time and they do not deserve.
236000	237000	You don't deserve that.
237000	239000	Seriously, you don't deserve that.
239000	241000	It's such a freaking waste, okay?
241000	246000	And the Veiler website had a redonkulous amount of information on it or they knew the split
246000	250000	off the bat or they knew what was happening with merchandise sales off the bat.
250000	257000	They are at freaking, put my soul into making that website as clear as possible.
257000	259000	Okay?
259000	261000	So, no time wasters.
261000	264000	Give or take, we had 320 applications.
264000	265000	Lovely girls.
265000	268000	However, that meant for every one model.
268000	270000	I was a preselected talent if you didn't know.
270000	273000	Hi, I was inks, codename inks.
274000	275000	Yeah.
275000	284000	So, for every one model, we had 34 girls essentially battling it out to be the right fit.
284000	285000	And it was not easy.
285000	286000	Okay, it was not easy.
286000	288000	She put that whole straw noose in our website.
288000	290000	Wait, that's inks?
290000	292000	I shut up.
292000	294000	Right.
294000	301000	For the most popular picked character, design wise,
301000	303000	what was she be?
303000	304000	Don't be fooled by that color.
304000	305000	That's not pins.
305000	307000	That's a light blue for any.
307000	308000	Okay?
308000	310000	So, the majority said put me on anyone.
310000	311000	Put me where you fit.
311000	312000	You want to fit me.
312000	313000	Okay?
313000	316000	So, ropes was the most picked.
316000	317000	It ropes.
317000	319000	She be was the most picked.
319000	322000	And then I see was the second.
322000	324000	And then Azura was the third.
324000	326000	And then Mercy was the second.
326000	328000	And then the very last picked.
328000	330000	Oh dear, if they didn't like your silhouette.
330000	332000	I'm like, are you kidding me?
332000	333000	I'm sorry.
333000	336000	I love creepy little girl designs.
336000	338000	I'm just going to leave it at that.
338000	339000	I love little creepy things.
339000	341000	It's a fucking gorgeous design.
341000	342000	I don't care what anyone said.
342000	344000	No one wanted to be me.
344000	346000	Shonton behavior.
346000	347000	Shonton.
347000	354000	And then obviously I cannot show the fricking private information of those who applied.
354000	359000	So, I can just show you these fun pie charts about the application process.
359000	364000	So, people say the reason why Veeler asked if your PC was weak,
364000	368000	because we have the funds to purchase an entire new PC for you,
368000	370000	which we did for one talent.
370000	375000	So, enjoy that, the new PC hen.
375000	379000	But yeah, we had the funds to completely give you the equipment you needed.
379000	383000	They all got three deals that they can use for ASMR streams.
383000	387000	They'll let SMBs for streaming if they didn't have it.
387000	392000	So, we also gave a sign-on bonus as well,
392000	398000	because we had two months to kind of prepare for the debuts and all that.
398000	405000	And it's quite a lot to ask someone to, you know, kind of give your full focus,
405000	408000	if you will, to a new agency where there's not an income source.
408000	414000	So, all the girls also got a sign-on bonus of 420 US dollars,
414000	416000	but I don't think any agency has done before.
416000	420000	And literally, it's like the most basic common courtesy.
420000	423000	Like, seriously. Like, I guess.
427000	431000	Seriously, Veeler, it's planning to get any money, because it sounds like it is...
431000	435000	Oh, well, we'll talk about the profits a little bit.
435000	441000	I also, in the application form, you could tell us if you wanted to have a callback,
441000	447000	if we find you might be suitable for a later character if we were to expand.
447000	450000	Now, I'm going to say this publicly right now.
450000	453000	No one has been contacted for a callback.
453000	464000	The reason for that is because it's a bit of a cheek to have someone basically wait for a year
464000	467000	for a non-guaranteed slot in an agency.
467000	472000	And I didn't want anyone hanging about maybe pausing plans they have,
472000	475000	like, because some people might want to, you know, get a 2.0 model,
475000	480000	some people want to maybe start up as a new VTuber, like, type thing with a new persona.
480000	483000	Like, I just didn't want anyone to be at that stage.
483000	489000	So, I'll just say publicly now, no one has been contacted for a thingy.
489000	491000	But yes.
491000	493000	Okay, so that was kind of the application process.
494000	495000	The interview process.
495000	500000	I'm more than happy for the girls to talk about the interview process with me.
500000	504000	Basically, if you're interested in Veeler, I was the barrier, okay?
504000	508000	I was the one reviewing you and looking at your content, if you applied,
508000	511000	and I was like you and you, you know.
511000	514000	It's a bit awkward.
514000	517000	I'll say this part out loud.
517000	521000	It was a bit morally, hmm,
521000	528000	because I was judging VTubers that had way more streaming experience than me
528000	531000	to be like, oh, you're worthy to come in or not.
531000	534000	And it's like, hmm, it wasn't a nice feeling.
534000	538000	Kind of like being like, no, but you can't want me.
538000	542000	Right, okay, questions.
542000	545000	Most basic, why are you called Veeler?
545000	549000	Now, check out the V at the start, virtual,
549000	552000	as most agencies start with a V for virtual, okay?
552000	554000	And then the A.
554000	558000	Okay, now put V and A together, okay?
558000	559000	What do you get?
559000	563000	You get voice acting, hmm, voice acting, hmm, hmm, hmm, hmm.
563000	568000	Okay, and the girls are doing amateur voice acting audios.
568000	571000	Oh my God, oh my God, you did it.
571000	572000	You did it.
572000	574000	You put it together too.
574000	576000	Also, wait, wait, wait, hold on, hold on.
576000	577000	Let's read it together.
577000	578000	Let's read it together.
578000	581000	V, okay, and then imagine if there was an imaginary dash.
